2024/9/17 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5655,14:00〜15:00,9/17,23:50,15,86
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4915,14:00〜15:00,9/17,23:50
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
5254,16:00〜17:00,9/17,23:50,9,92
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
4840,16:00〜17:00,9/17,23:50
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2024/9/17,0:00,2660,2681,81,3257
2024/9/17,1:00,2508,2527,80,3135
2024/9/17,2:00,2446,2452,77,3156
2024/9/17,3:00,2449,2448,77,3154
2024/9/17,4:00,2483,2478,77,3190
2024/9/17,5:00,2569,2558,80,3182
2024/9/17,6:00,2757,2770,80,3409
2024/9/17,7:00,3160,3176,78,4011
2024/9/17,8:00,3729,3786,80,4656
2024/9/17,9:00,4217,4201,83,5043
2024/9/17,10:00,4487,4387,85,5252
2024/9/17,11:00,4691,4616,88,5316
2024/9/17,12:00,4737,4665,88,5366
2024/9/17,13:00,4931,4853,89,5532
2024/9/17,14:00,4985,4915,88,5655
2024/9/17,15:00,4968,4892,89,5539
2024/9/17,16:00,4915,4840,93,5254
2024/9/17,17:00,4659,4597,91,5071
2024/9/17,18:00,4517,4494,89,5075
2024/9/17,19:00,4306,4306,85,5063
2024/9/17,20:00,4077,4070,79,5136
2024/9/17,21:00,3838,3825,76,5004
2024/9/17,22:00,3635,3617,74,4862
2024/9/17,23:00,3397,3385,71,4733
最大使用率(%),時間帯
93,16:00〜17:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5823,13:00〜14:00,11/26,13:50,8,92
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
5384,13:00〜14:00,11/26,13:50
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
5471,15:00〜16:00,11/26,13:50,6,94
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
5179,15:00〜16:00,11/26,13:50
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2024/9/17,0:00,2766,0,0
2024/9/17,0:05,2737,0,0
2024/9/17,0:10,2718,0,0
2024/9/17,0:15,2706,0,0
2024/9/17,0:20,2691,0,0
2024/9/17,0:25,2675,0,0
2024/9/17,0:30,2654,0,0
2024/9/17,0:35,2636,0,0
2024/9/17,0:40,2623,0,0
2024/9/17,0:45,2610,0,0
2024/9/17,0:50,2588,0,0
2024/9/17,0:55,2569,0,0
2024/9/17,1:00,2557,0,0
2024/9/17,1:05,2566,0,0
2024/9/17,1:10,2551,0,0
2024/9/17,1:15,2518,0,0
2024/9/17,1:20,2515,0,0
2024/9/17,1:25,2521,0,0
2024/9/17,1:30,2503,0,0
2024/9/17,1:35,2504,0,0
2024/9/17,1:40,2497,0,0
2024/9/17,1:45,2470,0,0
2024/9/17,1:50,2470,0,0
2024/9/17,1:55,2451,0,0
2024/9/17,2:00,2451,0,0
2024/9/17,2:05,2458,0,0
2024/9/17,2:10,2445,0,0
2024/9/17,2:15,2453,0,0
2024/9/17,2:20,2438,0,0
2024/9/17,2:25,2435,0,0
2024/9/17,2:30,2426,0,0
2024/9/17,2:35,2454,0,0
2024/9/17,2:40,2448,0,0
2024/9/17,2:45,2440,0,0
2024/9/17,2:50,2422,0,0
2024/9/17,2:55,2430,0,0
2024/9/17,3:00,2432,0,0
2024/9/17,3:05,2458,0,0
2024/9/17,3:10,2438,0,0
2024/9/17,3:15,2449,0,0
2024/9/17,3:20,2441,0,0
2024/9/17,3:25,2449,0,0
2024/9/17,3:30,2441,0,0
2024/9/17,3:35,2441,0,0
2024/9/17,3:40,2437,0,0
2024/9/17,3:45,2439,0,0
2024/9/17,3:50,2439,0,0
2024/9/17,3:55,2462,0,0
2024/9/17,4:00,2459,0,0
2024/9/17,4:05,2469,0,0
2024/9/17,4:10,2474,0,0
2024/9/17,4:15,2470,0,0
2024/9/17,4:20,2472,0,0
2024/9/17,4:25,2477,0,0
2024/9/17,4:30,2474,0,0
2024/9/17,4:35,2474,0,0
2024/9/17,4:40,2478,0,0
2024/9/17,4:45,2501,0,0
2024/9/17,4:50,2505,0,0
2024/9/17,4:55,2492,0,0
2024/9/17,5:00,2506,0,0
2024/9/17,5:05,2536,0,0
2024/9/17,5:10,2551,0,0
2024/9/17,5:15,2545,0,0
2024/9/17,5:20,2554,0,0
2024/9/17,5:25,2564,0,0
2024/9/17,5:30,2558,0,0
2024/9/17,5:35,2563,1,0
2024/9/17,5:40,2573,3,0
2024/9/17,5:45,2581,6,0
2024/9/17,5:50,2585,9,0
2024/9/17,5:55,2598,14,0
2024/9/17,6:00,2606,23,0
2024/9/17,6:05,2656,42,1
2024/9/17,6:10,2675,51,1
2024/9/17,6:15,2686,60,2
2024/9/17,6:20,2700,72,2
2024/9/17,6:25,2706,85,3
2024/9/17,6:30,2722,99,3
2024/9/17,6:35,2754,116,4
2024/9/17,6:40,2778,134,4
2024/9/17,6:45,2806,154,5
2024/9/17,6:50,2861,175,6
2024/9/17,6:55,2892,197,6
2024/9/17,7:00,2924,219,7
2024/9/17,7:05,2983,241,8
2024/9/17,7:10,3006,264,8
2024/9/17,7:15,3069,287,9
2024/9/17,7:20,3084,310,10
2024/9/17,7:25,3130,333,10
2024/9/17,7:30,3143,357,11
2024/9/17,7:35,3205,380,11
2024/9/17,7:40,3223,403,12
2024/9/17,7:45,3268,426,13
2024/9/17,7:50,3288,449,13
2024/9/17,7:55,3356,472,14
2024/9/17,8:00,3407,498,14
2024/9/17,8:05,3478,521,14
2024/9/17,8:10,3555,544,15
2024/9/17,8:15,3582,569,15
2024/9/17,8:20,3611,595,16
2024/9/17,8:25,3677,618,16
2024/9/17,8:30,3716,642,17
2024/9/17,8:35,3795,669,17
2024/9/17,8:40,3853,698,18
2024/9/17,8:45,3887,721,18
2024/9/17,8:50,3908,741,18
2024/9/17,8:55,3936,762,19
2024/9/17,9:00,3992,787,19
2024/9/17,9:05,4059,813,20
2024/9/17,9:10,4093,839,20
2024/9/17,9:15,4105,866,21
2024/9/17,9:20,4156,892,21
2024/9/17,9:25,4193,917,21
2024/9/17,9:30,4213,941,22
2024/9/17,9:35,4254,968,22
2024/9/17,9:40,4294,992,23
2024/9/17,9:45,4297,1017,23
2024/9/17,9:50,4347,1035,23
2024/9/17,9:55,4378,1056,24
2024/9/17,10:00,4370,1075,24
2024/9/17,10:05,4388,1089,24
2024/9/17,10:10,4399,1100,25
2024/9/17,10:15,4419,1117,25
2024/9/17,10:20,4437,1131,25
2024/9/17,10:25,4462,1150,25
2024/9/17,10:30,4498,1169,25
2024/9/17,10:35,4496,1188,26
2024/9/17,10:40,4519,1200,26
2024/9/17,10:45,4554,1219,26
2024/9/17,10:50,4569,1232,26
2024/9/17,10:55,4585,1244,27
2024/9/17,11:00,4607,1255,27
2024/9/17,11:05,4631,1267,27
2024/9/17,11:10,4643,1279,27
2024/9/17,11:15,4636,1277,27
2024/9/17,11:20,4648,1288,27
2024/9/17,11:25,4666,1302,27
2024/9/17,11:30,4671,1311,28
2024/9/17,11:35,4696,1321,28
2024/9/17,11:40,4713,1327,28
2024/9/17,11:45,4742,1335,28
2024/9/17,11:50,4752,1336,28
2024/9/17,11:55,4774,1344,28
2024/9/17,12:00,4747,1336,28
2024/9/17,12:05,4742,1338,28
2024/9/17,12:10,4722,1334,28
2024/9/17,12:15,4716,1331,28
2024/9/17,12:20,4712,1326,28
2024/9/17,12:25,4723,1313,27
2024/9/17,12:30,4725,1307,27
2024/9/17,12:35,4722,1301,27
2024/9/17,12:40,4726,1295,27
2024/9/17,12:45,4732,1284,27
2024/9/17,12:50,4754,1274,26
2024/9/17,12:55,4777,1264,26
2024/9/17,13:00,4827,1251,25
2024/9/17,13:05,4871,1240,25
2024/9/17,13:10,4890,1230,25
2024/9/17,13:15,4901,1214,24
2024/9/17,13:20,4917,1203,24
2024/9/17,13:25,4927,1190,24
2024/9/17,13:30,4937,1177,23
2024/9/17,13:35,4971,1159,23
2024/9/17,13:40,4951,1138,22
2024/9/17,13:45,4961,1116,22
2024/9/17,13:50,4969,1100,22
