2024/3/5 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4602,17:00〜18:00,3/6,5:10,11,90
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4162,17:00〜18:00,3/6,5:10
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3707,6:00〜7:00,3/6,5:10,11,90
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3352,6:00〜7:00,3/6,5:10
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2024/3/5,0:00,2886,2876,85,3385
2024/3/5,1:00,2782,2774,83,3333
2024/3/5,2:00,2748,2761,83,3302
2024/3/5,3:00,2762,2773,83,3289
2024/3/5,4:00,2810,2811,85,3305
2024/3/5,5:00,2993,3009,88,3369
2024/3/5,6:00,3352,3352,90,3707
2024/3/5,7:00,3657,3680,89,4070
2024/3/5,8:00,4006,4006,90,4430
2024/3/5,9:00,4218,4151,91,4591
2024/3/5,10:00,4148,4090,91,4523
2024/3/5,11:00,4103,4068,91,4499
2024/3/5,12:00,4000,3909,92,4323
2024/3/5,13:00,4117,3946,94,4364
2024/3/5,14:00,4160,3962,94,4382
2024/3/5,15:00,4201,3970,95,4390
2024/3/5,16:00,4275,4086,94,4519
2024/3/5,17:00,4306,4162,93,4602
2024/3/5,18:00,4308,4157,93,4597
2024/3/5,19:00,4214,4059,93,4489
2024/3/5,20:00,4094,3929,94,4345
2024/3/5,21:00,3914,3733,94,4129
2024/3/5,22:00,3703,3494,95,3864
2024/3/5,23:00,3474,3238,95,3623
最大使用率(%),時間帯
95,23:00〜24:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4985,10:00〜11:00,3/6,23:40,10,90
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4535,10:00〜11:00,3/6,23:40
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4698,12:00〜13:00,3/6,23:40,8,92
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
4350,12:00〜13:00,3/6,23:40
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2024/3/5,0:00,2983,0,0
2024/3/5,0:05,2973,0,0
2024/3/5,0:10,2962,0,0
2024/3/5,0:15,2952,0,0
2024/3/5,0:20,2934,0,0
2024/3/5,0:25,2915,0,0
2024/3/5,0:30,2880,0,0
2024/3/5,0:35,2867,0,0
2024/3/5,0:40,2834,0,0
2024/3/5,0:45,2821,0,0
2024/3/5,0:50,2799,0,0
2024/3/5,0:55,2775,0,0
2024/3/5,1:00,2768,0,0
2024/3/5,1:05,2804,0,0
2024/3/5,1:10,2802,0,0
2024/3/5,1:15,2785,0,0
2024/3/5,1:20,2781,0,0
2024/3/5,1:25,2775,0,0
2024/3/5,1:30,2788,0,0
2024/3/5,1:35,2769,0,0
2024/3/5,1:40,2786,0,0
2024/3/5,1:45,2771,0,0
2024/3/5,1:50,2766,0,0
2024/3/5,1:55,2746,0,0
2024/3/5,2:00,2761,0,0
2024/3/5,2:05,2761,0,0
2024/3/5,2:10,2749,0,0
2024/3/5,2:15,2739,0,0
2024/3/5,2:20,2733,0,0
2024/3/5,2:25,2719,0,0
2024/3/5,2:30,2741,0,0
2024/3/5,2:35,2760,0,0
2024/3/5,2:40,2745,0,0
2024/3/5,2:45,2749,0,0
2024/3/5,2:50,2735,0,0
2024/3/5,2:55,2754,0,0
2024/3/5,3:00,2741,0,0
2024/3/5,3:05,2768,0,0
2024/3/5,3:10,2765,0,0
2024/3/5,3:15,2770,0,0
2024/3/5,3:20,2749,0,0
2024/3/5,3:25,2762,0,0
2024/3/5,3:30,2758,0,0
2024/3/5,3:35,2751,0,0
2024/3/5,3:40,2756,0,0
2024/3/5,3:45,2753,0,0
2024/3/5,3:50,2750,0,0
2024/3/5,3:55,2756,0,0
2024/3/5,4:00,2765,0,0
2024/3/5,4:05,2770,0,0
2024/3/5,4:10,2795,0,0
2024/3/5,4:15,2798,0,0
2024/3/5,4:20,2787,0,0
2024/3/5,4:25,2809,0,0
2024/3/5,4:30,2791,0,0
2024/3/5,4:35,2810,0,0
2024/3/5,4:40,2815,0,0
2024/3/5,4:45,2818,0,0
2024/3/5,4:50,2830,0,0
2024/3/5,4:55,2856,0,0
2024/3/5,5:00,2856,0,0
2024/3/5,5:05,2896,0,0
2024/3/5,5:10,2904,0,0
2024/3/5,5:15,2910,0,0
2024/3/5,5:20,2939,0,0
2024/3/5,5:25,2968,0,0
2024/3/5,5:30,2986,0,0
2024/3/5,5:35,3000,0,0
2024/3/5,5:40,3042,0,0
2024/3/5,5:45,3054,0,0
2024/3/5,5:50,3079,0,0
2024/3/5,5:55,3103,0,0
2024/3/5,6:00,3141,0,0
2024/3/5,6:05,3185,0,0
2024/3/5,6:10,3242,0,0
2024/3/5,6:15,3253,0,0
2024/3/5,6:20,3294,1,0
2024/3/5,6:25,3327,4,0
2024/3/5,6:30,3342,7,0
2024/3/5,6:35,3396,11,0
2024/3/5,6:40,3416,16,0
2024/3/5,6:45,3444,22,0
2024/3/5,6:50,3473,25,0
2024/3/5,6:55,3506,31,0
2024/3/5,7:00,3508,39,1
2024/3/5,7:05,3574,48,1
2024/3/5,7:10,3573,59,1
2024/3/5,7:15,3594,69,1
2024/3/5,7:20,3622,78,2
2024/3/5,7:25,3650,88,2
2024/3/5,7:30,3657,99,2
2024/3/5,7:35,3678,110,2
2024/3/5,7:40,3686,123,3
2024/3/5,7:45,3716,137,3
2024/3/5,7:50,3726,151,4
2024/3/5,7:55,3752,165,4
2024/3/5,8:00,3755,179,4
2024/3/5,8:05,3845,195,5
2024/3/5,8:10,3880,213,5
2024/3/5,8:15,3910,231,5
2024/3/5,8:20,3928,245,6
2024/3/5,8:25,3957,259,6
2024/3/5,8:30,3986,274,6
2024/3/5,8:35,4045,285,7
2024/3/5,8:40,4079,299,7
2024/3/5,8:45,4103,306,7
2024/3/5,8:50,4138,310,7
2024/3/5,8:55,4169,315,7
2024/3/5,9:00,4196,320,7
2024/3/5,9:05,4222,321,7
2024/3/5,9:10,4237,325,7
2024/3/5,9:15,4227,323,7
2024/3/5,9:20,4223,320,7
2024/3/5,9:25,4225,317,7
2024/3/5,9:30,4220,324,7
2024/3/5,9:35,4218,330,7
2024/3/5,9:40,4220,333,7
2024/3/5,9:45,4207,340,8
2024/3/5,9:50,4197,343,8
2024/3/5,9:55,4186,349,8
2024/3/5,10:00,4192,355,8
2024/3/5,10:05,4148,356,8
2024/3/5,10:10,4154,367,8
2024/3/5,10:15,4155,376,9
2024/3/5,10:20,4155,382,9
2024/3/5,10:25,4161,388,9
2024/3/5,10:30,4156,392,9
2024/3/5,10:35,4173,392,9
2024/3/5,10:40,4148,389,9
2024/3/5,10:45,4123,381,9
2024/3/5,10:50,4118,374,9
2024/3/5,10:55,4120,374,9
2024/3/5,11:00,4119,375,9
2024/3/5,11:05,4132,378,9
2024/3/5,11:10,4134,375,9
2024/3/5,11:15,4120,372,9
2024/3/5,11:20,4109,368,8
2024/3/5,11:25,4109,367,8
2024/3/5,11:30,4117,372,9
2024/3/5,11:35,4112,375,9
2024/3/5,11:40,4101,370,9
2024/3/5,11:45,4090,362,8
2024/3/5,11:50,4062,360,8
2024/3/5,11:55,4068,368,9
2024/3/5,12:00,4054,378,9
2024/3/5,12:05,4030,378,9
2024/3/5,12:10,3979,362,9
2024/3/5,12:15,3999,389,9
2024/3/5,12:20,3989,394,9
2024/3/5,12:25,3992,391,9
2024/3/5,12:30,3989,386,9
2024/3/5,12:35,3980,379,9
2024/3/5,12:40,3972,371,9
2024/3/5,12:45,3985,358,8
2024/3/5,12:50,3984,348,8
2024/3/5,12:55,4023,339,8
2024/3/5,13:00,4054,325,8
2024/3/5,13:05,4091,312,7
2024/3/5,13:10,4103,307,7
2024/3/5,13:15,4127,298,7
2024/3/5,13:20,4121,294,7
2024/3/5,13:25,4120,293,7
2024/3/5,13:30,4127,287,6
2024/3/5,13:35,4132,282,6
2024/3/5,13:40,4128,275,6
2024/3/5,13:45,4121,275,6
2024/3/5,13:50,4118,269,6
2024/3/5,13:55,4130,264,6
2024/3/5,14:00,4156,262,6
2024/3/5,14:05,4168,261,6
2024/3/5,14:10,4172,257,6
2024/3/5,14:15,4164,252,6
2024/3/5,14:20,4167,235,5
2024/3/5,14:25,4160,221,5
2024/3/5,14:30,4163,208,4
2024/3/5,14:35,4160,197,4
2024/3/5,14:40,4156,185,4
2024/3/5,14:45,4161,172,4
2024/3/5,14:50,4154,158,3
2024/3/5,14:55,4166,154,3
2024/3/5,15:00,4157,149,3
2024/3/5,15:05,4172,145,3
2024/3/5,15:10,4152,138,3
2024/3/5,15:15,4187,137,3
2024/3/5,15:20,4197,132,3
2024/3/5,15:25,4194,122,2
