2021/12/25 00:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
140,18:00〜19:00,12月24日,20:01,54,65
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
91,18:00〜19:00,12月24日,20:01
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
119,09:00〜10:00,12月24日,20:01,40,71
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
85,09:00〜10:00,12月24日,20:01
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2021/12/24,00:00,69,66,59,116
2021/12/24,01:00,66,66,56,116
2021/12/24,02:00,68,68,58,116
2021/12/24,03:00,71,71,61,116
2021/12/24,04:00,71,72,61,116
2021/12/24,05:00,70,71,60,116
2021/12/24,06:00,72,73,62,116
2021/12/24,07:00,78,78,67,116
2021/12/24,08:00,83,82,69,119
2021/12/24,09:00,87,85,70,123
2021/12/24,10:00,90,87,68,132
2021/12/24,11:00,92,86,68,134
2021/12/24,12:00,92,88,67,136
2021/12/24,13:00,90,90,68,131
2021/12/24,14:00,91,88,59,153
2021/12/24,15:00,92,88,60,151
2021/12/24,16:00,90,87,61,146
2021/12/24,17:00,88,89,62,141
2021/12/24,18:00,91,91,65,140
2021/12/24,19:00,89,90,63,140
2021/12/24,20:00,86,86,61,140
2021/12/24,21:00,81,82,57,140
2021/12/24,22:00,78,76,55,140
2021/12/24,23:00,76,76,59,128
最大使用率(%),時間帯
70,09:00〜10:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
141,18:00〜19:00,12月25日,00:00,53,65
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
92,18:00〜19:00,12月25日,00:00
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
117,22:00〜23:00,12月25日,00:00,44,69
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
81,22:00〜23:00,12月25日,00:00
DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW)
2021/12/24,00:00,72,0
2021/12/24,00:05,71,0
2021/12/24,00:10,71,0
2021/12/24,00:15,71,0
2021/12/24,00:20,70,0
