2022/8/18 0:07 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1457,12:00〜13:00,8/17,22:46,10,91
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1324,12:00〜13:00,8/17,22:46
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1420,11:00〜12:00,8/17,22:46,8,93
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1316,11:00〜12:00,8/17,22:46
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2022/8/17,0:00,859,861,85,18,1012
2022/8/17,1:00,812,814,84,19,970
2022/8/17,2:00,807,809,84,20,965
2022/8/17,3:00,824,828,84,18,976
2022/8/17,4:00,859,859,87,15,984
2022/8/17,5:00,889,891,89,13,1001
2022/8/17,6:00,896,906,88,13,1016
2022/8/17,7:00,968,967,90,11,1075
2022/8/17,8:00,1100,1106,90,11,1224
2022/8/17,9:00,1185,1229,88,14,1353
2022/8/17,10:00,1207,1290,86,16,1399
2022/8/17,11:00,1205,1316,85,18,1420
2022/8/17,12:00,1186,1324,81,23,1457
2022/8/17,13:00,1208,1334,83,20,1454
2022/8/17,14:00,1221,1348,87,16,1410
2022/8/17,15:00,1207,1346,85,18,1420
2022/8/17,16:00,1189,1347,82,21,1444
2022/8/17,17:00,1155,1320,81,24,1431
2022/8/17,18:00,1137,1294,81,24,1409
2022/8/17,19:00,1107,1271,79,26,1397
2022/8/17,20:00,1055,1215,77,31,1379
2022/8/17,21:00,1007,1153,74,36,1366
2022/8/17,22:00,973,1084,73,38,1339
2022/8/17,23:00,933,1018,71,41,1319
最大使用率(%),時間帯
90,8:00〜9:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1441,14:00〜15:00,8/17,17:20,8,93
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1337,14:00〜15:00,8/17,17:20
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1426,16:00〜17:00,8/17,17:20,7,94
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1336,16:00〜17:00,8/17,17:20
DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2022/8/17,0:00,891,0
2022/8/17,0:05,890,0
2022/8/17,0:10,887,0
2022/8/17,0:15,882,0
2022/8/17,0:20,871,0
2022/8/17,0:25,859,0
2022/8/17,0:30,860,0
2022/8/17,0:35,856,0
2022/8/17,0:40,850,0
2022/8/17,0:45,839,0
2022/8/17,0:50,832,0
2022/8/17,0:55,838,0
2022/8/17,1:00,833,0
2022/8/17,1:05,828,0
2022/8/17,1:10,829,0
2022/8/17,1:15,820,0
2022/8/17,1:20,817,0
2022/8/17,1:25,816,0
2022/8/17,1:30,802,0
2022/8/17,1:35,798,0
2022/8/17,1:40,815,0
2022/8/17,1:45,810,0
2022/8/17,1:50,806,0
2022/8/17,1:55,802,0
2022/8/17,2:00,803,0
2022/8/17,2:05,809,0
2022/8/17,2:10,803,0
2022/8/17,2:15,798,0
2022/8/17,2:20,792,0
2022/8/17,2:25,810,0
2022/8/17,2:30,813,0
2022/8/17,2:35,812,0
2022/8/17,2:40,809,0
2022/8/17,2:45,815,0
2022/8/17,2:50,817,0
2022/8/17,2:55,827,0
2022/8/17,3:00,814,0
2022/8/17,3:05,809,0
2022/8/17,3:10,816,0
2022/8/17,3:15,812,0
2022/8/17,3:20,825,0
2022/8/17,3:25,829,0
2022/8/17,3:30,824,0
2022/8/17,3:35,831,0
2022/8/17,3:40,835,0
2022/8/17,3:45,837,0
2022/8/17,3:50,843,0
2022/8/17,3:55,837,0
2022/8/17,4:00,847,0
2022/8/17,4:05,847,0
2022/8/17,4:10,846,0
2022/8/17,4:15,845,0
2022/8/17,4:20,859,0
2022/8/17,4:25,861,0
2022/8/17,4:30,843,0
2022/8/17,4:35,851,0
2022/8/17,4:40,864,0
2022/8/17,4:45,880,0
2022/8/17,4:50,875,0
2022/8/17,4:55,880,0
2022/8/17,5:00,884,0
2022/8/17,5:05,886,0
2022/8/17,5:10,891,0
2022/8/17,5:15,900,0
2022/8/17,5:20,888,0
2022/8/17,5:25,893,0
2022/8/17,5:30,896,0
2022/8/17,5:35,898,0
2022/8/17,5:40,894,0
2022/8/17,5:45,892,0
2022/8/17,5:50,888,1
2022/8/17,5:55,890,2
2022/8/17,6:00,893,5
2022/8/17,6:05,889,6
2022/8/17,6:10,896,8
2022/8/17,6:15,901,12
2022/8/17,6:20,898,15
2022/8/17,6:25,892,20
2022/8/17,6:30,900,26
2022/8/17,6:35,902,30
2022/8/17,6:40,900,35
2022/8/17,6:45,899,40
2022/8/17,6:50,910,47
2022/8/17,6:55,903,53
2022/8/17,7:00,919,59
2022/8/17,7:05,930,67
2022/8/17,7:10,943,74
2022/8/17,7:15,950,78
2022/8/17,7:20,945,83
2022/8/17,7:25,960,88
2022/8/17,7:30,963,93
2022/8/17,7:35,980,93
2022/8/17,7:40,982,97
2022/8/17,7:45,984,100
2022/8/17,7:50,1006,104
2022/8/17,7:55,1014,105
2022/8/17,8:00,1028,110
2022/8/17,8:05,1060,117
2022/8/17,8:10,1062,125
2022/8/17,8:15,1072,127
2022/8/17,8:20,1091,133
2022/8/17,8:25,1100,135
2022/8/17,8:30,1106,141
2022/8/17,8:35,1120,146
2022/8/17,8:40,1135,150
2022/8/17,8:45,1139,149
2022/8/17,8:50,1148,147
2022/8/17,8:55,1152,143
2022/8/17,9:00,1156,147
2022/8/17,9:05,1174,152
2022/8/17,9:10,1176,153
2022/8/17,9:15,1180,153
2022/8/17,9:20,1187,154
2022/8/17,9:25,1189,158
2022/8/17,9:30,1190,162
2022/8/17,9:35,1205,167
2022/8/17,9:40,1209,165
2022/8/17,9:45,1206,166
2022/8/17,9:50,1208,170
2022/8/17,9:55,1206,172
2022/8/17,10:00,1203,171
2022/8/17,10:05,1201,171
2022/8/17,10:10,1207,179
2022/8/17,10:15,1218,193
2022/8/17,10:20,1221,195
2022/8/17,10:25,1220,203
2022/8/17,10:30,1216,207
2022/8/17,10:35,1197,203
2022/8/17,10:40,1201,206
2022/8/17,10:45,1195,217
2022/8/17,10:50,1202,225
2022/8/17,10:55,1200,230
2022/8/17,11:00,1208,241
2022/8/17,11:05,1210,257
2022/8/17,11:10,1217,263
2022/8/17,11:15,1196,251
2022/8/17,11:20,1195,253
2022/8/17,11:25,1213,256
2022/8/17,11:30,1207,267
2022/8/17,11:35,1210,275
2022/8/17,11:40,1214,278
2022/8/17,11:45,1217,288
2022/8/17,11:50,1228,295
2022/8/17,11:55,1217,288
2022/8/17,12:00,1212,290
2022/8/17,12:05,1195,285
2022/8/17,12:10,1200,291
2022/8/17,12:15,1188,287
2022/8/17,12:20,1191,280
2022/8/17,12:25,1187,275
2022/8/17,12:30,1191,272
2022/8/17,12:35,1189,266
2022/8/17,12:40,1174,255
2022/8/17,12:45,1184,258
2022/8/17,12:50,1200,258
2022/8/17,12:55,1192,249
2022/8/17,13:00,1189,240
2022/8/17,13:05,1202,237
2022/8/17,13:10,1206,235
2022/8/17,13:15,1203,232
2022/8/17,13:20,1214,233
2022/8/17,13:25,1212,233
2022/8/17,13:30,1213,231
2022/8/17,13:35,1215,227
2022/8/17,13:40,1212,224
2022/8/17,13:45,1221,222
2022/8/17,13:50,1217,221
2022/8/17,13:55,1210,218
2022/8/17,14:00,1209,211
2022/8/17,14:05,1219,214
2022/8/17,14:10,1213,207
2022/8/17,14:15,1226,205
2022/8/17,14:20,1236,202
2022/8/17,14:25,1227,194
2022/8/17,14:30,1237,195
2022/8/17,14:35,1225,184
2022/8/17,14:40,1222,177
2022/8/17,14:45,1219,167
