2016/04/09 00:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
145,19:00〜20:00,04月08日,00:00,46,68
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
99,19:00〜20:00,04月08日,00:00
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/04/08,00:00,73,70,50
2016/04/08,01:00,70,67,48
2016/04/08,02:00,70,67,48
2016/04/08,03:00,72,69,49
2016/04/08,04:00,71,69,48
2016/04/08,05:00,71,68,48
2016/04/08,06:00,72,69,49
2016/04/08,07:00,79,77,54
2016/04/08,08:00,87,86,60
2016/04/08,09:00,92,92,63
2016/04/08,10:00,96,96,66
2016/04/08,11:00,94,98,64
2016/04/08,12:00,92,97,63
2016/04/08,13:00,96,98,66
2016/04/08,14:00,98,97,67
2016/04/08,15:00,99,96,68
2016/04/08,16:00,100,97,68
2016/04/08,17:00,99,96,68
2016/04/08,18:00,99,96,68
2016/04/08,19:00,99,99,68
2016/04/08,20:00,95,95,65
2016/04/08,21:00,90,90,62
2016/04/08,22:00,84,83,57
2016/04/08,23:00,78,76,53
最大使用率(%),時間帯
68,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
145,19:00〜20:00,04月09日,00:00,42,70
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
102,19:00〜20:00,04月09日,00:00
DATE,TIME,当日実績(5分間隔値)(万kW)
2016/04/08,00:00,78
2016/04/08,00:05,76
2016/04/08,00:10,76
2016/04/08,00:15,75
2016/04/08,00:20,75
2016/04/08,00:25,74
2016/04/08,00:30,74
2016/04/08,00:35,73
2016/04/08,00:40,73
2016/04/08,00:45,73
2016/04/08,00:50,72
2016/04/08,00:55,72
2016/04/08,01:00,72
2016/04/08,01:05,72
2016/04/08,01:10,71
2016/04/08,01:15,71
2016/04/08,01:20,71
2016/04/08,01:25,70
2016/04/08,01:30,70
2016/04/08,01:35,70
2016/04/08,01:40,70
2016/04/08,01:45,70
2016/04/08,01:50,70
2016/04/08,01:55,70
2016/04/08,02:00,70
2016/04/08,02:05,70
2016/04/08,02:10,70
2016/04/08,02:15,70
2016/04/08,02:20,70
2016/04/08,02:25,70
2016/04/08,02:30,71
2016/04/08,02:35,71
2016/04/08,02:40,72
2016/04/08,02:45,72
2016/04/08,02:50,72
2016/04/08,02:55,72
2016/04/08,03:00,72
2016/04/08,03:05,72
2016/04/08,03:10,72
2016/04/08,03:15,72
2016/04/08,03:20,73
2016/04/08,03:25,73
2016/04/08,03:30,73
2016/04/08,03:35,73
2016/04/08,03:40,73
2016/04/08,03:45,73
2016/04/08,03:50,73
2016/04/08,03:55,73
2016/04/08,04:00,73
2016/04/08,04:05,73
2016/04/08,04:10,73
2016/04/08,04:15,73
2016/04/08,04:20,73
2016/04/08,04:25,73
2016/04/08,04:30,73
2016/04/08,04:35,72
2016/04/08,04:40,72
2016/04/08,04:45,72
2016/04/08,04:50,72
2016/04/08,04:55,72
2016/04/08,05:00,72
2016/04/08,05:05,72
2016/04/08,05:10,72
2016/04/08,05:15,72
2016/04/08,05:20,72
2016/04/08,05:25,72
2016/04/08,05:30,72
2016/04/08,05:35,72
2016/04/08,05:40,71
2016/04/08,05:45,71
2016/04/08,05:50,71
2016/04/08,05:55,71
2016/04/08,06:00,72
2016/04/08,06:05,72
2016/04/08,06:10,72
2016/04/08,06:15,72
2016/04/08,06:20,73
2016/04/08,06:25,73
2016/04/08,06:30,73
2016/04/08,06:35,73
2016/04/08,06:40,74
2016/04/08,06:45,74
2016/04/08,06:50,75
2016/04/08,06:55,75
2016/04/08,07:00,76
2016/04/08,07:05,77
2016/04/08,07:10,78
2016/04/08,07:15,78
2016/04/08,07:20,78
2016/04/08,07:25,78
2016/04/08,07:30,79
2016/04/08,07:35,81
2016/04/08,07:40,81
2016/04/08,07:45,81
2016/04/08,07:50,82
2016/04/08,07:55,83
2016/04/08,08:00,83
2016/04/08,08:05,85
2016/04/08,08:10,86
2016/04/08,08:15,86
2016/04/08,08:20,86
2016/04/08,08:25,86
2016/04/08,08:30,87
2016/04/08,08:35,89
2016/04/08,08:40,89
2016/04/08,08:45,90
2016/04/08,08:50,90
2016/04/08,08:55,91
2016/04/08,09:00,90
2016/04/08,09:05,91
2016/04/08,09:10,91
2016/04/08,09:15,91
2016/04/08,09:20,91
2016/04/08,09:25,92
2016/04/08,09:30,93
2016/04/08,09:35,94
2016/04/08,09:40,94
2016/04/08,09:45,95
2016/04/08,09:50,95
2016/04/08,09:55,96
2016/04/08,10:00,96
2016/04/08,10:05,97
