2018/10/16 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
1952,14:00〜15:00,10/15,9:30,91
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1780,14:00〜15:00,10/15,9:30
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
89,17,23,17.6,23.4
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%)
2018/10/15,0:00,1139,1120,58
2018/10/15,1:00,1091,1090,55
2018/10/15,2:00,1131,1140,57
2018/10/15,3:00,1206,1220,61
2018/10/15,4:00,1231,1240,63
2018/10/15,5:00,1219,1210,62
2018/10/15,6:00,1253,1270,64
2018/10/15,7:00,1382,1400,70
2018/10/15,8:00,1556,1580,79
2018/10/15,9:00,1713,1700,87
2018/10/15,10:00,1754,1740,89
2018/10/15,11:00,1746,1750,89
2018/10/15,12:00,1656,1660,84
2018/10/15,13:00,1733,1770,88
2018/10/15,14:00,1741,1780,89
2018/10/15,15:00,1722,1760,88
2018/10/15,16:00,1729,1760,88
2018/10/15,17:00,1733,1760,88
2018/10/15,18:00,1727,1740,88
2018/10/15,19:00,1643,1650,84
2018/10/15,20:00,1557,1560,79
2018/10/15,21:00,1501,1490,76
2018/10/15,22:00,1428,1430,73
2018/10/15,23:00,1356,1350,69
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2024,14:00〜15:00,10/15,18:30,88
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1800,14:00〜15:00,10/15,18:30
予想気温(最低),予想気温(最高)
16,23
DATE,TIME,当日実績(５分間隔値)(万kW)
2018/10/15,0:00,1176
2018/10/15,0:05,1168
2018/10/15,0:10,1154
2018/10/15,0:15,1155
2018/10/15,0:20,1151
2018/10/15,0:25,1140
2018/10/15,0:30,1133
2018/10/15,0:35,1118
2018/10/15,0:40,1120
2018/10/15,0:45,1118
2018/10/15,0:50,1113
2018/10/15,0:55,1116
2018/10/15,1:00,1111
2018/10/15,1:05,1089
2018/10/15,1:10,1092
2018/10/15,1:15,1095
2018/10/15,1:20,1094
2018/10/15,1:25,1095
2018/10/15,1:30,1088
2018/10/15,1:35,1086
2018/10/15,1:40,1082
2018/10/15,1:45,1084
2018/10/15,1:50,1091
2018/10/15,1:55,1086
2018/10/15,2:00,1080
2018/10/15,2:05,1089
2018/10/15,2:10,1105
2018/10/15,2:15,1116
2018/10/15,2:20,1123
2018/10/15,2:25,1134
2018/10/15,2:30,1142
2018/10/15,2:35,1143
2018/10/15,2:40,1149
2018/10/15,2:45,1163
2018/10/15,2:50,1164
2018/10/15,2:55,1161
2018/10/15,3:00,1180
2018/10/15,3:05,1193
2018/10/15,3:10,1193
2018/10/15,3:15,1188
2018/10/15,3:20,1209
2018/10/15,3:25,1203
2018/10/15,3:30,1208
2018/10/15,3:35,1210
2018/10/15,3:40,1210
2018/10/15,3:45,1224
2018/10/15,3:50,1219
2018/10/15,3:55,1236
2018/10/15,4:00,1231
2018/10/15,4:05,1233
2018/10/15,4:10,1234
2018/10/15,4:15,1235
2018/10/15,4:20,1225
2018/10/15,4:25,1229
2018/10/15,4:30,1227
2018/10/15,4:35,1224
2018/10/15,4:40,1223
2018/10/15,4:45,1235
2018/10/15,4:50,1238
2018/10/15,4:55,1235
2018/10/15,5:00,1224
2018/10/15,5:05,1232
2018/10/15,5:10,1232
2018/10/15,5:15,1225
2018/10/15,5:20,1225
2018/10/15,5:25,1230
2018/10/15,5:30,1228
2018/10/15,5:35,1207
2018/10/15,5:40,1206
2018/10/15,5:45,1201
2018/10/15,5:50,1205
2018/10/15,5:55,1215
2018/10/15,6:00,1222
2018/10/15,6:05,1223
2018/10/15,6:10,1229
2018/10/15,6:15,1228
2018/10/15,6:20,1234
2018/10/15,6:25,1235
2018/10/15,6:30,1252
2018/10/15,6:35,1264
2018/10/15,6:40,1276
2018/10/15,6:45,1274
2018/10/15,6:50,1290
2018/10/15,6:55,1303
2018/10/15,7:00,1319
2018/10/15,7:05,1317
2018/10/15,7:10,1332
2018/10/15,7:15,1347
2018/10/15,7:20,1359
2018/10/15,7:25,1380
2018/10/15,7:30,1388
2018/10/15,7:35,1399
2018/10/15,7:40,1414
2018/10/15,7:45,1430
2018/10/15,7:50,1448
2018/10/15,7:55,1447
2018/10/15,8:00,1461
2018/10/15,8:05,1475
2018/10/15,8:10,1508
2018/10/15,8:15,1520
2018/10/15,8:20,1528
2018/10/15,8:25,1549
2018/10/15,8:30,1558
2018/10/15,8:35,1586
2018/10/15,8:40,1603
2018/10/15,8:45,1613
2018/10/15,8:50,1621
2018/10/15,8:55,1655
2018/10/15,9:00,1672
2018/10/15,9:05,1691
2018/10/15,9:10,1697
2018/10/15,9:15,1688
2018/10/15,9:20,1699
2018/10/15,9:25,1717
2018/10/15,9:30,1717
2018/10/15,9:35,1729
2018/10/15,9:40,1742
2018/10/15,9:45,1730
2018/10/15,9:50,1733
2018/10/15,9:55,1744
2018/10/15,10:00,1748
2018/10/15,10:05,1736
2018/10/15,10:10,1736
2018/10/15,10:15,1747
2018/10/15,10:20,1757
2018/10/15,10:25,1768
2018/10/15,10:30,1751
2018/10/15,10:35,1756
2018/10/15,10:40,1770
2018/10/15,10:45,1762
2018/10/15,10:50,1756
2018/10/15,10:55,1766
2018/10/15,11:00,1759
2018/10/15,11:05,1756
2018/10/15,11:10,1762
2018/10/15,11:15,1747
2018/10/15,11:20,1741
2018/10/15,11:25,1744
2018/10/15,11:30,1741
2018/10/15,11:35,1740
2018/10/15,11:40,1738
2018/10/15,11:45,1738
2018/10/15,11:50,1746
2018/10/15,11:55,1740
2018/10/15,12:00,1725
2018/10/15,12:05,1695
2018/10/15,12:10,1679
2018/10/15,12:15,1657
2018/10/15,12:20,1652
2018/10/15,12:25,1654
2018/10/15,12:30,1653
2018/10/15,12:35,1648
2018/10/15,12:40,1638
2018/10/15,12:45,1625
2018/10/15,12:50,1619
2018/10/15,12:55,1630
2018/10/15,13:00,1653
2018/10/15,13:05,1683
2018/10/15,13:10,1712
2018/10/15,13:15,1731
2018/10/15,13:20,1741
2018/10/15,13:25,1740
2018/10/15,13:30,1754
2018/10/15,13:35,1765
2018/10/15,13:40,1764
2018/10/15,13:45,1760
2018/10/15,13:50,1750
2018/10/15,13:55,1746
2018/10/15,14:00,1736
2018/10/15,14:05,1733
2018/10/15,14:10,1732
2018/10/15,14:15,1733
2018/10/15,14:20,1738
2018/10/15,14:25,1742
2018/10/15,14:30,1745
2018/10/15,14:35,1750
2018/10/15,14:40,1753
2018/10/15,14:45,1752
2018/10/15,14:50,1743
2018/10/15,14:55,1735
2018/10/15,15:00,1728
2018/10/15,15:05,1719
2018/10/15,15:10,1708
2018/10/15,15:15,1714
2018/10/15,15:20,1720
2018/10/15,15:25,1728
2018/10/15,15:30,1729
2018/10/15,15:35,1729
2018/10/15,15:40,1726
2018/10/15,15:45,1719
2018/10/15,15:50,1720
2018/10/15,15:55,1722
2018/10/15,16:00,1723
2018/10/15,16:05,1724
2018/10/15,16:10,1731
2018/10/15,16:15,1727
2018/10/15,16:20,1724
2018/10/15,16:25,1724
2018/10/15,16:30,1731
2018/10/15,16:35,1741
2018/10/15,16:40,1737
2018/10/15,16:45,1732
2018/10/15,16:50,1728
2018/10/15,16:55,1726
2018/10/15,17:00,1717
2018/10/15,17:05,1717
2018/10/15,17:10,1716
2018/10/15,17:15,1712
2018/10/15,17:20,1724
2018/10/15,17:25,1729
2018/10/15,17:30,1732
2018/10/15,17:35,1743
2018/10/15,17:40,1748
2018/10/15,17:45,1752
2018/10/15,17:50,1750
2018/10/15,17:55,1753
2018/10/15,18:00,1747
2018/10/15,18:05,1747
2018/10/15,18:10,1741
2018/10/15,18:15,1738
2018/10/15,18:20,1738
2018/10/15,18:25,1735
2018/10/15,18:30,1731
