2018/10/12 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2004,11:00〜12:00,10/11,9:30,90
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1820,11:00〜12:00,10/11,9:30
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
90,19,23,17.5,20.5
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%)
2018/10/11,0:00,1295,1240,64
2018/10/11,1:00,1228,1190,61
2018/10/11,2:00,1252,1230,62
2018/10/11,3:00,1321,1290,65
2018/10/11,4:00,1341,1310,66
2018/10/11,5:00,1320,1300,65
2018/10/11,6:00,1363,1340,68
2018/10/11,7:00,1503,1470,75
2018/10/11,8:00,1666,1670,83
2018/10/11,9:00,1799,1790,89
2018/10/11,10:00,1814,1810,90
2018/10/11,11:00,1793,1820,89
2018/10/11,12:00,1695,1710,84
2018/10/11,13:00,1786,1800,89
2018/10/11,14:00,1803,1820,89
2018/10/11,15:00,1797,1810,89
2018/10/11,16:00,1804,1790,90
2018/10/11,17:00,1791,1760,89
2018/10/11,18:00,1749,1740,87
2018/10/11,19:00,1664,1670,83
2018/10/11,20:00,1570,1570,78
2018/10/11,21:00,1505,1510,75
2018/10/11,22:00,1444,1450,72
2018/10/11,23:00,1375,1380,68
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2217,11:00〜12:00,10/11,18:30,82
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1820,11:00〜12:00,10/11,18:30
予想気温(最低),予想気温(最高)
17,22
DATE,TIME,当日実績(５分間隔値)(万kW)
2018/10/11,0:00,1354
2018/10/11,0:05,1337
2018/10/11,0:10,1325
2018/10/11,0:15,1312
2018/10/11,0:20,1300
2018/10/11,0:25,1297
2018/10/11,0:30,1297
2018/10/11,0:35,1276
2018/10/11,0:40,1282
2018/10/11,0:45,1259
2018/10/11,0:50,1256
2018/10/11,0:55,1247
2018/10/11,1:00,1246
2018/10/11,1:05,1238
2018/10/11,1:10,1237
2018/10/11,1:15,1216
2018/10/11,1:20,1226
2018/10/11,1:25,1228
2018/10/11,1:30,1231
2018/10/11,1:35,1224
2018/10/11,1:40,1220
2018/10/11,1:45,1220
2018/10/11,1:50,1226
2018/10/11,1:55,1222
2018/10/11,2:00,1218
2018/10/11,2:05,1223
2018/10/11,2:10,1223
2018/10/11,2:15,1238
2018/10/11,2:20,1240
2018/10/11,2:25,1254
2018/10/11,2:30,1254
2018/10/11,2:35,1257
2018/10/11,2:40,1267
2018/10/11,2:45,1275
2018/10/11,2:50,1285
2018/10/11,2:55,1289
2018/10/11,3:00,1294
2018/10/11,3:05,1307
2018/10/11,3:10,1313
2018/10/11,3:15,1321
2018/10/11,3:20,1312
2018/10/11,3:25,1316
2018/10/11,3:30,1319
2018/10/11,3:35,1329
2018/10/11,3:40,1334
2018/10/11,3:45,1326
2018/10/11,3:50,1339
2018/10/11,3:55,1342
2018/10/11,4:00,1339
2018/10/11,4:05,1345
2018/10/11,4:10,1352
2018/10/11,4:15,1340
2018/10/11,4:20,1341
2018/10/11,4:25,1339
2018/10/11,4:30,1333
2018/10/11,4:35,1335
2018/10/11,4:40,1340
2018/10/11,4:45,1342
2018/10/11,4:50,1339
