2018/10/24 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
1941,14:00〜15:00,10/23,9:30,91
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1780,14:00〜15:00,10/23,9:30
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
91,17,21,16.3,20.1
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%)
2018/10/23,0:00,1247,1250,64
2018/10/23,1:00,1194,1210,61
2018/10/23,2:00,1239,1260,63
2018/10/23,3:00,1310,1330,67
2018/10/23,4:00,1324,1350,68
2018/10/23,5:00,1306,1320,67
2018/10/23,6:00,1331,1350,68
2018/10/23,7:00,1435,1470,73
2018/10/23,8:00,1609,1610,82
2018/10/23,9:00,1750,1720,90
2018/10/23,10:00,1745,1750,89
2018/10/23,11:00,1723,1760,88
2018/10/23,12:00,1631,1660,84
2018/10/23,13:00,1709,1750,88
2018/10/23,14:00,1740,1780,89
2018/10/23,15:00,1728,1770,89
2018/10/23,16:00,1756,1760,90
2018/10/23,17:00,1770,1770,91
2018/10/23,18:00,1741,1740,89
2018/10/23,19:00,1661,1660,85
2018/10/23,20:00,1573,1580,81
2018/10/23,21:00,1507,1510,77
2018/10/23,22:00,1441,1450,74
2018/10/23,23:00,1376,1380,70
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2210,14:00〜15:00,10/23,18:30,80
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1770,14:00〜15:00,10/23,18:30
予想気温(最低),予想気温(最高)
16,24
DATE,TIME,当日実績(５分間隔値)(万kW)
2018/10/23,0:00,1297
2018/10/23,0:05,1283
2018/10/23,0:10,1274
2018/10/23,0:15,1266
2018/10/23,0:20,1254
2018/10/23,0:25,1252
2018/10/23,0:30,1239
2018/10/23,0:35,1231
2018/10/23,0:40,1216
2018/10/23,0:45,1219
2018/10/23,0:50,1217
2018/10/23,0:55,1211
2018/10/23,1:00,1197
2018/10/23,1:05,1189
2018/10/23,1:10,1201
2018/10/23,1:15,1199
2018/10/23,1:20,1193
2018/10/23,1:25,1193
2018/10/23,1:30,1185
2018/10/23,1:35,1193
2018/10/23,1:40,1193
2018/10/23,1:45,1187
2018/10/23,1:50,1197
2018/10/23,1:55,1202
2018/10/23,2:00,1201
2018/10/23,2:05,1205
2018/10/23,2:10,1220
2018/10/23,2:15,1218
2018/10/23,2:20,1220
2018/10/23,2:25,1232
2018/10/23,2:30,1240
2018/10/23,2:35,1251
2018/10/23,2:40,1262
2018/10/23,2:45,1265
2018/10/23,2:50,1272
2018/10/23,2:55,1280
2018/10/23,3:00,1281
2018/10/23,3:05,1284
2018/10/23,3:10,1295
2018/10/23,3:15,1315
2018/10/23,3:20,1306
2018/10/23,3:25,1300
2018/10/23,3:30,1317
2018/10/23,3:35,1321
2018/10/23,3:40,1329
2018/10/23,3:45,1321
2018/10/23,3:50,1325
2018/10/23,3:55,1326
2018/10/23,4:00,1326
2018/10/23,4:05,1332
2018/10/23,4:10,1324
2018/10/23,4:15,1325
2018/10/23,4:20,1324
2018/10/23,4:25,1330
2018/10/23,4:30,1327
2018/10/23,4:35,1321
2018/10/23,4:40,1325
2018/10/23,4:45,1328
2018/10/23,4:50,1313
2018/10/23,4:55,1316
2018/10/23,5:00,1309
2018/10/23,5:05,1318
2018/10/23,5:10,1323
2018/10/23,5:15,1319
2018/10/23,5:20,1313
2018/10/23,5:25,1313
2018/10/23,5:30,1310
2018/10/23,5:35,1306
2018/10/23,5:40,1303
2018/10/23,5:45,1290
2018/10/23,5:50,1287
2018/10/23,5:55,1284
2018/10/23,6:00,1301
2018/10/23,6:05,1301
2018/10/23,6:10,1302
2018/10/23,6:15,1313
2018/10/23,6:20,1317
2018/10/23,6:25,1321
2018/10/23,6:30,1332
2018/10/23,6:35,1343
2018/10/23,6:40,1346
2018/10/23,6:45,1357
2018/10/23,6:50,1367
2018/10/23,6:55,1373
2018/10/23,7:00,1384
2018/10/23,7:05,1390
2018/10/23,7:10,1410
2018/10/23,7:15,1415
2018/10/23,7:20,1415
2018/10/23,7:25,1432
2018/10/23,7:30,1434
2018/10/23,7:35,1444
2018/10/23,7:40,1453
2018/10/23,7:45,1465
2018/10/23,7:50,1484
