2018/10/17 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2020,14:00〜15:00,10/16,9:30,89
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1800,14:00〜15:00,10/16,9:30
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
86,16,23,16.3,22.9
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%)
2018/10/16,0:00,1264,1230,62
2018/10/16,1:00,1203,1190,59
2018/10/16,2:00,1239,1240,61
2018/10/16,3:00,1305,1300,64
2018/10/16,4:00,1325,1330,65
2018/10/16,5:00,1309,1310,64
2018/10/16,6:00,1327,1330,65
2018/10/16,7:00,1414,1440,70
2018/10/16,8:00,1572,1610,77
2018/10/16,9:00,1710,1750,84
2018/10/16,10:00,1725,1790,85
2018/10/16,11:00,1726,1790,85
2018/10/16,12:00,1635,1690,80
2018/10/16,13:00,1707,1780,84
2018/10/16,14:00,1723,1800,85
2018/10/16,15:00,1732,1780,85
2018/10/16,16:00,1733,1780,85
2018/10/16,17:00,1751,1780,86
2018/10/16,18:00,1738,1740,86
2018/10/16,19:00,1657,1650,82
2018/10/16,20:00,1566,1570,77
2018/10/16,21:00,1500,1510,74
2018/10/16,22:00,1430,1440,70
2018/10/16,23:00,1357,1370,67
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2053,14:00〜15:00,10/16,18:30,87
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1800,14:00〜15:00,10/16,18:30
予想気温(最低),予想気温(最高)
17,23
DATE,TIME,当日実績(５分間隔値)(万kW)
2018/10/16,0:00,1307
2018/10/16,0:05,1305
2018/10/16,0:10,1294
2018/10/16,0:15,1293
2018/10/16,0:20,1277
2018/10/16,0:25,1271
2018/10/16,0:30,1262
2018/10/16,0:35,1250
2018/10/16,0:40,1242
2018/10/16,0:45,1224
2018/10/16,0:50,1219
2018/10/16,0:55,1227
2018/10/16,1:00,1225
2018/10/16,1:05,1216
2018/10/16,1:10,1216
2018/10/16,1:15,1210
2018/10/16,1:20,1200
2018/10/16,1:25,1204
2018/10/16,1:30,1194
2018/10/16,1:35,1195
2018/10/16,1:40,1195
2018/10/16,1:45,1201
2018/10/16,1:50,1189
2018/10/16,1:55,1189
2018/10/16,2:00,1201
2018/10/16,2:05,1214
2018/10/16,2:10,1226
2018/10/16,2:15,1224
2018/10/16,2:20,1223
2018/10/16,2:25,1235
2018/10/16,2:30,1249
2018/10/16,2:35,1253
2018/10/16,2:40,1252
2018/10/16,2:45,1260
2018/10/16,2:50,1260
2018/10/16,2:55,1272
2018/10/16,3:00,1273
2018/10/16,3:05,1276
2018/10/16,3:10,1280
2018/10/16,3:15,1302
2018/10/16,3:20,1305
2018/10/16,3:25,1303
2018/10/16,3:30,1306
2018/10/16,3:35,1313
2018/10/16,3:40,1327
2018/10/16,3:45,1337
2018/10/16,3:50,1328
2018/10/16,3:55,1313
2018/10/16,4:00,1320
2018/10/16,4:05,1337
2018/10/16,4:10,1328
2018/10/16,4:15,1317
2018/10/16,4:20,1320
2018/10/16,4:25,1326
2018/10/16,4:30,1328
2018/10/16,4:35,1326
2018/10/16,4:40,1332
2018/10/16,4:45,1334
2018/10/16,4:50,1328
