2018/10/20 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2217,11:00〜12:00,10/19,9:30,79
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1770,11:00〜12:00,10/19,9:30
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
79,15,24,15.5,24.1
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%)
2018/10/19,0:00,1278,1250,57
2018/10/19,1:00,1228,1210,55
2018/10/19,2:00,1262,1250,56
2018/10/19,3:00,1337,1320,60
2018/10/19,4:00,1351,1330,60
2018/10/19,5:00,1337,1320,60
2018/10/19,6:00,1345,1350,60
2018/10/19,7:00,1452,1450,65
2018/10/19,8:00,1596,1590,71
2018/10/19,9:00,1709,1720,77
2018/10/19,10:00,1740,1760,78
2018/10/19,11:00,1755,1770,79
2018/10/19,12:00,1669,1680,75
2018/10/19,13:00,1743,1770,78
2018/10/19,14:00,1765,1770,79
2018/10/19,15:00,1750,1760,78
2018/10/19,16:00,1748,1750,78
2018/10/19,17:00,1724,1750,77
2018/10/19,18:00,1694,1720,76
2018/10/19,19:00,1624,1640,73
2018/10/19,20:00,1546,1550,69
2018/10/19,21:00,1491,1480,67
2018/10/19,22:00,1424,1420,64
2018/10/19,23:00,1372,1360,61
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
1934,18:00〜19:00,10/19,18:30,79
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1540,18:00〜19:00,10/19,18:30
予想気温(最低),予想気温(最高)
16,22
DATE,TIME,当日実績(５分間隔値)(万kW)
2018/10/19,0:00,1316
2018/10/19,0:05,1306
2018/10/19,0:10,1296
2018/10/19,0:15,1296
2018/10/19,0:20,1289
2018/10/19,0:25,1274
2018/10/19,0:30,1267
2018/10/19,0:35,1274
2018/10/19,0:40,1270
2018/10/19,0:45,1254
2018/10/19,0:50,1248
2018/10/19,0:55,1241
2018/10/19,1:00,1236
2018/10/19,1:05,1239
2018/10/19,1:10,1233
2018/10/19,1:15,1231
2018/10/19,1:20,1218
2018/10/19,1:25,1218
2018/10/19,1:30,1229
2018/10/19,1:35,1223
2018/10/19,1:40,1234
2018/10/19,1:45,1219
2018/10/19,1:50,1218
2018/10/19,1:55,1234
2018/10/19,2:00,1225
2018/10/19,2:05,1233
2018/10/19,2:10,1235
2018/10/19,2:15,1247
2018/10/19,2:20,1256
2018/10/19,2:25,1256
2018/10/19,2:30,1264
2018/10/19,2:35,1269
2018/10/19,2:40,1282
2018/10/19,2:45,1289
2018/10/19,2:50,1289
2018/10/19,2:55,1301
2018/10/19,3:00,1311
2018/10/19,3:05,1311
2018/10/19,3:10,1326
2018/10/19,3:15,1340
2018/10/19,3:20,1340
2018/10/19,3:25,1339
2018/10/19,3:30,1348
2018/10/19,3:35,1340
2018/10/19,3:40,1333
2018/10/19,3:45,1348
2018/10/19,3:50,1354
2018/10/19,3:55,1359
2018/10/19,4:00,1356
2018/10/19,4:05,1353
2018/10/19,4:10,1354
2018/10/19,4:15,1343
2018/10/19,4:20,1365
2018/10/19,4:25,1362
2018/10/19,4:30,1352
2018/10/19,4:35,1354
2018/10/19,4:40,1346
2018/10/19,4:45,1348
2018/10/19,4:50,1338
2018/10/19,4:55,1346
2018/10/19,5:00,1347
2018/10/19,5:05,1350
2018/10/19,5:10,1352
2018/10/19,5:15,1351
2018/10/19,5:20,1346
2018/10/19,5:25,1345
2018/10/19,5:30,1338
2018/10/19,5:35,1336
2018/10/19,5:40,1336
2018/10/19,5:45,1320
2018/10/19,5:50,1315
2018/10/19,5:55,1307
2018/10/19,6:00,1315
2018/10/19,6:05,1321
2018/10/19,6:10,1338
2018/10/19,6:15,1339
2018/10/19,6:20,1330
2018/10/19,6:25,1333
2018/10/19,6:30,1338
2018/10/19,6:35,1342
2018/10/19,6:40,1350
2018/10/19,6:45,1369
2018/10/19,6:50,1376
2018/10/19,6:55,1384
2018/10/19,7:00,1394
2018/10/19,7:05,1406
2018/10/19,7:10,1413
2018/10/19,7:15,1424
2018/10/19,7:20,1440
2018/10/19,7:25,1445
2018/10/19,7:30,1452
2018/10/19,7:35,1463
2018/10/19,7:40,1478
2018/10/19,7:45,1496
2018/10/19,7:50,1501
2018/10/19,7:55,1510
2018/10/19,8:00,1523
2018/10/19,8:05,1544
2018/10/19,8:10,1556
2018/10/19,8:15,1559
2018/10/19,8:20,1558
2018/10/19,8:25,1593
2018/10/19,8:30,1606
2018/10/19,8:35,1625
2018/10/19,8:40,1629
2018/10/19,8:45,1637
2018/10/19,8:50,1653
2018/10/19,8:55,1670
2018/10/19,9:00,1676
2018/10/19,9:05,1681
2018/10/19,9:10,1694
2018/10/19,9:15,1697
2018/10/19,9:20,1702
2018/10/19,9:25,1708
2018/10/19,9:30,1708
2018/10/19,9:35,1712
2018/10/19,9:40,1724
2018/10/19,9:45,1729
2018/10/19,9:50,1734
2018/10/19,9:55,1738
2018/10/19,10:00,1734
2018/10/19,10:05,1728
2018/10/19,10:10,1720
2018/10/19,10:15,1724
2018/10/19,10:20,1738
2018/10/19,10:25,1737
2018/10/19,10:30,1743
2018/10/19,10:35,1751
2018/10/19,10:40,1746
2018/10/19,10:45,1749
2018/10/19,10:50,1754
2018/10/19,10:55,1755
2018/10/19,11:00,1761
2018/10/19,11:05,1762
2018/10/19,11:10,1760
2018/10/19,11:15,1753
2018/10/19,11:20,1759
2018/10/19,11:25,1760
2018/10/19,11:30,1752
2018/10/19,11:35,1753
2018/10/19,11:40,1752
2018/10/19,11:45,1746
2018/10/19,11:50,1749
2018/10/19,11:55,1749
2018/10/19,12:00,1739
2018/10/19,12:05,1717
2018/10/19,12:10,1690
2018/10/19,12:15,1674
2018/10/19,12:20,1665
2018/10/19,12:25,1664
2018/10/19,12:30,1652
2018/10/19,12:35,1648
2018/10/19,12:40,1643
2018/10/19,12:45,1637
2018/10/19,12:50,1645
2018/10/19,12:55,1656
2018/10/19,13:00,1674
2018/10/19,13:05,1710
2018/10/19,13:10,1730
2018/10/19,13:15,1742
2018/10/19,13:20,1744
2018/10/19,13:25,1752
2018/10/19,13:30,1755
2018/10/19,13:35,1762
2018/10/19,13:40,1765
2018/10/19,13:45,1767
2018/10/19,13:50,1759
2018/10/19,13:55,1761
2018/10/19,14:00,1765
2018/10/19,14:05,1776
2018/10/19,14:10,1774
2018/10/19,14:15,1762
2018/10/19,14:20,1767
2018/10/19,14:25,1766
2018/10/19,14:30,1765
2018/10/19,14:35,1770
2018/10/19,14:40,1766
2018/10/19,14:45,1755
2018/10/19,14:50,1756
2018/10/19,14:55,1758
2018/10/19,15:00,1759
2018/10/19,15:05,1752
2018/10/19,15:10,1740
2018/10/19,15:15,1735
2018/10/19,15:20,1743
2018/10/19,15:25,1745
2018/10/19,15:30,1752
2018/10/19,15:35,1759
2018/10/19,15:40,1756
2018/10/19,15:45,1755
2018/10/19,15:50,1753
2018/10/19,15:55,1748
2018/10/19,16:00,1751
2018/10/19,16:05,1756
2018/10/19,16:10,1760
2018/10/19,16:15,1759
2018/10/19,16:20,1760
2018/10/19,16:25,1756
2018/10/19,16:30,1747
2018/10/19,16:35,1750
2018/10/19,16:40,1737
2018/10/19,16:45,1739
2018/10/19,16:50,1733
2018/10/19,16:55,1729
2018/10/19,17:00,1722
2018/10/19,17:05,1719
2018/10/19,17:10,1713
2018/10/19,17:15,1710
