2025/6/5 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4070,13:00〜14:00,6/5,23:50,17,85

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3489,13:00〜14:00,6/5,23:50

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2720,0:00〜1:00,6/5,23:50,14,87

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2385,0:00〜1:00,6/5,23:50

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/6/5,0:00,2384,2385,87,2720
2025/6/5,1:00,2257,2275,86,2614
2025/6/5,2:00,2229,2250,85,2603
2025/6/5,3:00,2249,2268,86,2613
2025/6/5,4:00,2254,2287,85,2629
2025/6/5,5:00,2242,2271,83,2681
2025/6/5,6:00,2310,2343,78,2935
2025/6/5,7:00,2532,2552,76,3304
2025/6/5,8:00,2862,2927,78,3639
2025/6/5,9:00,3183,3251,82,3852
2025/6/5,10:00,3346,3339,83,4002
2025/6/5,11:00,3417,3446,83,4070
2025/6/5,12:00,3340,3392,83,3988
2025/6/5,13:00,3433,3489,84,4070
2025/6/5,14:00,3407,3476,83,4092
2025/6/5,15:00,3378,3437,82,4080
2025/6/5,16:00,3387,3390,83,4076
2025/6/5,17:00,3303,3279,82,3981
2025/6/5,18:00,3234,3251,81,3985
2025/6/5,19:00,3172,3215,78,4018
2025/6/5,20:00,3016,3011,76,3937
2025/6/5,21:00,2845,2843,74,3807
2025/6/5,22:00,2713,2708,75,3585
2025/6/5,23:00,2561,2560,72,3513

最大使用率(%),時間帯
87,0:00〜1:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3943,13:00〜14:00,6/6,23:50,10,90

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3573,13:00〜14:00,6/6,23:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3943,13:00〜14:00,6/6,23:50,10,90

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3573,13:00〜14:00,6/6,23:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2025/6/5,0:00,2464,0,0
2025/6/5,0:05,2445,0,0
2025/6/5,0:10,2434,0,0
2025/6/5,0:15,2426,0,0
2025/6/5,0:20,2404,0,0
2025/6/5,0:25,2398,0,0
2025/6/5,0:30,2389,0,0
2025/6/5,0:35,2374,0,0
2025/6/5,0:40,2343,0,0
2025/6/5,0:45,2329,0,0
2025/6/5,0:50,2319,0,0
2025/6/5,0:55,2307,0,0
2025/6/5,1:00,2293,0,0
2025/6/5,1:05,2282,0,0
2025/6/5,1:10,2276,0,0
2025/6/5,1:15,2269,0,0
2025/6/5,1:20,2266,0,0
2025/6/5,1:25,2265,0,0
2025/6/5,1:30,2247,0,0
2025/6/5,1:35,2252,0,0
2025/6/5,1:40,2236,0,0
2025/6/5,1:45,2238,0,0
2025/6/5,1:50,2232,0,0
2025/6/5,1:55,2225,0,0
2025/6/5,2:00,2226,0,0
2025/6/5,2:05,2232,0,0
2025/6/5,2:10,2227,0,0
2025/6/5,2:15,2230,0,0
2025/6/5,2:20,2230,0,0
2025/6/5,2:25,2219,0,0
2025/6/5,2:30,2216,0,0
2025/6/5,2:35,2242,0,0
2025/6/5,2:40,2222,0,0
2025/6/5,2:45,2230,0,0
2025/6/5,2:50,2227,0,0
2025/6/5,2:55,2220,0,0
2025/6/5,3:00,2226,0,0
2025/6/5,3:05,2230,0,0
2025/6/5,3:10,2229,0,0
2025/6/5,3:15,2247,0,0
2025/6/5,3:20,2245,0,0
2025/6/5,3:25,2246,0,0
2025/6/5,3:30,2247,0,0
2025/6/5,3:35,2239,0,0
2025/6/5,3:40,2259,0,0
2025/6/5,3:45,2251,0,0
2025/6/5,3:50,2262,0,0
2025/6/5,3:55,2259,0,0
2025/6/5,4:00,2250,0,0
2025/6/5,4:05,2262,0,0
2025/6/5,4:10,2268,0,0
2025/6/5,4:15,2255,0,0
2025/6/5,4:20,2263,0,0
2025/6/5,4:25,2269,0,0
2025/6/5,4:30,2250,0,0
2025/6/5,4:35,2254,0,0
2025/6/5,4:40,2248,0,0
2025/6/5,4:45,2246,0,0
2025/6/5,4:50,2238,0,0
2025/6/5,4:55,2226,1,0
2025/6/5,5:00,2229,9,0
2025/6/5,5:05,2237,24,1
2025/6/5,5:10,2242,36,1
2025/6/5,5:15,2243,44,1
2025/6/5,5:20,2240,52,2
2025/6/5,5:25,2247,62,2
2025/6/5,5:30,2247,73,3
2025/6/5,5:35,2235,83,3
2025/6/5,5:40,2232,93,4
2025/6/5,5:45,2228,106,4
2025/6/5,5:50,2219,121,5
2025/6/5,5:55,2224,138,6
2025/6/5,6:00,2237,157,7
2025/6/5,6:05,2247,179,7
2025/6/5,6:10,2241,202,9
2025/6/5,6:15,2257,226,10
2025/6/5,6:20,2275,250,10
2025/6/5,6:25,2282,276,12
2025/6/5,6:30,2283,304,13
2025/6/5,6:35,2327,331,14
2025/6/5,6:40,2333,360,15
2025/6/5,6:45,2353,391,16
2025/6/5,6:50,2374,419,17
2025/6/5,6:55,2395,449,18
2025/6/5,7:00,2393,475,19
2025/6/5,7:05,2449,508,20
2025/6/5,7:10,2440,537,22
2025/6/5,7:15,2467,570,23
2025/6/5,7:20,2483,600,24
