2025/5/31 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3468,18:00〜19:00,5/31,23:50,27,78
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2730,18:00〜19:00,5/31,23:50
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2644,0:00〜1:00,5/31,23:50,17,85
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2269,0:00〜1:00,5/31,23:50
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/5/31,0:00,2260,2269,85,2644
2025/5/31,1:00,2147,2173,84,2538
2025/5/31,2:00,2129,2151,84,2517
2025/5/31,3:00,2160,2163,84,2543
2025/5/31,4:00,2166,2157,84,2549
2025/5/31,5:00,2122,2148,84,2517
2025/5/31,6:00,2146,2121,85,2500
2025/5/31,7:00,2303,2197,87,2621
2025/5/31,8:00,2472,2348,88,2796
2025/5/31,9:00,2633,2508,88,2981
2025/5/31,10:00,2611,2629,83,3110
2025/5/31,11:00,2607,2649,82,3147
2025/5/31,12:00,2568,2540,83,3075
2025/5/31,13:00,2591,2537,84,3083
2025/5/31,14:00,2562,2517,83,3072
2025/5/31,15:00,2538,2531,81,3102
2025/5/31,16:00,2589,2571,81,3184
2025/5/31,17:00,2622,2648,79,3284
2025/5/31,18:00,2687,2730,77,3468
2025/5/31,19:00,2691,2703,76,3500
2025/5/31,20:00,2606,2596,74,3498
2025/5/31,21:00,2488,2479,71,3495
2025/5/31,22:00,2373,2374,66,3595
2025/5/31,23:00,2267,2271,63,3550
最大使用率(%),時間帯
88,8:00〜9:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3367,18:00〜19:00,6/1,23:50,24,80
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2723,18:00〜19:00,6/1,23:50
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2492,2:00〜3:00,6/1,23:50,22,81
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2039,2:00〜3:00,6/1,23:50
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2025/5/31,0:00,2342,0,0
2025/5/31,0:05,2327,0,0
2025/5/31,0:10,2303,0,0
2025/5/31,0:15,2292,0,0
2025/5/31,0:20,2283,0,0
2025/5/31,0:25,2268,0,0
2025/5/31,0:30,2271,0,0
2025/5/31,0:35,2249,0,0
2025/5/31,0:40,2228,0,0
2025/5/31,0:45,2203,0,0
2025/5/31,0:50,2200,0,0
2025/5/31,0:55,2185,0,0
2025/5/31,1:00,2181,0,0
2025/5/31,1:05,2192,0,0
2025/5/31,1:10,2155,0,0
2025/5/31,1:15,2150,0,0
2025/5/31,1:20,2136,0,0
2025/5/31,1:25,2139,0,0
2025/5/31,1:30,2147,0,0
2025/5/31,1:35,2136,0,0
2025/5/31,1:40,2143,0,0
2025/5/31,1:45,2137,0,0
2025/5/31,1:50,2122,0,0
2025/5/31,1:55,2126,0,0
2025/5/31,2:00,2125,0,0
2025/5/31,2:05,2118,0,0
2025/5/31,2:10,2118,0,0
2025/5/31,2:15,2109,0,0
2025/5/31,2:20,2104,0,0
2025/5/31,2:25,2102,0,0
2025/5/31,2:30,2130,0,0
2025/5/31,2:35,2137,0,0
2025/5/31,2:40,2132,0,0
2025/5/31,2:45,2123,0,0
2025/5/31,2:50,2130,0,0
2025/5/31,2:55,2137,0,0
2025/5/31,3:00,2144,0,0
2025/5/31,3:05,2153,0,0
2025/5/31,3:10,2152,0,0
2025/5/31,3:15,2167,0,0
2025/5/31,3:20,2167,0,0
2025/5/31,3:25,2143,0,0
2025/5/31,3:30,2153,0,0
2025/5/31,3:35,2155,0,0
2025/5/31,3:40,2169,0,0
2025/5/31,3:45,2161,0,0
2025/5/31,3:50,2169,0,0
2025/5/31,3:55,2161,0,0
2025/5/31,4:00,2168,0,0
2025/5/31,4:05,2167,0,0
2025/5/31,4:10,2160,0,0
2025/5/31,4:15,2170,0,0
2025/5/31,4:20,2161,0,0
2025/5/31,4:25,2165,0,0
2025/5/31,4:30,2169,0,0
2025/5/31,4:35,2157,0,0
2025/5/31,4:40,2166,0,0
2025/5/31,4:45,2138,0,0
2025/5/31,4:50,2145,0,0
2025/5/31,4:55,2146,1,0
2025/5/31,5:00,2151,7,0
2025/5/31,5:05,2146,14,0
2025/5/31,5:10,2145,16,0
2025/5/31,5:15,2130,20,0
2025/5/31,5:20,2123,23,1
2025/5/31,5:25,2117,28,1
2025/5/31,5:30,2114,33,1
2025/5/31,5:35,2092,37,1
2025/5/31,5:40,2111,43,2
2025/5/31,5:45,2107,49,2
2025/5/31,5:50,2110,55,2
2025/5/31,5:55,2101,61,2
2025/5/31,6:00,2107,67,3
2025/5/31,6:05,2125,72,3
2025/5/31,6:10,2128,79,3
2025/5/31,6:15,2130,85,3
2025/5/31,6:20,2133,93,4
2025/5/31,6:25,2131,101,4
2025/5/31,6:30,2149,108,5
2025/5/31,6:35,2149,115,5
2025/5/31,6:40,2153,119,5
2025/5/31,6:45,2152,127,5
2025/5/31,6:50,2159,135,6
2025/5/31,6:55,2185,143,6
2025/5/31,7:00,2214,150,6
2025/5/31,7:05,2258,157,6
2025/5/31,7:10,2266,160,7
2025/5/31,7:15,2266,162,7
2025/5/31,7:20,2271,163,7
2025/5/31,7:25,2300,163,7
2025/5/31,7:30,2296,166,7
2025/5/31,7:35,2316,166,7
2025/5/31,7:40,2313,169,7
2025/5/31,7:45,2327,168,7
2025/5/31,7:50,2339,170,7
2025/5/31,7:55,2363,175,7
2025/5/31,8:00,2375,179,7
2025/5/31,8:05,2409,184,7
2025/5/31,8:10,2408,186,7
2025/5/31,8:15,2428,192,7
2025/5/31,8:20,2436,199,8
2025/5/31,8:25,2451,204,8
2025/5/31,8:30,2457,212,8
2025/5/31,8:35,2496,220,8
2025/5/31,8:40,2499,230,9
2025/5/31,8:45,2506,239,9
2025/5/31,8:50,2522,241,9
2025/5/31,8:55,2537,249,9
2025/5/31,9:00,2557,252,9
2025/5/31,9:05,2586,257,9
2025/5/31,9:10,2613,262,10
2025/5/31,9:15,2619,267,10
2025/5/31,9:20,2646,269,10
2025/5/31,9:25,2647,271,10
2025/5/31,9:30,2645,268,10
2025/5/31,9:35,2653,261,9
2025/5/31,9:40,2658,259,9
2025/5/31,9:45,2643,251,9
2025/5/31,9:50,2634,249,9
2025/5/31,9:55,2627,245,9
2025/5/31,10:00,2611,243,9
2025/5/31,10:05,2593,246,9
2025/5/31,10:10,2592,249,9
2025/5/31,10:15,2599,254,9
2025/5/31,10:20,2612,265,10
2025/5/31,10:25,2606,270,10
2025/5/31,10:30,2606,279,10
2025/5/31,10:35,2616,288,11
2025/5/31,10:40,2608,287,11
2025/5/31,10:45,2611,287,10
2025/5/31,10:50,2614,293,11
2025/5/31,10:55,2618,296,11
2025/5/31,11:00,2613,298,11
2025/5/31,11:05,2611,291,11
2025/5/31,11:10,2616,286,10
2025/5/31,11:15,2593,284,10
2025/5/31,11:20,2588,285,11
2025/5/31,11:25,2614,285,10
2025/5/31,11:30,2587,284,10
2025/5/31,11:35,2608,281,10
2025/5/31,11:40,2607,282,10
