2024/8/28 0:11 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1667,13:00〜14:00,8/17,22:49,20,83
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1387,13:00〜14:00,8/17,22:49
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1448,18:00〜19:00,8/17,22:49,9,92
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1332,18:00〜19:00,8/17,22:49
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2024/8/17,0:00,930,936,91,10,1026
2024/8/17,1:00,873,873,92,9,948
2024/8/17,2:00,858,861,92,9,931
2024/8/17,3:00,866,868,92,9,945
2024/8/17,4:00,876,879,90,12,977
2024/8/17,5:00,911,912,90,11,1012
2024/8/17,6:00,899,915,88,14,1023
2024/8/17,7:00,964,958,87,15,1108
2024/8/17,8:00,1090,1065,85,18,1286
2024/8/17,9:00,1222,1189,83,21,1478
2024/8/17,10:00,1298,1274,82,23,1592
2024/8/17,11:00,1355,1331,82,22,1653
2024/8/17,12:00,1364,1357,81,23,1676
2024/8/17,13:00,1379,1387,83,21,1667
2024/8/17,14:00,1377,1382,83,21,1665
2024/8/17,15:00,1381,1377,87,15,1593
2024/8/17,16:00,1362,1387,87,15,1569
2024/8/17,17:00,1335,1372,88,13,1514
2024/8/17,18:00,1289,1332,89,12,1448
2024/8/17,19:00,1252,1281,88,13,1418
2024/8/17,20:00,1186,1225,86,16,1372
2024/8/17,21:00,1114,1157,81,23,1373
2024/8/17,22:00,1048,1093,77,29,1353
2024/8/17,23:00,998,1022,78,27,1272
最大使用率(%),時間帯
92,3:00〜4:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1473,18:00〜19:00,8/18,22:49,10,91
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1340,18:00〜19:00,8/18,22:49
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1473,18:00〜19:00,8/18,22:49,10,91
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1340,18:00〜19:00,8/18,22:49
DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2024/8/17,0:00,979,0
2024/8/17,0:05,968,0
2024/8/17,0:10,965,0
2024/8/17,0:15,962,0
2024/8/17,0:20,947,0
2024/8/17,0:25,927,0
2024/8/17,0:30,928,0
2024/8/17,0:35,925,0
2024/8/17,0:40,908,0
2024/8/17,0:45,910,0
2024/8/17,0:50,913,0
2024/8/17,0:55,900,0
2024/8/17,1:00,905,0
2024/8/17,1:05,896,0
2024/8/17,1:10,889,0
2024/8/17,1:15,876,0
2024/8/17,1:20,863,0
