2021/11/2 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1971,16:00〜17:00,11/1,9:30,15,86
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1710,16:00〜17:00,11/1,9:30
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1971,16:00〜17:00,11/1,9:30,15,86
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1710,16:00〜17:00,11/1,9:30
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
86,14,23,13.8,23.8
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%),供給力想定値(万kW)
2021/11/1,0:00,1121,1120,70,1585
2021/11/1,1:00,1091,1100,69,1575
2021/11/1,2:00,1140,1150,70,1619
2021/11/1,3:00,1206,1210,72,1660
2021/11/1,4:00,1230,1240,74,1653
2021/11/1,5:00,1228,1240,75,1627
2021/11/1,6:00,1268,1300,77,1634
2021/11/1,7:00,1383,1430,83,1660
2021/11/1,8:00,1534,1580,83,1833
2021/11/1,9:00,1635,1670,84,1946
2021/11/1,10:00,1658,1680,84,1957
2021/11/1,11:00,1661,1670,85,1937
2021/11/1,12:00,1596,1600,84,1881
2021/11/1,13:00,1671,1660,86,1934
2021/11/1,14:00,1660,1680,84,1955
2021/11/1,15:00,1666,1680,85,1952
2021/11/1,16:00,1661,1710,84,1971
2021/11/1,17:00,1675,1700,85,1958
2021/11/1,18:00,1640,1670,84,1940
2021/11/1,19:00,1572,1600,84,1858
2021/11/1,20:00,1500,1520,85,1764
2021/11/1,21:00,1428,1460,84,1696
2021/11/1,22:00,1366,1410,83,1630
2021/11/1,23:00,1305,1330,84,1548
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
2008,16:00〜17:00,11/1,18:30,18,84
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1700,16:00〜17:00,11/1,18:30
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2008,16:00〜17:00,11/1,18:30,18,84
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1700,16:00〜17:00,11/1,18:30
予想気温(最低),予想気温(最高)
14,22
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2021/11/1,0:00,1165,0
2021/11/1,0:05,1139,0
2021/11/1,0:10,1142,0
2021/11/1,0:15,1143,0
2021/11/1,0:20,1137,0
2021/11/1,0:25,1137,0
2021/11/1,0:30,1125,0
2021/11/1,0:35,1120,0
2021/11/1,0:40,1112,0
2021/11/1,0:45,1101,0
2021/11/1,0:50,1096,0
2021/11/1,0:55,1101,0
2021/11/1,1:00,1102,0
2021/11/1,1:05,1096,0
2021/11/1,1:10,1083,0
2021/11/1,1:15,1094,0
2021/11/1,1:20,1087,0
2021/11/1,1:25,1090,0
2021/11/1,1:30,1089,0
2021/11/1,1:35,1072,0
2021/11/1,1:40,1084,0
2021/11/1,1:45,1093,0
2021/11/1,1:50,1100,0
2021/11/1,1:55,1095,0
2021/11/1,2:00,1104,0
2021/11/1,2:05,1103,0
2021/11/1,2:10,1102,0
2021/11/1,2:15,1110,0
2021/11/1,2:20,1118,0
2021/11/1,2:25,1132,0
2021/11/1,2:30,1149,0
2021/11/1,2:35,1140,0
2021/11/1,2:40,1158,0
2021/11/1,2:45,1152,0
2021/11/1,2:50,1164,0
2021/11/1,2:55,1172,0
2021/11/1,3:00,1174,0
2021/11/1,3:05,1181,0
2021/11/1,3:10,1189,0
2021/11/1,3:15,1187,0
2021/11/1,3:20,1201,0
2021/11/1,3:25,1205,0
2021/11/1,3:30,1199,0
2021/11/1,3:35,1203,0
2021/11/1,3:40,1213,0
2021/11/1,3:45,1212,0
2021/11/1,3:50,1229,0
2021/11/1,3:55,1231,0
2021/11/1,4:00,1221,0
2021/11/1,4:05,1221,0
2021/11/1,4:10,1226,0
2021/11/1,4:15,1236,0
2021/11/1,4:20,1239,0
2021/11/1,4:25,1233,0
2021/11/1,4:30,1220,0
2021/11/1,4:35,1231,0
2021/11/1,4:40,1229,0
2021/11/1,4:45,1244,0
2021/11/1,4:50,1229,0
2021/11/1,4:55,1220,0
2021/11/1,5:00,1227,0
2021/11/1,5:05,1244,0
2021/11/1,5:10,1247,0
2021/11/1,5:15,1241,0
2021/11/1,5:20,1225,0
2021/11/1,5:25,1235,0
2021/11/1,5:30,1237,0
2021/11/1,5:35,1239,0
2021/11/1,5:40,1222,0
2021/11/1,5:45,1211,0
2021/11/1,5:50,1210,0
2021/11/1,5:55,1211,0
2021/11/1,6:00,1217,0
2021/11/1,6:05,1235,0
2021/11/1,6:10,1243,0
2021/11/1,6:15,1252,0
2021/11/1,6:20,1253,0
2021/11/1,6:25,1247,1
2021/11/1,6:30,1249,5
2021/11/1,6:35,1264,10
2021/11/1,6:40,1274,17
2021/11/1,6:45,1287,24
2021/11/1,6:50,1299,32
2021/11/1,6:55,1302,39
2021/11/1,7:00,1312,35
2021/11/1,7:05,1320,44
2021/11/1,7:10,1334,52
2021/11/1,7:15,1351,61
2021/11/1,7:20,1367,70
2021/11/1,7:25,1373,80
2021/11/1,7:30,1372,89
2021/11/1,7:35,1380,99
2021/11/1,7:40,1398,111
2021/11/1,7:45,1408,124
2021/11/1,7:50,1420,135
2021/11/1,7:55,1424,147
2021/11/1,8:00,1452,150
2021/11/1,8:05,1468,161
2021/11/1,8:10,1472,172
2021/11/1,8:15,1483,181
2021/11/1,8:20,1497,191
2021/11/1,8:25,1516,200
2021/11/1,8:30,1531,208
2021/11/1,8:35,1539,218
2021/11/1,8:40,1561,225
2021/11/1,8:45,1565,235
2021/11/1,8:50,1579,243
2021/11/1,8:55,1600,251
2021/11/1,9:00,1600,256
2021/11/1,9:05,1607,262
2021/11/1,9:10,1617,269
2021/11/1,9:15,1617,273
2021/11/1,9:20,1626,279
2021/11/1,9:25,1633,286
2021/11/1,9:30,1630,296
2021/11/1,9:35,1631,305
2021/11/1,9:40,1637,313
2021/11/1,9:45,1647,321
2021/11/1,9:50,1651,329
2021/11/1,9:55,1658,336
2021/11/1,10:00,1667,343
2021/11/1,10:05,1665,348
2021/11/1,10:10,1657,354
2021/11/1,10:15,1644,362
2021/11/1,10:20,1652,368
2021/11/1,10:25,1659,373
2021/11/1,10:30,1654,380
2021/11/1,10:35,1659,386
2021/11/1,10:40,1655,390
2021/11/1,10:45,1659,394
2021/11/1,10:50,1664,398
2021/11/1,10:55,1658,400
2021/11/1,11:00,1670,403
2021/11/1,11:05,1668,405
2021/11/1,11:10,1672,407
2021/11/1,11:15,1669,407
2021/11/1,11:20,1667,408
2021/11/1,11:25,1659,409
2021/11/1,11:30,1654,410
