2023/04/03 00:13 UPDATE,,,,,
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
130,19:00〜20:00,4月2日,22:41,48,67
,,,,,
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
88,19:00〜20:00,4月2日,22:41,,
,,,,,
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
118,10:00〜11:00,4月2日,22:41,48,67
,,,,,
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻,,
80,10:00〜11:00,4月2日,22:41,,
,,,,,
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/4/2,0:00,67,68,52,127
2023/4/2,1:00,64,66,50,127
2023/4/2,2:00,65,67,51,127
2023/4/2,3:00,69,70,54,127
2023/4/2,4:00,69,70,54,127
2023/4/2,5:00,68,69,53,127
2023/4/2,6:00,64,65,55,115
2023/4/2,7:00,66,67,57,115
2023/4/2,8:00,71,73,64,110
2023/4/2,9:00,75,78,64,116
2023/4/2,10:00,78,80,65,120
2023/4/2,11:00,81,80,66,121
2023/4/2,12:00,82,80,64,127
2023/4/2,13:00,82,81,67,121
2023/4/2,14:00,81,82,65,124
2023/4/2,15:00,80,81,58,136
2023/4/2,16:00,80,81,60,133
2023/4/2,17:00,80,82,62,128
2023/4/2,18:00,83,84,62,132
2023/4/2,19:00,85,88,65,130
2023/4/2,20:00,83,85,63,130
2023/4/2,21:00,77,80,58,132
2023/4/2,22:00,74,75,55,134
2023/4/2,23:00,69,71,57,120
,,,,,
最大使用率(%),時間帯,,,,
67,13:00〜14:00,,,,
,,,,,
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
132,13:00〜14:00,4月3日,0:00,52,65
,,,,,
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
87,13:00〜14:00,4月3日,0:00,,
,,,,,
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
127,19:00〜20:00,4月3日,0:00,48,67
,,,,,
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻,,
86,19:00〜20:00,4月3日,0:00,,
,,,,,
DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW),,
2023/4/2,0:00,68,0,,
2023/4/2,0:05,69,0,,
2023/4/2,0:10,70,0,,
2023/4/2,0:15,70,0,,
2023/4/2,0:20,70,0,,
2023/4/2,0:25,68,0,,
2023/4/2,0:30,69,0,,
2023/4/2,0:35,68,0,,
2023/4/2,0:40,68,0,,
2023/4/2,0:45,68,0,,
2023/4/2,0:50,68,0,,
2023/4/2,0:55,66,0,,
2023/4/2,1:00,65,0,,
2023/4/2,1:05,66,0,,
2023/4/2,1:10,67,0,,
2023/4/2,1:15,67,0,,
2023/4/2,1:20,67,0,,
2023/4/2,1:25,65,0,,
2023/4/2,1:30,66,0,,
2023/4/2,1:35,67,0,,
2023/4/2,1:40,67,0,,
2023/4/2,1:45,66,0,,
2023/4/2,1:50,65,0,,
2023/4/2,1:55,63,0,,
2023/4/2,2:00,64,0,,
2023/4/2,2:05,66,0,,
2023/4/2,2:10,66,0,,
2023/4/2,2:15,67,0,,
2023/4/2,2:20,64,0,,
2023/4/2,2:25,66,0,,
2023/4/2,2:30,68,0,,
2023/4/2,2:35,68,0,,
2023/4/2,2:40,68,0,,
2023/4/2,2:45,68,0,,
2023/4/2,2:50,66,0,,
2023/4/2,2:55,67,0,,
2023/4/2,3:00,68,0,,
2023/4/2,3:05,70,0,,
2023/4/2,3:10,70,0,,
2023/4/2,3:15,69,0,,
2023/4/2,3:20,70,0,,
2023/4/2,3:25,70,0,,
2023/4/2,3:30,71,0,,
2023/4/2,3:35,71,0,,
2023/4/2,3:40,71,0,,
2023/4/2,3:45,68,0,,
2023/4/2,3:50,69,0,,
2023/4/2,3:55,71,0,,
2023/4/2,4:00,72,0,,
2023/4/2,4:05,72,0,,
2023/4/2,4:10,70,0,,
