2023/04/11 00:13 UPDATE,,,,,
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
137,15:00〜16:00,4月10日,22:41,57,63
,,,,,
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
87,15:00〜16:00,4月10日,22:41,,
,,,,,
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
126,19:00〜20:00,4月10日,22:41,47,68
,,,,,
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻,,
86,19:00〜20:00,4月10日,22:41,,
,,,,,
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/4/10,0:00,63,64,52,119
2023/4/10,1:00,61,62,54,112
2023/4/10,2:00,63,63,56,112
2023/4/10,3:00,67,67,59,112
2023/4/10,4:00,69,68,61,112
2023/4/10,5:00,69,68,61,112
2023/4/10,6:00,69,68,61,112
2023/4/10,7:00,73,70,64,114
2023/4/10,8:00,75,75,62,120
2023/4/10,9:00,79,81,62,127
2023/4/10,10:00,81,83,63,128
2023/4/10,11:00,83,86,62,132
2023/4/10,12:00,82,82,62,131
2023/4/10,13:00,81,85,61,132
2023/4/10,14:00,83,83,62,132
2023/4/10,15:00,81,87,59,137
2023/4/10,16:00,80,87,53,151
2023/4/10,17:00,79,85,54,144
2023/4/10,18:00,80,84,61,131
2023/4/10,19:00,82,86,65,126
2023/4/10,20:00,80,83,63,126
2023/4/10,21:00,75,76,59,127
2023/4/10,22:00,71,71,55,127
2023/4/10,23:00,67,66,56,119
,,,,,
最大使用率(%),時間帯,,,,
65,19:00〜20:00,,,,
,,,,,
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
133,11:00〜12:00,4月11日,0:00,53,65
,,,,,
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
87,11:00〜12:00,4月11日,0:00,,
,,,,,
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
126,19:00〜20:00,4月11日,0:00,47,68
,,,,,
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻,,
86,19:00〜20:00,4月11日,0:00,,
,,,,,
DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW),,
2023/4/10,0:00,65,0,,
2023/4/10,0:05,64,0,,
2023/4/10,0:10,66,0,,
2023/4/10,0:15,67,0,,
2023/4/10,0:20,67,0,,
2023/4/10,0:25,64,0,,
2023/4/10,0:30,64,0,,
2023/4/10,0:35,65,0,,
2023/4/10,0:40,65,0,,
2023/4/10,0:45,65,0,,
2023/4/10,0:50,64,0,,
2023/4/10,0:55,62,0,,
2023/4/10,1:00,61,0,,
2023/4/10,1:05,64,0,,
2023/4/10,1:10,65,0,,
2023/4/10,1:15,64,0,,
2023/4/10,1:20,62,0,,
2023/4/10,1:25,62,0,,
2023/4/10,1:30,63,0,,
2023/4/10,1:35,64,0,,
2023/4/10,1:40,63,0,,
2023/4/10,1:45,61,0,,
2023/4/10,1:50,60,0,,
2023/4/10,1:55,61,0,,
2023/4/10,2:00,64,0,,
2023/4/10,2:05,64,0,,
2023/4/10,2:10,64,0,,
2023/4/10,2:15,62,0,,
2023/4/10,2:20,65,0,,
2023/4/10,2:25,65,0,,
2023/4/10,2:30,65,0,,
2023/4/10,2:35,65,0,,
2023/4/10,2:40,63,0,,
2023/4/10,2:45,63,0,,
2023/4/10,2:50,66,0,,
2023/4/10,2:55,67,0,,
2023/4/10,3:00,68,0,,
2023/4/10,3:05,66,0,,
2023/4/10,3:10,67,0,,
2023/4/10,3:15,69,0,,
2023/4/10,3:20,69,0,,
2023/4/10,3:25,69,0,,
2023/4/10,3:30,67,0,,
2023/4/10,3:35,66,0,,
2023/4/10,3:40,68,0,,
2023/4/10,3:45,70,0,,
2023/4/10,3:50,70,0,,
2023/4/10,3:55,70,0,,
2023/4/10,4:00,69,0,,
2023/4/10,4:05,70,0,,
2023/4/10,4:10,71,0,,
2023/4/10,4:15,71,0,,
2023/4/10,4:20,70,0,,
2023/4/10,4:25,68,0,,
2023/4/10,4:30,68,0,,
2023/4/10,4:35,71,0,,
2023/4/10,4:40,72,0,,
2023/4/10,4:45,71,0,,
2023/4/10,4:50,69,0,,
2023/4/10,4:55,71,0,,
2023/4/10,5:00,72,0,,
2023/4/10,5:05,72,0,,
2023/4/10,5:10,72,0,,
2023/4/10,5:15,69,0,,
2023/4/10,5:20,69,0,,
2023/4/10,5:25,70,0,,
2023/4/10,5:30,72,0,,
2023/4/10,5:35,71,0,,
2023/4/10,5:40,72,0,,
2023/4/10,5:45,69,0,,
2023/4/10,5:50,69,0,,
2023/4/10,5:55,71,0,,
2023/4/10,6:00,71,0,,
2023/4/10,6:05,70,0,,
2023/4/10,6:10,69,0,,
2023/4/10,6:15,67,0,,
2023/4/10,6:20,69,0,,
2023/4/10,6:25,70,0,,
2023/4/10,6:30,70,0,,
2023/4/10,6:35,72,0,,
2023/4/10,6:40,70,0,,
2023/4/10,6:45,71,1,,
2023/4/10,6:50,72,1,,
2023/4/10,6:55,72,1,,
2023/4/10,7:00,73,1,,
2023/4/10,7:05,73,2,,
2023/4/10,7:10,72,2,,
2023/4/10,7:15,71,3,,
2023/4/10,7:20,73,3,,
2023/4/10,7:25,73,4,,
2023/4/10,7:30,73,4,,
2023/4/10,7:35,76,5,,
2023/4/10,7:40,74,5,,
2023/4/10,7:45,75,6,,
2023/4/10,7:50,75,6,,
2023/4/10,7:55,75,8,,
2023/4/10,8:00,75,8,,
2023/4/10,8:05,77,8,,
2023/4/10,8:10,76,8,,
2023/4/10,8:15,75,9,,
2023/4/10,8:20,75,9,,
2023/4/10,8:25,75,11,,
2023/4/10,8:30,75,11,,
2023/4/10,8:35,78,12,,
2023/4/10,8:40,79,12,,
2023/4/10,8:45,78,13,,
2023/4/10,8:50,78,13,,
2023/4/10,8:55,78,14,,
2023/4/10,9:00,78,14,,
2023/4/10,9:05,81,15,,
2023/4/10,9:10,81,15,,
2023/4/10,9:15,80,16,,
2023/4/10,9:20,80,16,,
2023/4/10,9:25,80,16,,
2023/4/10,9:30,80,16,,
2023/4/10,9:35,82,17,,
2023/4/10,9:40,82,17,,
2023/4/10,9:45,82,18,,
2023/4/10,9:50,82,18,,
2023/4/10,9:55,82,17,,
2023/4/10,10:00,82,17,,
2023/4/10,10:05,83,19,,
2023/4/10,10:10,83,19,,
2023/4/10,10:15,82,17,,
2023/4/10,10:20,82,17,,
2023/4/10,10:25,81,19,,
2023/4/10,10:30,81,19,,
2023/4/10,10:35,84,20,,
2023/4/10,10:40,84,20,,
2023/4/10,10:45,83,22,,
2023/4/10,10:50,84,22,,
2023/4/10,10:55,83,20,,
2023/4/10,11:00,84,20,,
2023/4/10,11:05,83,18,,
2023/4/10,11:10,83,18,,
2023/4/10,11:15,83,19,,
2023/4/10,11:20,83,19,,
2023/4/10,11:25,82,23,,
2023/4/10,11:30,82,23,,
2023/4/10,11:35,86,25,,
2023/4/10,11:40,86,25,,
2023/4/10,11:45,86,24,,
2023/4/10,11:50,85,24,,
2023/4/10,11:55,85,24,,
2023/4/10,12:00,84,24,,
2023/4/10,12:05,84,24,,
2023/4/10,12:10,84,24,,
2023/4/10,12:15,84,25,,
2023/4/10,12:20,83,25,,
2023/4/10,12:25,83,27,,
2023/4/10,12:30,83,27,,
2023/4/10,12:35,82,26,,
