2020/12/27 23:59 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2105,09:00〜10:00,12月26日,08:03,23,81
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1705,09:00〜10:00,12月26日,08:03
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2062,17:00〜18:00,12月26日,08:03,23,81
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1671,17:00〜18:00,12月26日,08:03
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/12/26,00:00,1510,1506,79,1907
2020/12/26,01:00,1465,1460,79,1861
2020/12/26,02:00,1455,1449,79,1850
2020/12/26,03:00,1439,1433,78,1834
2020/12/26,04:00,1404,1400,78,1801
2020/12/26,05:00,1396,1394,78,1794
2020/12/26,06:00,1450,1456,78,1856
2020/12/26,07:00,1545,1547,79,1947
2020/12/26,08:00,1682,1683,81,2086
2020/12/26,09:00,1687,1705,80,2105
2020/12/26,10:00,1629,1669,79,2062
2020/12/26,11:00,1581,1638,78,2039
2020/12/26,12:00,1523,1539,78,1955
2020/12/26,13:00,1506,1579,76,1980
2020/12/26,14:00,1487,1567,75,1977
2020/12/26,15:00,1488,1548,76,1959
2020/12/26,16:00,1556,1599,78,1999
2020/12/26,17:00,1649,1671,80,2062
2020/12/26,18:00,1656,1664,80,2065
2020/12/26,19:00,1627,1622,80,2022
2020/12/26,20:00,1582,1566,80,1967
2020/12/26,21:00,1502,1507,79,1908
2020/12/26,22:00,1419,1415,78,1816
2020/12/26,23:00,1371,1380,77,1781
最大使用率(%),時間帯
81,08:00〜09:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
1950,18:00〜19:00,12月26日,17:07,23,81
翌日電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1587,18:00〜19:00,12月26日,17:07
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1950,18:00〜19:00,12月26日,17:07,23,81
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1587,18:00〜19:00,12月26日,17:07
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2020/12/26,00:00,1551,0
2020/12/26,00:05,1551,0
2020/12/26,00:10,1545,0
2020/12/26,00:15,1538,0
2020/12/26,00:20,1535,0
2020/12/26,00:25,1526,0
2020/12/26,00:30,1511,0
2020/12/26,00:35,1507,0
2020/12/26,00:40,1494,0
2020/12/26,00:45,1476,0
2020/12/26,00:50,1470,0
2020/12/26,00:55,1479,0
2020/12/26,01:00,1477,0
2020/12/26,01:05,1483,0
2020/12/26,01:10,1478,0
2020/12/26,01:15,1475,0
2020/12/26,01:20,1471,0
2020/12/26,01:25,1477,0
2020/12/26,01:30,1471,0
2020/12/26,01:35,1448,0
2020/12/26,01:40,1460,0
2020/12/26,01:45,1445,0
2020/12/26,01:50,1444,0
2020/12/26,01:55,1459,0
2020/12/26,02:00,1471,0
2020/12/26,02:05,1468,0
2020/12/26,02:10,1452,0
2020/12/26,02:15,1451,0
2020/12/26,02:20,1453,0
2020/12/26,02:25,1455,0
2020/12/26,02:30,1463,0
2020/12/26,02:35,1465,0
2020/12/26,02:40,1450,0
2020/12/26,02:45,1441,0
2020/12/26,02:50,1449,0
2020/12/26,02:55,1448,0
2020/12/26,03:00,1446,0
2020/12/26,03:05,1462,0
2020/12/26,03:10,1451,0
2020/12/26,03:15,1441,0
2020/12/26,03:20,1442,0
2020/12/26,03:25,1436,0
2020/12/26,03:30,1440,0
2020/12/26,03:35,1447,0
2020/12/26,03:40,1445,0
2020/12/26,03:45,1422,0
2020/12/26,03:50,1431,0
2020/12/26,03:55,1426,0
2020/12/26,04:00,1421,0
2020/12/26,04:05,1428,0
2020/12/26,04:10,1428,0
2020/12/26,04:15,1423,0
2020/12/26,04:20,1407,0
2020/12/26,04:25,1405,0
2020/12/26,04:30,1398,0
2020/12/26,04:35,1386,0
2020/12/26,04:40,1382,0
2020/12/26,04:45,1385,0
2020/12/26,04:50,1394,0
2020/12/26,04:55,1410,0
2020/12/26,05:00,1395,0
2020/12/26,05:05,1400,0
2020/12/26,05:10,1406,0
2020/12/26,05:15,1414,0
2020/12/26,05:20,1404,0
2020/12/26,05:25,1392,0
2020/12/26,05:30,1402,0
2020/12/26,05:35,1374,0
2020/12/26,05:40,1389,0
2020/12/26,05:45,1381,0
2020/12/26,05:50,1384,0
2020/12/26,05:55,1393,0
2020/12/26,06:00,1403,0
2020/12/26,06:05,1414,0
2020/12/26,06:10,1421,0
2020/12/26,06:15,1414,0
2020/12/26,06:20,1433,0
2020/12/26,06:25,1453,0
2020/12/26,06:30,1457,0
2020/12/26,06:35,1461,0
2020/12/26,06:40,1460,0
2020/12/26,06:45,1465,0
2020/12/26,06:50,1470,0
2020/12/26,06:55,1496,0
2020/12/26,07:00,1495,0
2020/12/26,07:05,1503,0
2020/12/26,07:10,1501,0
2020/12/26,07:15,1503,2
2020/12/26,07:20,1509,6
2020/12/26,07:25,1530,11
2020/12/26,07:30,1521,20
2020/12/26,07:35,1545,31
2020/12/26,07:40,1543,42
2020/12/26,07:45,1575,53
2020/12/26,07:50,1603,63
