2022/04/22 00:00 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2046,09:00〜10:00,04月20日,23:15,23,81
需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1666,09:00〜10:00,04月20日,23:15
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1710,18:00〜19:00,04月20日,23:15,10,91
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1560,18:00〜19:00,04月20日,23:15
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/04/20,00:00,1230,1262,86,1428
2022/04/20,01:00,1210,1214,87,1387
2022/04/20,02:00,1227,1241,86,1422
2022/04/20,03:00,1270,1272,86,1466
2022/04/20,04:00,1285,1282,86,1487
2022/04/20,05:00,1285,1291,85,1509
2022/04/20,06:00,1319,1329,84,1565
2022/04/20,07:00,1388,1403,82,1675
2022/04/20,08:00,1538,1565,82,1875
2022/04/20,09:00,1634,1666,79,2046
2022/04/20,10:00,1659,1637,78,2103
2022/04/20,11:00,1650,1609,77,2124
2022/04/20,12:00,1546,1521,75,2034
2022/04/20,13:00,1611,1602,79,2028
2022/04/20,14:00,1625,1613,82,1960
2022/04/20,15:00,1601,1581,83,1924
2022/04/20,16:00,1581,1575,81,1929
2022/04/20,17:00,1533,1535,85,1804
2022/04/20,18:00,1548,1560,90,1710
2022/04/20,19:00,1510,1516,87,1721
2022/04/20,20:00,1459,1467,85,1713
2022/04/20,21:00,1399,1405,82,1699
2022/04/20,22:00,1348,1350,80,1666
2022/04/20,23:00,1311,1309,80,1626
最大使用率(%),時間帯
90,18:00〜19:00
翌日需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
1944,10:00〜11:00,04月20日,16:56,15,86
翌日需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1687,10:00〜11:00,04月20日,16:56
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1413,02:00〜03:00,04月20日,16:56,15,86
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1226,02:00〜03:00,04月20日,16:56
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2022/04/20,00:00,1262,0
2022/04/20,00:05,1264,0
2022/04/20,00:10,1261,0
2022/04/20,00:15,1257,0
2022/04/20,00:20,1241,0
2022/04/20,00:25,1231,0
2022/04/20,00:30,1226,0
2022/04/20,00:35,1222,0
2022/04/20,00:40,1206,0
2022/04/20,00:45,1204,0
2022/04/20,00:50,1198,0
2022/04/20,00:55,1190,0
2022/04/20,01:00,1195,0
2022/04/20,01:05,1204,0
2022/04/20,01:10,1211,0
2022/04/20,01:15,1196,0
2022/04/20,01:20,1215,0
2022/04/20,01:25,1220,0
2022/04/20,01:30,1219,0
2022/04/20,01:35,1214,0
2022/04/20,01:40,1200,0
2022/04/20,01:45,1196,0
2022/04/20,01:50,1201,0
2022/04/20,01:55,1203,0
2022/04/20,02:00,1207,0
2022/04/20,02:05,1214,0
2022/04/20,02:10,1222,0
2022/04/20,02:15,1216,0
2022/04/20,02:20,1221,0
2022/04/20,02:25,1226,0
2022/04/20,02:30,1229,0
2022/04/20,02:35,1240,0
2022/04/20,02:40,1241,0
2022/04/20,02:45,1228,0
2022/04/20,02:50,1226,0
2022/04/20,02:55,1227,0
2022/04/20,03:00,1235,0
2022/04/20,03:05,1267,0
2022/04/20,03:10,1269,0
2022/04/20,03:15,1273,0
2022/04/20,03:20,1270,0
2022/04/20,03:25,1269,0
2022/04/20,03:30,1270,0
2022/04/20,03:35,1269,0
2022/04/20,03:40,1273,0
2022/04/20,03:45,1271,0
2022/04/20,03:50,1271,0
2022/04/20,03:55,1264,0
2022/04/20,04:00,1261,0
2022/04/20,04:05,1276,0
2022/04/20,04:10,1277,0
2022/04/20,04:15,1282,0
2022/04/20,04:20,1289,0
2022/04/20,04:25,1293,0
2022/04/20,04:30,1294,0
2022/04/20,04:35,1291,0
2022/04/20,04:40,1292,0
2022/04/20,04:45,1276,0
2022/04/20,04:50,1267,0
2022/04/20,04:55,1273,0
2022/04/20,05:00,1267,0
2022/04/20,05:05,1287,0
2022/04/20,05:10,1285,0
2022/04/20,05:15,1293,0
2022/04/20,05:20,1287,0
2022/04/20,05:25,1286,0
2022/04/20,05:30,1289,0
2022/04/20,05:35,1289,0
2022/04/20,05:40,1275,1
2022/04/20,05:45,1274,4
2022/04/20,05:50,1265,10
2022/04/20,05:55,1266,19
2022/04/20,06:00,1277,28
2022/04/20,06:05,1298,39
2022/04/20,06:10,1314,49
2022/04/20,06:15,1319,61
2022/04/20,06:20,1305,74
2022/04/20,06:25,1317,87
2022/04/20,06:30,1303,102
2022/04/20,06:35,1308,120
2022/04/20,06:40,1327,138
2022/04/20,06:45,1319,154
2022/04/20,06:50,1325,174
2022/04/20,06:55,1315,196
2022/04/20,07:00,1311,213
2022/04/20,07:05,1305,228
2022/04/20,07:10,1323,245
2022/04/20,07:15,1353,265
2022/04/20,07:20,1354,285
2022/04/20,07:25,1363,304
2022/04/20,07:30,1382,320
2022/04/20,07:35,1400,339
2022/04/20,07:40,1404,357
2022/04/20,07:45,1399,367
2022/04/20,07:50,1405,386
