2022/12/25 00:00 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2604,09:00〜10:00,12月23日,23:15,16,86
需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2254,09:00〜10:00,12月23日,23:15
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1750,02:00〜03:00,12月23日,23:15,13,88
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1545,02:00〜03:00,12月23日,23:15
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2022/12/23,00:00,1562,1575,87,1787
2022/12/23,01:00,1516,1533,86,1751
2022/12/23,02:00,1516,1545,86,1750
2022/12/23,03:00,1519,1557,86,1764
2022/12/23,04:00,1527,1565,86,1773
2022/12/23,05:00,1575,1597,86,1816
2022/12/23,06:00,1746,1753,87,1998
2022/12/23,07:00,1928,1928,87,2203
2022/12/23,08:00,2153,2175,86,2499
2022/12/23,09:00,2210,2254,84,2604
2022/12/23,10:00,2151,2176,84,2534
2022/12/23,11:00,2102,2111,85,2472
2022/12/23,12:00,1987,1993,84,2355
2022/12/23,13:00,2044,2051,85,2388
2022/12/23,14:00,2045,2063,84,2423
2022/12/23,15:00,2043,2070,85,2390
2022/12/23,16:00,2097,2141,85,2453
2022/12/23,17:00,2123,2140,87,2433
2022/12/23,18:00,2085,2080,85,2432
2022/12/23,19:00,2024,2030,84,2392
2022/12/23,20:00,1980,1979,83,2372
2022/12/23,21:00,1908,1905,82,2306
2022/12/23,22:00,1811,1809,79,2268
2022/12/23,23:00,1757,1743,80,2196
最大使用率(%),時間帯
87,17:00〜18:00
翌日需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2067,09:00〜10:00,12月23日,16:50,12,88
翌日需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1837,09:00〜10:00,12月23日,16:50
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1722,05:00〜06:00,12月23日,16:50,12,88
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1530,05:00〜06:00,12月23日,16:50
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2022/12/23,00:00,1605,0
2022/12/23,00:05,1590,0
2022/12/23,00:10,1590,0
2022/12/23,00:15,1583,0
2022/12/23,00:20,1569,0
2022/12/23,00:25,1557,0
2022/12/23,00:30,1553,0
2022/12/23,00:35,1557,0
2022/12/23,00:40,1535,0
2022/12/23,00:45,1528,0
2022/12/23,00:50,1524,0
2022/12/23,00:55,1519,0
2022/12/23,01:00,1514,0
2022/12/23,01:05,1522,0
2022/12/23,01:10,1511,0
2022/12/23,01:15,1523,0
2022/12/23,01:20,1511,0
2022/12/23,01:25,1515,0
2022/12/23,01:30,1507,0
2022/12/23,01:35,1509,0
2022/12/23,01:40,1503,0
2022/12/23,01:45,1503,0
2022/12/23,01:50,1511,0
2022/12/23,01:55,1508,0
2022/12/23,02:00,1497,0
2022/12/23,02:05,1510,0
2022/12/23,02:10,1514,0
2022/12/23,02:15,1511,0
2022/12/23,02:20,1522,0
2022/12/23,02:25,1519,0
2022/12/23,02:30,1529,0
2022/12/23,02:35,1507,0
2022/12/23,02:40,1511,0
2022/12/23,02:45,1514,0
2022/12/23,02:50,1515,0
2022/12/23,02:55,1511,0
2022/12/23,03:00,1513,0
2022/12/23,03:05,1515,0
2022/12/23,03:10,1503,0
2022/12/23,03:15,1517,0
2022/12/23,03:20,1515,0
2022/12/23,03:25,1518,0
2022/12/23,03:30,1516,0
2022/12/23,03:35,1519,0
2022/12/23,03:40,1519,0
2022/12/23,03:45,1511,0
2022/12/23,03:50,1511,0
2022/12/23,03:55,1500,0
