2016/7/13 17:03 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1173,19:00〜20:00,4/16,8:55,29,78
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
912,19:00〜20:00,4/16,8:55
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/4/16,0:00,727,757,62
2016/4/16,1:00,731,728,62
2016/4/16,2:00,780,773,66
2016/4/16,3:00,811,824,69
2016/4/16,4:00,819,843,70
2016/4/16,5:00,792,821,68
2016/4/16,6:00,752,797,64
2016/4/16,7:00,721,768,61
2016/4/16,8:00,735,762,63
2016/4/16,9:00,767,776,65
2016/4/16,10:00,794,794,68
2016/4/16,11:00,837,796,71
2016/4/16,12:00,780,784,66
2016/4/16,13:00,784,798,67
2016/4/16,14:00,770,790,66
2016/4/16,15:00,777,784,66
2016/4/16,16:00,787,794,67
2016/4/16,17:00,819,828,70
2016/4/16,18:00,853,883,73
2016/4/16,19:00,860,904,73
2016/4/16,20:00,824,880,70
2016/4/16,21:00,780,841,66
2016/4/16,22:00,736,809,63
2016/4/16,23:00,688,762,59
最大使用率(%),時間帯
73,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1173,19:00〜20:00,4/17,8:55,35,74
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
869,19:00〜20:00,4/17,8:55
DATE,TIME,当日実績(５分間隔値）(万kW)
2016/4/16,0:00,737
2016/4/16,0:05,732
2016/4/16,0:10,739
2016/4/16,0:15,736
2016/4/16,0:20,734
2016/4/16,0:25,723
2016/4/16,0:30,724
2016/4/16,0:35,725
2016/4/16,0:40,725
2016/4/16,0:45,721
2016/4/16,0:50,714
2016/4/16,0:55,715
2016/4/16,1:00,722
2016/4/16,1:05,730
2016/4/16,1:10,734
2016/4/16,1:15,743
2016/4/16,1:20,737
2016/4/16,1:25,736
2016/4/16,1:30,730
2016/4/16,1:35,717
2016/4/16,1:40,722
2016/4/16,1:45,721
2016/4/16,1:50,728
2016/4/16,1:55,746
2016/4/16,2:00,751
2016/4/16,2:05,763
2016/4/16,2:10,766
2016/4/16,2:15,770
2016/4/16,2:20,773
2016/4/16,2:25,775
2016/4/16,2:30,778
2016/4/16,2:35,785
2016/4/16,2:40,786
2016/4/16,2:45,797
2016/4/16,2:50,805
2016/4/16,2:55,809
2016/4/16,3:00,812
2016/4/16,3:05,805
2016/4/16,3:10,817
2016/4/16,3:15,810
2016/4/16,3:20,811
2016/4/16,3:25,814
2016/4/16,3:30,800
2016/4/16,3:35,803
2016/4/16,3:40,814
2016/4/16,3:45,815
2016/4/16,3:50,817
2016/4/16,3:55,810
2016/4/16,4:00,824
2016/4/16,4:05,817
2016/4/16,4:10,818
2016/4/16,4:15,817
2016/4/16,4:20,826
2016/4/16,4:25,821
2016/4/16,4:30,814
2016/4/16,4:35,826
2016/4/16,4:40,820
2016/4/16,4:45,816
2016/4/16,4:50,817
2016/4/16,4:55,817
2016/4/16,5:00,814
2016/4/16,5:05,812
2016/4/16,5:10,798
2016/4/16,5:15,795
2016/4/16,5:20,790
2016/4/16,5:25,793
2016/4/16,5:30,794
2016/4/16,5:35,791
2016/4/16,5:40,782
2016/4/16,5:45,780
2016/4/16,5:50,777
2016/4/16,5:55,778
2016/4/16,6:00,776
2016/4/16,6:05,771
2016/4/16,6:10,769
2016/4/16,6:15,748
2016/4/16,6:20,742
2016/4/16,6:25,755
2016/4/16,6:30,755
2016/4/16,6:35,755
2016/4/16,6:40,751
2016/4/16,6:45,733
2016/4/16,6:50,740
2016/4/16,6:55,735
2016/4/16,7:00,732
2016/4/16,7:05,730
2016/4/16,7:10,716
2016/4/16,7:15,717
2016/4/16,7:20,722
2016/4/16,7:25,728
2016/4/16,7:30,730
2016/4/16,7:35,722
2016/4/16,7:40,722
2016/4/16,7:45,711
2016/4/16,7:50,715
2016/4/16,7:55,717
2016/4/16,8:00,715
2016/4/16,8:05,716
2016/4/16,8:10,731
2016/4/16,8:15,740
2016/4/16,8:20,720
2016/4/16,8:25,730
2016/4/16,8:30,734
2016/4/16,8:35,729
2016/4/16,8:40,751
2016/4/16,8:45,746
2016/4/16,8:50,749
2016/4/16,8:55,755
2016/4/16,9:00,762
2016/4/16,9:05,757
2016/4/16,9:10,760
2016/4/16,9:15,757
2016/4/16,9:20,786
2016/4/16,9:25,781
2016/4/16,9:30,757
2016/4/16,9:35,781
2016/4/16,9:40,756
2016/4/16,9:45,784
2016/4/16,9:50,762
2016/4/16,9:55,770
2016/4/16,10:00,783
2016/4/16,10:05,772
2016/4/16,10:10,778
2016/4/16,10:15,782
2016/4/16,10:20,799
2016/4/16,10:25,791
2016/4/16,10:30,801
2016/4/16,10:35,804
2016/4/16,10:40,798
2016/4/16,10:45,794
2016/4/16,10:50,818
2016/4/16,10:55,806
2016/4/16,11:00,834
2016/4/16,11:05,830
2016/4/16,11:10,838
2016/4/16,11:15,832
2016/4/16,11:20,832
2016/4/16,11:25,834
2016/4/16,11:30,837
2016/4/16,11:35,867
2016/4/16,11:40,828
2016/4/16,11:45,828
2016/4/16,11:50,850
2016/4/16,11:55,837
2016/4/16,12:00,814
2016/4/16,12:05,803
2016/4/16,12:10,783
2016/4/16,12:15,755
2016/4/16,12:20,758
2016/4/16,12:25,752
2016/4/16,12:30,766
2016/4/16,12:35,755
2016/4/16,12:40,794
2016/4/16,12:45,786
2016/4/16,12:50,795
2016/4/16,12:55,794
2016/4/16,13:00,797
2016/4/16,13:05,806
2016/4/16,13:10,806
2016/4/16,13:15,796
2016/4/16,13:20,761
2016/4/16,13:25,777
2016/4/16,13:30,762
2016/4/16,13:35,784
2016/4/16,13:40,800
2016/4/16,13:45,774
2016/4/16,13:50,765
2016/4/16,13:55,784
2016/4/16,14:00,763
2016/4/16,14:05,772
2016/4/16,14:10,770
2016/4/16,14:15,768
2016/4/16,14:20,759
2016/4/16,14:25,781
2016/4/16,14:30,746
2016/4/16,14:35,770
2016/4/16,14:40,766
