2016/7/13 17:03 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1201,19:00〜20:00,4/25,8:55,27,79
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
945,19:00〜20:00,4/25,8:55
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/4/25,0:00,663,699,55
2016/4/25,1:00,681,688,57
2016/4/25,2:00,733,749,61
2016/4/25,3:00,792,810,66
2016/4/25,4:00,823,842,69
2016/4/25,5:00,826,841,69
2016/4/25,6:00,819,849,68
2016/4/25,7:00,826,863,69
2016/4/25,8:00,858,864,71
2016/4/25,9:00,898,884,75
2016/4/25,10:00,908,889,76
2016/4/25,11:00,913,894,76
2016/4/25,12:00,864,878,72
2016/4/25,13:00,910,908,76
2016/4/25,14:00,924,898,77
2016/4/25,15:00,925,876,77
2016/4/25,16:00,933,880,78
2016/4/25,17:00,933,896,78
2016/4/25,18:00,946,922,79
2016/4/25,19:00,955,935,80
2016/4/25,20:00,905,899,75
2016/4/25,21:00,868,859,72
2016/4/25,22:00,827,822,69
2016/4/25,23:00,770,767,64
最大使用率(%),時間帯
80,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1204,19:00〜20:00,4/26,8:55,25,80
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
966,19:00〜20:00,4/26,8:55
DATE,TIME,当日実績(５分間隔値）(万kW)
2016/4/25,0:00,683
2016/4/25,0:05,675
2016/4/25,0:10,668
2016/4/25,0:15,672
2016/4/25,0:20,666
2016/4/25,0:25,662
2016/4/25,0:30,662
2016/4/25,0:35,653
2016/4/25,0:40,652
2016/4/25,0:45,659
2016/4/25,0:50,653
2016/4/25,0:55,657
2016/4/25,1:00,661
2016/4/25,1:05,673
2016/4/25,1:10,682
2016/4/25,1:15,673
2016/4/25,1:20,680
2016/4/25,1:25,670
2016/4/25,1:30,674
2016/4/25,1:35,677
2016/4/25,1:40,690
2016/4/25,1:45,691
2016/4/25,1:50,702
2016/4/25,1:55,703
2016/4/25,2:00,699
2016/4/25,2:05,715
2016/4/25,2:10,721
2016/4/25,2:15,721
2016/4/25,2:20,726
2016/4/25,2:25,729
2016/4/25,2:30,723
2016/4/25,2:35,739
2016/4/25,2:40,747
2016/4/25,2:45,753
2016/4/25,2:50,753
2016/4/25,2:55,765
2016/4/25,3:00,763
2016/4/25,3:05,775
2016/4/25,3:10,778
2016/4/25,3:15,785
2016/4/25,3:20,784
2016/4/25,3:25,785
2016/4/25,3:30,791
2016/4/25,3:35,803
2016/4/25,3:40,805
2016/4/25,3:45,801
2016/4/25,3:50,814
2016/4/25,3:55,815
2016/4/25,4:00,819
2016/4/25,4:05,819
2016/4/25,4:10,820
2016/4/25,4:15,813
2016/4/25,4:20,814
2016/4/25,4:25,824
2016/4/25,4:30,821
2016/4/25,4:35,821
2016/4/25,4:40,833
2016/4/25,4:45,836
2016/4/25,4:50,829
2016/4/25,4:55,826
2016/4/25,5:00,829
2016/4/25,5:05,833
2016/4/25,5:10,823
2016/4/25,5:15,827
2016/4/25,5:20,827
2016/4/25,5:25,834
2016/4/25,5:30,834
2016/4/25,5:35,837
2016/4/25,5:40,815
2016/4/25,5:45,820
2016/4/25,5:50,821
2016/4/25,5:55,811
2016/4/25,6:00,822
2016/4/25,6:05,819
2016/4/25,6:10,821
2016/4/25,6:15,829
2016/4/25,6:20,819
2016/4/25,6:25,811
2016/4/25,6:30,816
2016/4/25,6:35,818
2016/4/25,6:40,823
2016/4/25,6:45,821
2016/4/25,6:50,817
2016/4/25,6:55,809
2016/4/25,7:00,819
2016/4/25,7:05,834
2016/4/25,7:10,834
2016/4/25,7:15,821
2016/4/25,7:20,829
2016/4/25,7:25,817
2016/4/25,7:30,829
2016/4/25,7:35,834
2016/4/25,7:40,830
2016/4/25,7:45,815
2016/4/25,7:50,828
2016/4/25,7:55,814
2016/4/25,8:00,826
2016/4/25,8:05,838
2016/4/25,8:10,842
2016/4/25,8:15,844
2016/4/25,8:20,850
2016/4/25,8:25,853
2016/4/25,8:30,862
2016/4/25,8:35,867
2016/4/25,8:40,874
2016/4/25,8:45,880
2016/4/25,8:50,883
2016/4/25,8:55,885
2016/4/25,9:00,885
2016/4/25,9:05,892
2016/4/25,9:10,895
2016/4/25,9:15,889
2016/4/25,9:20,890
2016/4/25,9:25,892
2016/4/25,9:30,904
2016/4/25,9:35,903
2016/4/25,9:40,904
2016/4/25,9:45,906
2016/4/25,9:50,912
2016/4/25,9:55,908
2016/4/25,10:00,911
2016/4/25,10:05,910
2016/4/25,10:10,906
2016/4/25,10:15,905
2016/4/25,10:20,902
2016/4/25,10:25,901
2016/4/25,10:30,901
2016/4/25,10:35,919
2016/4/25,10:40,925
2016/4/25,10:45,914
2016/4/25,10:50,904
2016/4/25,10:55,904
2016/4/25,11:00,912
2016/4/25,11:05,917
2016/4/25,11:10,910
2016/4/25,11:15,920
2016/4/25,11:20,911
2016/4/25,11:25,908
2016/4/25,11:30,892
2016/4/25,11:35,910
2016/4/25,11:40,917
2016/4/25,11:45,919
2016/4/25,11:50,926
2016/4/25,11:55,910
2016/4/25,12:00,891
2016/4/25,12:05,870
2016/4/25,12:10,870
2016/4/25,12:15,863
2016/4/25,12:20,858
2016/4/25,12:25,870
2016/4/25,12:30,859
2016/4/25,12:35,860
2016/4/25,12:40,855
2016/4/25,12:45,852
2016/4/25,12:50,865
2016/4/25,12:55,857
2016/4/25,13:00,877
2016/4/25,13:05,902
2016/4/25,13:10,928
2016/4/25,13:15,898
2016/4/25,13:20,914
2016/4/25,13:25,927
2016/4/25,13:30,908
2016/4/25,13:35,918
2016/4/25,13:40,911
2016/4/25,13:45,907
2016/4/25,13:50,915
2016/4/25,13:55,916
2016/4/25,14:00,926
2016/4/25,14:05,927
2016/4/25,14:10,930
2016/4/25,14:15,915
2016/4/25,14:20,916
2016/4/25,14:25,919
2016/4/25,14:30,925
2016/4/25,14:35,929
2016/4/25,14:40,921
2016/4/25,14:45,925
2016/4/25,14:50,921
2016/4/25,14:55,930
2016/4/25,15:00,918
2016/4/25,15:05,919
2016/4/25,15:10,912
2016/4/25,15:15,917
2016/4/25,15:20,923
2016/4/25,15:25,926
2016/4/25,15:30,932
2016/4/25,15:35,931
2016/4/25,15:40,934
2016/4/25,15:45,935
2016/4/25,15:50,935
2016/4/25,15:55,926
2016/4/25,16:00,935
2016/4/25,16:05,933
2016/4/25,16:10,927
2016/4/25,16:15,936
2016/4/25,16:20,928
2016/4/25,16:25,938
2016/4/25,16:30,929
2016/4/25,16:35,930
2016/4/25,16:40,931
2016/4/25,16:45,930
2016/4/25,16:50,938
2016/4/25,16:55,939
2016/4/25,17:00,938
2016/4/25,17:05,933
2016/4/25,17:10,924
2016/4/25,17:15,929
2016/4/25,17:20,932
2016/4/25,17:25,932
2016/4/25,17:30,934
2016/4/25,17:35,937
2016/4/25,17:40,939
2016/4/25,17:45,928
2016/4/25,17:50,937
2016/4/25,17:55,943
2016/4/25,18:00,937
2016/4/25,18:05,938
2016/4/25,18:10,939
2016/4/25,18:15,932
2016/4/25,18:20,933
2016/4/25,18:25,940
2016/4/25,18:30,948
2016/4/25,18:35,953
2016/4/25,18:40,957
2016/4/25,18:45,955
2016/4/25,18:50,962
2016/4/25,18:55,966
2016/4/25,19:00,964
2016/4/25,19:05,968
2016/4/25,19:10,965
2016/4/25,19:15,966
2016/4/25,19:20,969
2016/4/25,19:25,965
2016/4/25,19:30,957
2016/4/25,19:35,951
2016/4/25,19:40,940
2016/4/25,19:45,942
2016/4/25,19:50,943
2016/4/25,19:55,931
2016/4/25,20:00,930
2016/4/25,20:05,928
2016/4/25,20:10,923
2016/4/25,20:15,906
2016/4/25,20:20,914
2016/4/25,20:25,904
2016/4/25,20:30,890
2016/4/25,20:35,897
2016/4/25,20:40,887
2016/4/25,20:45,892
2016/4/25,20:50,898
2016/4/25,20:55,888
2016/4/25,21:00,887
2016/4/25,21:05,881
2016/4/25,21:10,881
2016/4/25,21:15,879
2016/4/25,21:20,877
2016/4/25,21:25,874
2016/4/25,21:30,873
2016/4/25,21:35,858
2016/4/25,21:40,862
2016/4/25,21:45,852
2016/4/25,21:50,848
2016/4/25,21:55,847
2016/4/25,22:00,841
2016/4/25,22:05,849
2016/4/25,22:10,845
2016/4/25,22:15,849
2016/4/25,22:20,830
2016/4/25,22:25,832
2016/4/25,22:30,828
2016/4/25,22:35,817
2016/4/25,22:40,813
2016/4/25,22:45,806
2016/4/25,22:50,809
2016/4/25,22:55,799
2016/4/25,23:00,790
2016/4/25,23:05,795
2016/4/25,23:10,789
2016/4/25,23:15,787
2016/4/25,23:20,781
2016/4/25,23:25,776
2016/4/25,23:30,774
2016/4/25,23:35,765
2016/4/25,23:40,750
2016/4/25,23:45,752
2016/4/25,23:50,740
2016/4/25,23:55,740
