2016/7/13 17:03 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1158,19:00〜20:00,4/22,8:55,24,81
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
934,19:00〜20:00,4/22,8:55
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/4/22,0:00,711,726,61
2016/4/22,1:00,717,724,62
2016/4/22,2:00,770,763,66
2016/4/22,3:00,824,807,71
2016/4/22,4:00,850,832,73
2016/4/22,5:00,838,831,72
2016/4/22,6:00,822,836,71
2016/4/22,7:00,807,830,70
2016/4/22,8:00,825,846,71
2016/4/22,9:00,873,862,75
2016/4/22,10:00,898,847,78
2016/4/22,11:00,913,842,79
2016/4/22,12:00,876,817,76
2016/4/22,13:00,926,845,80
2016/4/22,14:00,913,832,79
2016/4/22,15:00,890,818,77
2016/4/22,16:00,900,830,78
2016/4/22,17:00,895,852,77
2016/4/22,18:00,919,905,79
2016/4/22,19:00,931,928,80
2016/4/22,20:00,891,910,77
2016/4/22,21:00,850,881,73
2016/4/22,22:00,813,854,70
2016/4/22,23:00,759,814,66
最大使用率(%),時間帯
80,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1158,19:00〜20:00,4/23,8:55,31,76
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
881,19:00〜20:00,4/23,8:55
DATE,TIME,当日実績(５分間隔値）(万kW)
2016/4/22,0:00,728
2016/4/22,0:05,718
2016/4/22,0:10,714
2016/4/22,0:15,723
2016/4/22,0:20,715
2016/4/22,0:25,713
2016/4/22,0:30,703
2016/4/22,0:35,710
2016/4/22,0:40,711
2016/4/22,0:45,703
2016/4/22,0:50,700
2016/4/22,0:55,694
2016/4/22,1:00,698
2016/4/22,1:05,699
2016/4/22,1:10,711
2016/4/22,1:15,715
2016/4/22,1:20,706
2016/4/22,1:25,717
2016/4/22,1:30,726
2016/4/22,1:35,723
2016/4/22,1:40,717
2016/4/22,1:45,730
2016/4/22,1:50,730
2016/4/22,1:55,736
2016/4/22,2:00,749
2016/4/22,2:05,753
2016/4/22,2:10,761
2016/4/22,2:15,750
2016/4/22,2:20,764
2016/4/22,2:25,766
2016/4/22,2:30,776
2016/4/22,2:35,768
2016/4/22,2:40,789
2016/4/22,2:45,784
2016/4/22,2:50,787
2016/4/22,2:55,793
2016/4/22,3:00,793
2016/4/22,3:05,799
2016/4/22,3:10,808
2016/4/22,3:15,818
2016/4/22,3:20,824
2016/4/22,3:25,825
2016/4/22,3:30,823
2016/4/22,3:35,839
2016/4/22,3:40,835
2016/4/22,3:45,839
2016/4/22,3:50,842
2016/4/22,3:55,848
2016/4/22,4:00,840
2016/4/22,4:05,852
2016/4/22,4:10,852
2016/4/22,4:15,850
2016/4/22,4:20,858
2016/4/22,4:25,855
2016/4/22,4:30,839
2016/4/22,4:35,844
2016/4/22,4:40,854
2016/4/22,4:45,857
2016/4/22,4:50,855
2016/4/22,4:55,844
2016/4/22,5:00,850
2016/4/22,5:05,864
2016/4/22,5:10,842
2016/4/22,5:15,843
2016/4/22,5:20,841
2016/4/22,5:25,839
2016/4/22,5:30,834
2016/4/22,5:35,840
2016/4/22,5:40,836
2016/4/22,5:45,822
2016/4/22,5:50,823
2016/4/22,5:55,822
2016/4/22,6:00,829
2016/4/22,6:05,831
