2016/7/14 15:47 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1162,19:00〜20:00,5/17,8:55,20,83
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
967,19:00〜20:00,5/17,8:55
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/5/17,0:00,738,748,64
2016/5/17,1:00,743,733,64
2016/5/17,2:00,787,784,68
2016/5/17,3:00,838,848,72
2016/5/17,4:00,875,879,75
2016/5/17,5:00,869,876,75
2016/5/17,6:00,856,860,74
2016/5/17,7:00,837,831,72
2016/5/17,8:00,837,830,72
2016/5/17,9:00,891,869,77
2016/5/17,10:00,922,882,79
2016/5/17,11:00,948,911,82
2016/5/17,12:00,904,875,78
2016/5/17,13:00,944,919,81
2016/5/17,14:00,953,913,82
2016/5/17,15:00,940,904,81
2016/5/17,16:00,953,930,82
2016/5/17,17:00,949,940,82
2016/5/17,18:00,949,943,82
2016/5/17,19:00,965,961,83
2016/5/17,20:00,926,927,80
2016/5/17,21:00,881,883,76
2016/5/17,22:00,845,847,73
2016/5/17,23:00,791,793,68
最大使用率(%),時間帯
83,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1122,19:00〜20:00,5/18,8:55,16,86
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
970,19:00〜20:00,5/18,8:55
DATE,TIME,当日実績(５分間隔値）(万kW)
2016/5/17,0:00,755
2016/5/17,0:05,755
2016/5/17,0:10,759
2016/5/17,0:15,751
2016/5/17,0:20,746
2016/5/17,0:25,731
2016/5/17,0:30,734
2016/5/17,0:35,738
2016/5/17,0:40,732
2016/5/17,0:45,731
2016/5/17,0:50,715
2016/5/17,0:55,710
2016/5/17,1:00,722
2016/5/17,1:05,738
2016/5/17,1:10,739
2016/5/17,1:15,741
2016/5/17,1:20,738
2016/5/17,1:25,744
2016/5/17,1:30,742
2016/5/17,1:35,744
2016/5/17,1:40,742
2016/5/17,1:45,751
2016/5/17,1:50,752
2016/5/17,1:55,759
2016/5/17,2:00,759
2016/5/17,2:05,773
2016/5/17,2:10,772
2016/5/17,2:15,777
2016/5/17,2:20,780
2016/5/17,2:25,782
2016/5/17,2:30,793
2016/5/17,2:35,790
2016/5/17,2:40,790
2016/5/17,2:45,799
2016/5/17,2:50,810
2016/5/17,2:55,815
2016/5/17,3:00,816
2016/5/17,3:05,822
2016/5/17,3:10,827
2016/5/17,3:15,833
2016/5/17,3:20,835
2016/5/17,3:25,835
2016/5/17,3:30,827
2016/5/17,3:35,836
2016/5/17,3:40,856
2016/5/17,3:45,852
2016/5/17,3:50,860
2016/5/17,3:55,858
2016/5/17,4:00,866
2016/5/17,4:05,869
2016/5/17,4:10,864
2016/5/17,4:15,873
2016/5/17,4:20,873
2016/5/17,4:25,865
2016/5/17,4:30,877
2016/5/17,4:35,883
2016/5/17,4:40,884
2016/5/17,4:45,872
2016/5/17,4:50,890
2016/5/17,4:55,886
2016/5/17,5:00,881
2016/5/17,5:05,875
