2016/7/13 17:03 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1173,19:00〜20:00,4/17,8:55,35,74
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
869,19:00〜20:00,4/17,8:55
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/4/17,0:00,651,681,55
2016/4/17,1:00,665,661,57
2016/4/17,2:00,708,711,60
2016/4/17,3:00,758,750,65
2016/4/17,4:00,771,757,66
2016/4/17,5:00,745,729,64
2016/4/17,6:00,693,692,59
2016/4/17,7:00,672,680,57
2016/4/17,8:00,666,682,57
2016/4/17,9:00,695,694,59
2016/4/17,10:00,725,697,62
2016/4/17,11:00,750,704,64
2016/4/17,12:00,748,672,64
2016/4/17,13:00,718,682,61
2016/4/17,14:00,717,676,61
2016/4/17,15:00,709,685,60
2016/4/17,16:00,722,694,62
2016/4/17,17:00,764,764,65
2016/4/17,18:00,817,839,70
2016/4/17,19:00,850,867,72
2016/4/17,20:00,823,845,70
2016/4/17,21:00,787,809,67
2016/4/17,22:00,743,757,63
2016/4/17,23:00,695,716,59
最大使用率(%),時間帯
72,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1144,19:00〜20:00,4/18,8:55,19,84
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
963,19:00〜20:00,4/18,8:55
DATE,TIME,当日実績(５分間隔値）(万kW)
2016/4/17,0:00,665
2016/4/17,0:05,668
2016/4/17,0:10,668
2016/4/17,0:15,660
2016/4/17,0:20,651
2016/4/17,0:25,651
2016/4/17,0:30,649
2016/4/17,0:35,648
2016/4/17,0:40,644
2016/4/17,0:45,634
2016/4/17,0:50,631
2016/4/17,0:55,637
2016/4/17,1:00,653
2016/4/17,1:05,672
2016/4/17,1:10,655
2016/4/17,1:15,661
2016/4/17,1:20,652
2016/4/17,1:25,670
2016/4/17,1:30,665
2016/4/17,1:35,665
2016/4/17,1:40,663
2016/4/17,1:45,674
2016/4/17,1:50,677
2016/4/17,1:55,678
2016/4/17,2:00,677
2016/4/17,2:05,699
2016/4/17,2:10,705
2016/4/17,2:15,701
2016/4/17,2:20,705
2016/4/17,2:25,697
2016/4/17,2:30,700
2016/4/17,2:35,716
2016/4/17,2:40,720
2016/4/17,2:45,723
2016/4/17,2:50,725
2016/4/17,2:55,724
2016/4/17,3:00,734
2016/4/17,3:05,746
2016/4/17,3:10,758
2016/4/17,3:15,751
2016/4/17,3:20,751
2016/4/17,3:25,757
2016/4/17,3:30,762
2016/4/17,3:35,758
2016/4/17,3:40,761
2016/4/17,3:45,767
2016/4/17,3:50,771
2016/4/17,3:55,781
2016/4/17,4:00,774
2016/4/17,4:05,768
2016/4/17,4:10,772
2016/4/17,4:15,765
2016/4/17,4:20,776
2016/4/17,4:25,774
2016/4/17,4:30,778
2016/4/17,4:35,767
2016/4/17,4:40,769
2016/4/17,4:45,772
2016/4/17,4:50,776
2016/4/17,4:55,755
2016/4/17,5:00,767
2016/4/17,5:05,765
