2016/7/14 15:46 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1018,19:00〜20:00,5/5,8:55,15,87
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
886,19:00〜20:00,5/5,8:55
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/5/5,0:00,648,647,64
2016/5/5,1:00,660,656,65
2016/5/5,2:00,703,709,69
2016/5/5,3:00,756,768,74
2016/5/5,4:00,782,804,77
2016/5/5,5:00,761,785,75
2016/5/5,6:00,714,733,70
2016/5/5,7:00,684,703,67
2016/5/5,8:00,686,695,67
2016/5/5,9:00,718,717,71
2016/5/5,10:00,746,741,73
2016/5/5,11:00,768,770,75
2016/5/5,12:00,775,782,76
2016/5/5,13:00,765,777,75
2016/5/5,14:00,766,755,75
2016/5/5,15:00,761,751,75
2016/5/5,16:00,776,766,76
2016/5/5,17:00,815,803,80
2016/5/5,18:00,852,844,84
2016/5/5,19:00,870,876,85
2016/5/5,20:00,839,850,82
2016/5/5,21:00,796,798,78
2016/5/5,22:00,751,746,74
2016/5/5,23:00,699,688,69
最大使用率(%),時間帯
85,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1068,19:00〜20:00,5/6,8:55,12,89
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
950,19:00〜20:00,5/6,8:55
DATE,TIME,当日実績(５分間隔値）(万kW)
2016/5/5,0:00,667
2016/5/5,0:05,657
2016/5/5,0:10,664
2016/5/5,0:15,653
2016/5/5,0:20,643
2016/5/5,0:25,653
2016/5/5,0:30,651
2016/5/5,0:35,649
2016/5/5,0:40,638
2016/5/5,0:45,630
2016/5/5,0:50,635
2016/5/5,0:55,638
2016/5/5,1:00,653
2016/5/5,1:05,657
2016/5/5,1:10,657
2016/5/5,1:15,655
2016/5/5,1:20,651
2016/5/5,1:25,651
2016/5/5,1:30,659
2016/5/5,1:35,670
2016/5/5,1:40,661
2016/5/5,1:45,662
2016/5/5,1:50,662
2016/5/5,1:55,679
2016/5/5,2:00,685
2016/5/5,2:05,684
2016/5/5,2:10,687
2016/5/5,2:15,696
2016/5/5,2:20,693
2016/5/5,2:25,701
2016/5/5,2:30,693
2016/5/5,2:35,703
2016/5/5,2:40,708
2016/5/5,2:45,719
2016/5/5,2:50,726
2016/5/5,2:55,736
2016/5/5,3:00,737
2016/5/5,3:05,741
2016/5/5,3:10,740
2016/5/5,3:15,748
2016/5/5,3:20,767
2016/5/5,3:25,749
2016/5/5,3:30,753
2016/5/5,3:35,763
2016/5/5,3:40,772
2016/5/5,3:45,762
2016/5/5,3:50,774
2016/5/5,3:55,767
2016/5/5,4:00,779
2016/5/5,4:05,783
2016/5/5,4:10,785
2016/5/5,4:15,779
2016/5/5,4:20,778
2016/5/5,4:25,772
2016/5/5,4:30,784
2016/5/5,4:35,790
2016/5/5,4:40,781
2016/5/5,4:45,780
2016/5/5,4:50,782
2016/5/5,4:55,785
2016/5/5,5:00,781
2016/5/5,5:05,784
2016/5/5,5:10,769
2016/5/5,5:15,783
2016/5/5,5:20,778
2016/5/5,5:25,773
2016/5/5,5:30,764
2016/5/5,5:35,758
2016/5/5,5:40,751
2016/5/5,5:45,741
2016/5/5,5:50,730
2016/5/5,5:55,721
2016/5/5,6:00,726
2016/5/5,6:05,728
2016/5/5,6:10,725
2016/5/5,6:15,723
2016/5/5,6:20,725
2016/5/5,6:25,707
2016/5/5,6:30,716
2016/5/5,6:35,714
2016/5/5,6:40,704
2016/5/5,6:45,705
2016/5/5,6:50,689
2016/5/5,6:55,708
2016/5/5,7:00,698
2016/5/5,7:05,695
2016/5/5,7:10,690
2016/5/5,7:15,688
2016/5/5,7:20,695
2016/5/5,7:25,687
2016/5/5,7:30,679
2016/5/5,7:35,695
2016/5/5,7:40,678
2016/5/5,7:45,669
2016/5/5,7:50,670
2016/5/5,7:55,668
2016/5/5,8:00,667
2016/5/5,8:05,671
2016/5/5,8:10,674
2016/5/5,8:15,674
2016/5/5,8:20,679
2016/5/5,8:25,681
2016/5/5,8:30,687
2016/5/5,8:35,685
2016/5/5,8:40,699
2016/5/5,8:45,697
2016/5/5,8:50,707
2016/5/5,8:55,710
2016/5/5,9:00,700
2016/5/5,9:05,700
2016/5/5,9:10,709
2016/5/5,9:15,707
2016/5/5,9:20,712
2016/5/5,9:25,707
2016/5/5,9:30,726
2016/5/5,9:35,734
2016/5/5,9:40,729
2016/5/5,9:45,730
2016/5/5,9:50,736
2016/5/5,9:55,728
2016/5/5,10:00,734
2016/5/5,10:05,735
2016/5/5,10:10,735
2016/5/5,10:15,747
2016/5/5,10:20,754
2016/5/5,10:25,756
2016/5/5,10:30,752
2016/5/5,10:35,753
2016/5/5,10:40,752
2016/5/5,10:45,749
