2025/3/15 8:00 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
403,9:00〜10:00,3月14日,8:46,7,93
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
375,9:00〜10:00,3月13日,23:16
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
386,8:00〜9:00,3月14日,18:16,6,94
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
364,8:00〜9:00,3月14日,18:16
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/3/14,0:00,292,294,87,335
2025/3/14,1:00,303,304,86,351
2025/3/14,2:00,324,323,88,366
2025/3/14,3:00,343,339,92,373
2025/3/14,4:00,349,345,92,378
2025/3/14,5:00,352,350,94,373
2025/3/14,6:00,359,356,94,380
2025/3/14,7:00,347,354,92,376
2025/3/14,8:00,355,364,92,386
2025/3/14,9:00,358,375,88,403
2025/3/14,10:00,350,359,78,444
2025/3/14,11:00,346,349,81,423
2025/3/14,12:00,326,329,76,426
2025/3/14,13:00,330,330,76,433
2025/3/14,14:00,325,325,75,430
2025/3/14,15:00,316,319,77,409
2025/3/14,16:00,323,327,90,356
2025/3/14,17:00,324,330,89,363
2025/3/14,18:00,335,343,91,366
2025/3/14,19:00,331,335,93,356
2025/3/14,20:00,323,328,92,349
2025/3/14,21:00,315,321,91,346
2025/3/14,22:00,314,312,91,345
2025/3/14,23:00,307,306,87,352
最大使用率(%),時間帯
94,6:00〜7:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
367,3:00〜4:00,3月15日,2:46,9,92
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
338,3:00〜4:00,3月14日,16:48
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
326,0:00〜1:00,3月15日,4:16,7,93
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
303,0:00〜1:00,3月15日,4:16
DATE,TIME,当日実績（５分間隔値）(万kW),太陽光発電実績（５分間隔値）(万kW)
2025/3/14,0:00,293,0
2025/3/14,0:05,291,0
2025/3/14,0:10,292,0
2025/3/14,0:15,290,0
2025/3/14,0:20,291,0
2025/3/14,0:25,292,0
2025/3/14,0:30,293,0
2025/3/14,0:35,292,0
2025/3/14,0:40,293,0
2025/3/14,0:45,292,0
2025/3/14,0:50,292,0
2025/3/14,0:55,295,0
2025/3/14,1:00,293,0
2025/3/14,1:05,292,0
2025/3/14,1:10,293,0
2025/3/14,1:15,296,0
2025/3/14,1:20,297,0
2025/3/14,1:25,299,0
2025/3/14,1:30,301,0
2025/3/14,1:35,301,0
2025/3/14,1:40,308,0
2025/3/14,1:45,310,0
2025/3/14,1:50,310,0
2025/3/14,1:55,311,0
2025/3/14,2:00,313,0
2025/3/14,2:05,317,0
2025/3/14,2:10,318,0
2025/3/14,2:15,318,0
2025/3/14,2:20,318,0
2025/3/14,2:25,321,0
2025/3/14,2:30,321,0
2025/3/14,2:35,325,0
2025/3/14,2:40,326,0
2025/3/14,2:45,331,0
2025/3/14,2:50,333,0
2025/3/14,2:55,335,0
2025/3/14,3:00,333,0
2025/3/14,3:05,336,0
2025/3/14,3:10,338,0
2025/3/14,3:15,341,0
2025/3/14,3:20,344,0
2025/3/14,3:25,344,0
2025/3/14,3:30,342,0
2025/3/14,3:35,343,0
2025/3/14,3:40,343,0
2025/3/14,3:45,346,0
2025/3/14,3:50,349,0
2025/3/14,3:55,349,0
2025/3/14,4:00,348,0
2025/3/14,4:05,352,0
2025/3/14,4:10,351,0
2025/3/14,4:15,349,0
2025/3/14,4:20,351,0
2025/3/14,4:25,351,0
2025/3/14,4:30,349,0
2025/3/14,4:35,349,0
2025/3/14,4:40,350,0
2025/3/14,4:45,349,0
2025/3/14,4:50,348,0
2025/3/14,4:55,349,0
2025/3/14,5:00,350,0
2025/3/14,5:05,353,0
2025/3/14,5:10,352,0
2025/3/14,5:15,355,0
2025/3/14,5:20,354,0
2025/3/14,5:25,354,0
2025/3/14,5:30,355,0
2025/3/14,5:35,354,0
2025/3/14,5:40,351,0
2025/3/14,5:45,352,0
2025/3/14,5:50,353,0
2025/3/14,5:55,353,0
2025/3/14,6:00,357,0
2025/3/14,6:05,361,0
2025/3/14,6:10,361,0
2025/3/14,6:15,359,0
2025/3/14,6:20,360,1
2025/3/14,6:25,361,1
2025/3/14,6:30,362,2
2025/3/14,6:35,362,3
2025/3/14,6:40,358,4
2025/3/14,6:45,357,5
2025/3/14,6:50,358,6
2025/3/14,6:55,358,7
2025/3/14,7:00,353,9
2025/3/14,7:05,351,10
2025/3/14,7:10,350,12
2025/3/14,7:15,350,14
2025/3/14,7:20,350,16
