2021/08/07 23:59 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2724,14:00〜15:00,08月06日,16:08,15,87
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2362,14:00〜15:00,08月06日,16:08
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2650,16:00〜17:00,08月06日,16:08,15,87
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2299,16:00〜17:00,08月06日,16:08
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2021/08/06,00:00,1487,1485,81,1846
2021/08/06,01:00,1387,1394,79,1756
2021/08/06,02:00,1349,1347,79,1718
2021/08/06,03:00,1344,1340,78,1726
2021/08/06,04:00,1343,1340,77,1749
2021/08/06,05:00,1340,1335,77,1733
2021/08/06,06:00,1430,1429,79,1820
2021/08/06,07:00,1646,1646,82,2008
2021/08/06,08:00,1982,1976,85,2337
2021/08/06,09:00,2202,2197,86,2558
2021/08/06,10:00,2262,2250,85,2659
2021/08/06,11:00,2329,2305,87,2673
2021/08/06,12:00,2279,2252,84,2706
2021/08/06,13:00,2354,2359,86,2722
2021/08/06,14:00,2365,2362,87,2724
2021/08/06,15:00,2323,2329,86,2686
2021/08/06,16:00,2274,2299,86,2650
2021/08/06,17:00,2105,2138,84,2499
2021/08/06,18:00,2014,2049,84,2410
2021/08/06,19:00,1943,1980,83,2341
2021/08/06,20:00,1843,1880,82,2241
2021/08/06,21:00,1742,1764,82,2125
2021/08/06,22:00,1644,1672,81,2034
2021/08/06,23:00,1564,1585,80,1947
最大使用率(%),時間帯
87,14:00〜15:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2218,13:00〜14:00,08月06日,16:39,21,82
