2021/09/15 23:59 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2084,10:00〜11:00,09月14日,16:03,14,88
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1831,10:00〜11:00,09月14日,16:03
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1951,12:00〜13:00,09月14日,16:03,14,88
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1717,12:00〜13:00,09月14日,16:03
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2021/09/14,00:00,1295,1294,82,1571
2021/09/14,01:00,1230,1234,82,1504
2021/09/14,02:00,1226,1227,82,1496
2021/09/14,03:00,1249,1253,82,1526
2021/09/14,04:00,1272,1265,83,1541
2021/09/14,05:00,1281,1285,82,1562
2021/09/14,06:00,1318,1333,83,1596
2021/09/14,07:00,1446,1463,84,1722
2021/09/14,08:00,1675,1701,84,1994
2021/09/14,09:00,1816,1811,88,2059
2021/09/14,10:00,1837,1831,88,2084
2021/09/14,11:00,1837,1821,89,2073
2021/09/14,12:00,1719,1717,88,1951
2021/09/14,13:00,1807,1798,88,2046
2021/09/14,14:00,1816,1811,88,2060
2021/09/14,15:00,1779,1780,84,2122
2021/09/14,16:00,1776,1771,84,2109
2021/09/14,17:00,1715,1704,85,2029
2021/09/14,18:00,1679,1670,84,1988
2021/09/14,19:00,1584,1575,85,1875
2021/09/14,20:00,1500,1499,84,1795
2021/09/14,21:00,1464,1447,84,1745
2021/09/14,22:00,1412,1397,84,1684
2021/09/14,23:00,1374,1364,84,1644
最大使用率(%),時間帯
89,11:00〜12:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2308,14:00〜15:00,09月14日,16:50,17,85
翌日電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1967,14:00〜15:00,09月14日,16:50
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1920,19:00〜20:00,09月14日,16:50,17,85
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1639,19:00〜20:00,09月14日,16:50
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2021/09/14,00:00,1348,0
2021/09/14,00:05,1341,0
2021/09/14,00:10,1307,0
2021/09/14,00:15,1299,0
2021/09/14,00:20,1270,0
2021/09/14,00:25,1271,0
2021/09/14,00:30,1288,0
2021/09/14,00:35,1285,0
2021/09/14,00:40,1284,0
2021/09/14,00:45,1265,0
2021/09/14,00:50,1272,0
2021/09/14,00:55,1259,0
2021/09/14,01:00,1256,0
2021/09/14,01:05,1226,0
2021/09/14,01:10,1225,0
2021/09/14,01:15,1229,0
2021/09/14,01:20,1230,0
2021/09/14,01:25,1241,0
2021/09/14,01:30,1226,0
2021/09/14,01:35,1219,0
2021/09/14,01:40,1209,0
2021/09/14,01:45,1221,0
2021/09/14,01:50,1212,0
2021/09/14,01:55,1211,0
2021/09/14,02:00,1209,0
2021/09/14,02:05,1192,0
2021/09/14,02:10,1193,0
2021/09/14,02:15,1214,0
2021/09/14,02:20,1217,0
2021/09/14,02:25,1226,0
2021/09/14,02:30,1227,0
2021/09/14,02:35,1227,0
2021/09/14,02:40,1233,0
2021/09/14,02:45,1229,0
2021/09/14,02:50,1221,0
2021/09/14,02:55,1211,0
2021/09/14,03:00,1215,0
2021/09/14,03:05,1233,0
2021/09/14,03:10,1233,0
2021/09/14,03:15,1228,0
2021/09/14,03:20,1244,0
2021/09/14,03:25,1248,0
2021/09/14,03:30,1252,0
2021/09/14,03:35,1235,0
2021/09/14,03:40,1249,0
2021/09/14,03:45,1247,0
2021/09/14,03:50,1257,0
2021/09/14,03:55,1261,0
2021/09/14,04:00,1242,0
2021/09/14,04:05,1231,0
2021/09/14,04:10,1243,0
2021/09/14,04:15,1275,0
2021/09/14,04:20,1273,0
2021/09/14,04:25,1266,0
2021/09/14,04:30,1270,0
2021/09/14,04:35,1275,0
2021/09/14,04:40,1269,0
2021/09/14,04:45,1283,0
