2021/09/14 23:59 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2341,14:00〜15:00,09月13日,16:20,20,83
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1950,14:00〜15:00,09月13日,16:20
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1975,19:00〜20:00,09月13日,16:20,20,83
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1647,19:00〜20:00,09月13日,16:20
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2021/09/13,00:00,1066,1059,82,1299
2021/09/13,01:00,1024,1010,79,1293
2021/09/13,02:00,1029,1021,80,1293
2021/09/13,03:00,1075,1067,82,1310
2021/09/13,04:00,1105,1092,82,1341
2021/09/13,05:00,1134,1123,82,1379
2021/09/13,06:00,1184,1179,80,1488
2021/09/13,07:00,1355,1348,83,1625
2021/09/13,08:00,1607,1611,83,1943
2021/09/13,09:00,1808,1789,84,2147
2021/09/13,10:00,1873,1852,84,2222
2021/09/13,11:00,1914,1902,84,2282
2021/09/13,12:00,1818,1837,82,2224
2021/09/13,13:00,1931,1931,83,2317
2021/09/13,14:00,1953,1950,83,2341
2021/09/13,15:00,1911,1913,83,2296
2021/09/13,16:00,1857,1877,82,2253
2021/09/13,17:00,1760,1788,82,2146
2021/09/13,18:00,1727,1744,83,2092
2021/09/13,19:00,1626,1647,82,1975
2021/09/13,20:00,1528,1552,82,1872
2021/09/13,21:00,1484,1492,82,1811
2021/09/13,22:00,1429,1432,82,1739
2021/09/13,23:00,1397,1383,83,1680
最大使用率(%),時間帯
84,11:00〜12:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2166,11:00〜12:00,09月13日,17:04,17,86
翌日電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1854,11:00〜12:00,09月13日,17:04
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1968,18:00〜19:00,09月13日,17:04,17,86
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1687,18:00〜19:00,09月13日,17:04
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2021/09/13,00:00,1076,0
2021/09/13,00:05,1088,0
2021/09/13,00:10,1080,0
2021/09/13,00:15,1061,0
2021/09/13,00:20,1056,0
2021/09/13,00:25,1071,0
2021/09/13,00:30,1050,0
2021/09/13,00:35,1055,0
2021/09/13,00:40,1065,0
2021/09/13,00:45,1049,0
2021/09/13,00:50,1031,0
2021/09/13,00:55,1036,0
2021/09/13,01:00,1037,0
2021/09/13,01:05,1036,0
2021/09/13,01:10,1011,0
2021/09/13,01:15,1012,0
2021/09/13,01:20,994,0
2021/09/13,01:25,996,0
2021/09/13,01:30,997,0
2021/09/13,01:35,1023,0
2021/09/13,01:40,1010,0
2021/09/13,01:45,1022,0
2021/09/13,01:50,1018,0
2021/09/13,01:55,1013,0
2021/09/13,02:00,1009,0
2021/09/13,02:05,1009,0
2021/09/13,02:10,998,0
2021/09/13,02:15,1009,0
2021/09/13,02:20,990,0
2021/09/13,02:25,1002,0
2021/09/13,02:30,993,0
2021/09/13,02:35,1012,0
2021/09/13,02:40,1033,0
2021/09/13,02:45,1040,0
2021/09/13,02:50,1053,0
2021/09/13,02:55,1053,0
2021/09/13,03:00,1054,0
2021/09/13,03:05,1052,0
2021/09/13,03:10,1057,0
2021/09/13,03:15,1061,0
2021/09/13,03:20,1050,0
2021/09/13,03:25,1054,0
2021/09/13,03:30,1049,0
2021/09/13,03:35,1065,0
2021/09/13,03:40,1074,0
2021/09/13,03:45,1084,0
2021/09/13,03:50,1074,0
2021/09/13,03:55,1092,0
2021/09/13,04:00,1076,0
2021/09/13,04:05,1090,0
2021/09/13,04:10,1097,0
2021/09/13,04:15,1103,0
