2020/02/17 09:32 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2230,14:00〜15:00,07月01日,07:31,11,90
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2014,14:00〜15:00,07月01日,07:31
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2230,14:00〜15:00,07月01日,07:31,11,90
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2014,14:00〜15:00,07月01日,07:31
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2019/07/01,00:00,1110,1099,70,1589
2019/07/01,01:00,1055,1048,67,1575
2019/07/01,02:00,1065,1058,68,1559
2019/07/01,03:00,1097,1083,69,1583
2019/07/01,04:00,1121,1114,70,1606
2019/07/01,05:00,1146,1138,70,1629
2019/07/01,06:00,1237,1217,72,1719
2019/07/01,07:00,1397,1424,75,1865
2019/07/01,08:00,1637,1700,78,2109
2019/07/01,09:00,1835,1904,86,2123
2019/07/01,10:00,1889,1968,86,2190
2019/07/01,11:00,1920,2003,86,2239
2019/07/01,12:00,1809,1879,85,2117
2019/07/01,13:00,1938,1985,87,2224
2019/07/01,14:00,1953,2014,88,2230
2019/07/01,15:00,1927,1984,87,2220
2019/07/01,16:00,1904,1974,86,2208
2019/07/01,17:00,1809,1876,86,2099
2019/07/01,18:00,1763,1821,87,2037
2019/07/01,19:00,1719,1774,87,1984
2019/07/01,20:00,1643,1711,84,1961
2019/07/01,21:00,1587,1653,81,1965
2019/07/01,22:00,1542,1585,79,1960
2019/07/01,23:00,1477,1514,75,1972
最大使用率(%),時間帯
88,14:00〜15:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2390,14:00〜15:00,07月01日,18:40,16,86
翌日電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2068,14:00〜15:00,07月01日,18:40
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2390,14:00〜15:00,07月01日,18:40,16,86
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2068,14:00〜15:00,07月01日,18:40
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2019/07/01,00:00,1140,0
2019/07/01,00:05,1154,0
2019/07/01,00:10,1138,0
2019/07/01,00:15,1144,0
2019/07/01,00:20,1130,0
2019/07/01,00:25,1108,0
2019/07/01,00:30,1108,0
2019/07/01,00:35,1114,0
2019/07/01,00:40,1108,0
2019/07/01,00:45,1075,0
2019/07/01,00:50,1074,0
2019/07/01,00:55,1065,0
2019/07/01,01:00,1056,0
2019/07/01,01:05,1035,0
2019/07/01,01:10,1059,0
2019/07/01,01:15,1059,0
2019/07/01,01:20,1049,0
2019/07/01,01:25,1058,0
2019/07/01,01:30,1053,0
2019/07/01,01:35,1051,0
2019/07/01,01:40,1052,0
2019/07/01,01:45,1063,0
2019/07/01,01:50,1052,0
2019/07/01,01:55,1054,0
2019/07/01,02:00,1055,0
2019/07/01,02:05,1065,0
2019/07/01,02:10,1066,0
2019/07/01,02:15,1055,0
2019/07/01,02:20,1066,0
2019/07/01,02:25,1052,0
2019/07/01,02:30,1054,0
2019/07/01,02:35,1064,0
2019/07/01,02:40,1056,0
2019/07/01,02:45,1063,0
2019/07/01,02:50,1059,0
2019/07/01,02:55,1077,0
2019/07/01,03:00,1087,0
2019/07/01,03:05,1095,0
2019/07/01,03:10,1091,0
2019/07/01,03:15,1093,0
2019/07/01,03:20,1095,0
2019/07/01,03:25,1085,0
2019/07/01,03:30,1089,0
2019/07/01,03:35,1089,0
2019/07/01,03:40,1100,0
2019/07/01,03:45,1094,0
2019/07/01,03:50,1098,0
2019/07/01,03:55,1100,0
2019/07/01,04:00,1103,0
2019/07/01,04:05,1118,0
2019/07/01,04:10,1120,0
2019/07/01,04:15,1129,0
2019/07/01,04:20,1135,0
2019/07/01,04:25,1135,0
2019/07/01,04:30,1117,0
2019/07/01,04:35,1113,0
2019/07/01,04:40,1114,0
2019/07/01,04:45,1099,0
2019/07/01,04:50,1108,0
2019/07/01,04:55,1129,0
2019/07/01,05:00,1136,0
2019/07/01,05:05,1129,0
2019/07/01,05:10,1130,0
2019/07/01,05:15,1150,0
2019/07/01,05:20,1146,0
2019/07/01,05:25,1150,1
2019/07/01,05:30,1139,1
2019/07/01,05:35,1151,1
2019/07/01,05:40,1146,1
2019/07/01,05:45,1143,1
2019/07/01,05:50,1146,1
2019/07/01,05:55,1146,1
2019/07/01,06:00,1155,1
2019/07/01,06:05,1166,3
2019/07/01,06:10,1186,3
2019/07/01,06:15,1216,3
2019/07/01,06:20,1216,4
2019/07/01,06:25,1233,5
2019/07/01,06:30,1244,4
2019/07/01,06:35,1263,5
2019/07/01,06:40,1274,6
2019/07/01,06:45,1275,8
2019/07/01,06:50,1294,9
2019/07/01,06:55,1290,11
2019/07/01,07:00,1319,15
2019/07/01,07:05,1342,18
2019/07/01,07:10,1353,21
2019/07/01,07:15,1369,23
2019/07/01,07:20,1380,26
2019/07/01,07:25,1397,29
2019/07/01,07:30,1410,35
2019/07/01,07:35,1413,39
2019/07/01,07:40,1427,42
2019/07/01,07:45,1442,48
2019/07/01,07:50,1438,52
2019/07/01,07:55,1453,56
2019/07/01,08:00,1487,57
2019/07/01,08:05,1515,59
2019/07/01,08:10,1536,64
2019/07/01,08:15,1572,68
2019/07/01,08:20,1596,73
2019/07/01,08:25,1631,77
2019/07/01,08:30,1652,78
2019/07/01,08:35,1662,80
2019/07/01,08:40,1687,87
2019/07/01,08:45,1716,91
2019/07/01,08:50,1746,89
2019/07/01,08:55,1777,89
2019/07/01,09:00,1796,93
2019/07/01,09:05,1796,97
2019/07/01,09:10,1823,105
2019/07/01,09:15,1827,114
2019/07/01,09:20,1841,122
2019/07/01,09:25,1833,127
2019/07/01,09:30,1840,135
2019/07/01,09:35,1832,144
2019/07/01,09:40,1843,152
2019/07/01,09:45,1847,162
2019/07/01,09:50,1851,173
2019/07/01,09:55,1854,177
2019/07/01,10:00,1867,178
2019/07/01,10:05,1841,180
2019/07/01,10:10,1846,185
2019/07/01,10:15,1868,188
2019/07/01,10:20,1867,193
2019/07/01,10:25,1875,203
2019/07/01,10:30,1879,215
2019/07/01,10:35,1883,221
2019/07/01,10:40,1899,219
2019/07/01,10:45,1898,216
2019/07/01,10:50,1905,218
2019/07/01,10:55,1900,218
2019/07/01,11:00,1909,221
2019/07/01,11:05,1901,223
2019/07/01,11:10,1907,234
2019/07/01,11:15,1912,248
2019/07/01,11:20,1901,250
2019/07/01,11:25,1913,253
2019/07/01,11:30,1907,257
2019/07/01,11:35,1913,256
2019/07/01,11:40,1915,257
2019/07/01,11:45,1915,252
2019/07/01,11:50,1907,251
2019/07/01,11:55,1904,257
2019/07/01,12:00,1870,258
2019/07/01,12:05,1819,265
2019/07/01,12:10,1814,269
2019/07/01,12:15,1795,276
2019/07/01,12:20,1775,276
2019/07/01,12:25,1773,275
2019/07/01,12:30,1762,283
2019/07/01,12:35,1762,287
2019/07/01,12:40,1756,282
2019/07/01,12:45,1778,294
