2020/02/17 09:32 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2380,14:00〜15:00,07月08日,08:22,21,83
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1975,14:00〜15:00,07月08日,08:22
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2380,14:00〜15:00,07月08日,08:22,21,83
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1975,14:00〜15:00,07月08日,08:22
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2019/07/08,00:00,1093,1084,80,1359
2019/07/08,01:00,1045,1044,78,1334
2019/07/08,02:00,1054,1042,79,1329
2019/07/08,03:00,1090,1074,81,1340
2019/07/08,04:00,1113,1092,82,1353
2019/07/08,05:00,1104,1104,79,1396
2019/07/08,06:00,1191,1193,78,1519
2019/07/08,07:00,1392,1372,81,1710
2019/07/08,08:00,1681,1641,85,1981
2019/07/08,09:00,1900,1844,85,2227
2019/07/08,10:00,1949,1910,85,2306
2019/07/08,11:00,1971,1955,84,2360
2019/07/08,12:00,1859,1855,83,2239
2019/07/08,13:00,1972,1961,83,2367
2019/07/08,14:00,1973,1975,83,2380
2019/07/08,15:00,1932,1936,83,2338
2019/07/08,16:00,1913,1923,82,2322
2019/07/08,17:00,1809,1816,83,2192
2019/07/08,18:00,1752,1770,82,2136
2019/07/08,19:00,1698,1728,81,2087
2019/07/08,20:00,1611,1656,81,2001
2019/07/08,21:00,1547,1587,81,1916
2019/07/08,22:00,1509,1520,82,1839
2019/07/08,23:00,1442,1455,82,1762
最大使用率(%),時間帯
85,10:00〜11:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2311,11:00〜12:00,07月08日,16:20,22,82
翌日電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1898,11:00〜12:00,07月08日,16:20
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2311,11:00〜12:00,07月08日,16:20,22,82
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1898,11:00〜12:00,07月08日,16:20
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2019/07/08,00:00,1131,0
2019/07/08,00:05,1121,0
2019/07/08,00:10,1118,0
2019/07/08,00:15,1106,0
2019/07/08,00:20,1097,0
2019/07/08,00:25,1094,0
2019/07/08,00:30,1083,0
2019/07/08,00:35,1085,0
2019/07/08,00:40,1074,0
2019/07/08,00:45,1084,0
2019/07/08,00:50,1071,0
2019/07/08,00:55,1066,0
2019/07/08,01:00,1078,0
2019/07/08,01:05,1061,0
2019/07/08,01:10,1042,0
2019/07/08,01:15,1049,0
2019/07/08,01:20,1049,0
2019/07/08,01:25,1027,0
2019/07/08,01:30,1028,0
2019/07/08,01:35,1039,0
2019/07/08,01:40,1047,0
2019/07/08,01:45,1047,0
2019/07/08,01:50,1048,0
2019/07/08,01:55,1048,0
2019/07/08,02:00,1051,0
2019/07/08,02:05,1064,0
2019/07/08,02:10,1053,0
2019/07/08,02:15,1051,0
2019/07/08,02:20,1047,0
2019/07/08,02:25,1038,0
2019/07/08,02:30,1053,0
2019/07/08,02:35,1046,0
2019/07/08,02:40,1060,0
2019/07/08,02:45,1052,0
2019/07/08,02:50,1054,0
2019/07/08,02:55,1072,0
2019/07/08,03:00,1075,0
2019/07/08,03:05,1084,0
2019/07/08,03:10,1096,0
2019/07/08,03:15,1096,0
2019/07/08,03:20,1094,0
2019/07/08,03:25,1086,0
2019/07/08,03:30,1092,0
2019/07/08,03:35,1102,0
2019/07/08,03:40,1090,0
2019/07/08,03:45,1079,0
2019/07/08,03:50,1091,0
2019/07/08,03:55,1096,0
2019/07/08,04:00,1104,0
2019/07/08,04:05,1112,0
2019/07/08,04:10,1104,0
2019/07/08,04:15,1113,0
2019/07/08,04:20,1102,0
2019/07/08,04:25,1112,0
2019/07/08,04:30,1109,0
2019/07/08,04:35,1130,0
