2020/02/17 09:26 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
1876,14:00〜15:00,05月25日,07:22,26,80
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1492,14:00〜15:00,05月25日,07:22
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1624,19:00〜20:00,05月25日,07:22,17,86
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1390,19:00〜20:00,05月25日,07:22
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2019/05/25,00:00,1244,1262,80,1551
2019/05/25,01:00,1183,1203,80,1479
2019/05/25,02:00,1181,1208,80,1485
2019/05/25,03:00,1205,1227,80,1506
2019/05/25,04:00,1198,1218,80,1495
2019/05/25,05:00,1144,1155,81,1419
2019/05/25,06:00,1143,1137,82,1398
2019/05/25,07:00,1168,1185,78,1501
2019/05/25,08:00,1255,1304,76,1647
2019/05/25,09:00,1340,1404,76,1766
2019/05/25,10:00,1393,1445,77,1817
2019/05/25,11:00,1418,1476,76,1856
2019/05/25,12:00,1393,1449,76,1840
2019/05/25,13:00,1428,1485,77,1866
2019/05/25,14:00,1426,1492,76,1876
2019/05/25,15:00,1420,1474,77,1853
2019/05/25,16:00,1416,1453,78,1826
2019/05/25,17:00,1377,1386,79,1742
2019/05/25,18:00,1366,1369,84,1634
2019/05/25,19:00,1366,1390,84,1624
2019/05/25,20:00,1313,1329,80,1638
2019/05/25,21:00,1244,1259,79,1584
2019/05/25,22:00,1174,1191,78,1497
2019/05/25,23:00,1127,1135,79,1427
最大使用率(%),時間帯
84,19:00〜20:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
1671,19:00〜20:00,05月25日,16:27,24,81
