2020/02/17 09:16 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2268,09:00〜10:00,04月02日,07:26,17,85
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1937,09:00〜10:00,04月02日,07:26
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2126,18:00〜19:00,04月02日,07:26,12,89
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1897,18:00〜19:00,04月02日,07:26
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2019/04/02,00:00,1506,1510,85,1771
2019/04/02,01:00,1485,1490,86,1722
2019/04/02,02:00,1500,1506,87,1733
2019/04/02,03:00,1510,1515,87,1744
2019/04/02,04:00,1501,1506,87,1733
2019/04/02,05:00,1527,1532,87,1764
2019/04/02,06:00,1638,1605,89,1848
2019/04/02,07:00,1711,1697,87,1965
2019/04/02,08:00,1861,1872,85,2177
2019/04/02,09:00,1917,1937,85,2268
2019/04/02,10:00,1891,1893,83,2285
2019/04/02,11:00,1881,1858,85,2217
2019/04/02,12:00,1720,1752,82,2091
2019/04/02,13:00,1847,1864,85,2168
2019/04/02,14:00,1852,1849,86,2151
2019/04/02,15:00,1819,1830,85,2129
2019/04/02,16:00,1832,1843,85,2144
2019/04/02,17:00,1828,1811,87,2106
2019/04/02,18:00,1893,1897,89,2126
2019/04/02,19:00,1869,1856,88,2123
2019/04/02,20:00,1817,1800,87,2093
2019/04/02,21:00,1784,1741,88,2025
2019/04/02,22:00,1694,1664,88,1935
2019/04/02,23:00,1644,1603,88,1870
最大使用率(%),時間帯
89,18:00〜19:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2219,09:00〜10:00,04月02日,17:24,15,87
翌日電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1935,09:00〜10:00,04月02日,17:24
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2093,18:00〜19:00,04月02日,17:24,10,91
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1907,18:00〜19:00,04月02日,17:24
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2019/04/02,00:00,1543,0
2019/04/02,00:05,1531,0
2019/04/02,00:10,1507,0
2019/04/02,00:15,1514,0
2019/04/02,00:20,1511,0
2019/04/02,00:25,1503,0
2019/04/02,00:30,1503,0
2019/04/02,00:35,1510,0
2019/04/02,00:40,1504,0
2019/04/02,00:45,1494,0
2019/04/02,00:50,1496,0
2019/04/02,00:55,1493,0
2019/04/02,01:00,1502,0
2019/04/02,01:05,1490,0
2019/04/02,01:10,1480,0
2019/04/02,01:15,1476,0
2019/04/02,01:20,1494,0
2019/04/02,01:25,1491,0
2019/04/02,01:30,1475,0
2019/04/02,01:35,1479,0
2019/04/02,01:40,1485,0
2019/04/02,01:45,1493,0
2019/04/02,01:50,1488,0
2019/04/02,01:55,1501,0
2019/04/02,02:00,1498,0
2019/04/02,02:05,1502,0
2019/04/02,02:10,1506,0
2019/04/02,02:15,1516,0
2019/04/02,02:20,1492,0
2019/04/02,02:25,1486,0
2019/04/02,02:30,1503,0
2019/04/02,02:35,1504,0
2019/04/02,02:40,1498,0
2019/04/02,02:45,1495,0
2019/04/02,02:50,1511,0
2019/04/02,02:55,1502,0
2019/04/02,03:00,1517,0
2019/04/02,03:05,1505,0
2019/04/02,03:10,1521,0
2019/04/02,03:15,1517,0
2019/04/02,03:20,1513,0
2019/04/02,03:25,1508,0
2019/04/02,03:30,1502,0
2019/04/02,03:35,1512,0
2019/04/02,03:40,1508,0
2019/04/02,03:45,1503,0
