2023/7/21 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5387,14:00〜15:00,7/21,23:50,20,83
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4473,14:00〜15:00,7/21,23:50
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4417,8:00〜9:00,7/21,23:50,15,86
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3839,8:00〜9:00,7/21,23:50
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/7/21,0:00,2854,2843,86,3289
2023/7/21,1:00,2675,2667,86,3088
2023/7/21,2:00,2586,2580,86,2995
2023/7/21,3:00,2570,2572,85,2995
2023/7/21,4:00,2578,2568,86,2986
2023/7/21,5:00,2628,2632,85,3061
2023/7/21,6:00,2855,2841,86,3308
2023/7/21,7:00,3236,3225,86,3733
2023/7/21,8:00,3733,3839,84,4417
2023/7/21,9:00,4112,4202,84,4869
2023/7/21,10:00,4274,4291,84,5037
2023/7/21,11:00,4391,4350,85,5158
2023/7/21,12:00,4352,4309,85,5120
2023/7/21,13:00,4521,4440,84,5325
2023/7/21,14:00,4547,4473,84,5387
2023/7/21,15:00,4524,4447,83,5392
2023/7/21,16:00,4486,4443,85,5230
2023/7/21,17:00,4243,4248,85,4962
2023/7/21,18:00,4038,4088,83,4851
2023/7/21,19:00,3877,3949,79,4879
2023/7/21,20:00,3645,3694,74,4893
2023/7/21,21:00,3413,3440,70,4809
2023/7/21,22:00,3248,3251,70,4627
2023/7/21,23:00,3056,3048,68,4488
最大使用率(%),時間帯
86,0:00〜1:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4807,14:00〜15:00,7/22,23:50,22,82
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3945,14:00〜15:00,7/22,23:50
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3338,0:00〜1:00,7/22,23:50,19,84
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2804,0:00〜1:00,7/22,23:50
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2023/7/21,0:00,2977,0,0
2023/7/21,0:05,2951,0,0
2023/7/21,0:10,2939,0,0
2023/7/21,0:15,2917,0,0
2023/7/21,0:20,2896,0,0
2023/7/21,0:25,2861,0,0
2023/7/21,0:30,2855,0,0
2023/7/21,0:35,2823,0,0
2023/7/21,0:40,2797,0,0
2023/7/21,0:45,2786,0,0
2023/7/21,0:50,2766,0,0
2023/7/21,0:55,2748,0,0
2023/7/21,1:00,2735,0,0
2023/7/21,1:05,2733,0,0
2023/7/21,1:10,2708,0,0
2023/7/21,1:15,2708,0,0
2023/7/21,1:20,2689,0,0
2023/7/21,1:25,2680,0,0
2023/7/21,1:30,2675,0,0
2023/7/21,1:35,2658,0,0
2023/7/21,1:40,2655,0,0
2023/7/21,1:45,2632,0,0
2023/7/21,1:50,2632,0,0
2023/7/21,1:55,2610,0,0
2023/7/21,2:00,2608,0,0
2023/7/21,2:05,2610,0,0
2023/7/21,2:10,2601,0,0
2023/7/21,2:15,2601,0,0
2023/7/21,2:20,2591,0,0
2023/7/21,2:25,2578,0,0
2023/7/21,2:30,2578,0,0
2023/7/21,2:35,2571,0,0
2023/7/21,2:40,2567,0,0
2023/7/21,2:45,2560,0,0
2023/7/21,2:50,2573,0,0
2023/7/21,2:55,2563,0,0
2023/7/21,3:00,2569,0,0
2023/7/21,3:05,2574,0,0
2023/7/21,3:10,2571,0,0
2023/7/21,3:15,2566,0,0
2023/7/21,3:20,2567,0,0
2023/7/21,3:25,2562,0,0
2023/7/21,3:30,2558,0,0
2023/7/21,3:35,2553,0,0
2023/7/21,3:40,2560,0,0
2023/7/21,3:45,2569,0,0
2023/7/21,3:50,2573,0,0
2023/7/21,3:55,2570,0,0
2023/7/21,4:00,2569,0,0
2023/7/21,4:05,2570,0,0
2023/7/21,4:10,2572,0,0
2023/7/21,4:15,2576,0,0
2023/7/21,4:20,2568,0,0
2023/7/21,4:25,2557,0,0
2023/7/21,4:30,2569,0,0
2023/7/21,4:35,2578,0,0
2023/7/21,4:40,2576,0,0
2023/7/21,4:45,2583,0,0
2023/7/21,4:50,2579,0,0
2023/7/21,4:55,2572,0,0
2023/7/21,5:00,2573,0,0
2023/7/21,5:05,2581,1,0
2023/7/21,5:10,2593,8,0
2023/7/21,5:15,2589,15,0
