2023/1/25 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5722,17:00〜18:00,1/25,23:50,14,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
5028,17:00〜18:00,1/25,23:50

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
5652,17:00〜18:00,1/25,23:50,12,88

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
5028,17:00〜18:00,1/25,23:50

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/1/25,0:00,3665,3576,88,4139
2023/1/25,1:00,3504,3433,87,4008
2023/1/25,2:00,3419,3379,86,3947
2023/1/25,3:00,3371,3356,85,3948
2023/1/25,4:00,3419,3394,85,3991
2023/1/25,5:00,3660,3632,88,4130
2023/1/25,6:00,4207,4226,87,4801
2023/1/25,7:00,4649,4659,87,5324
2023/1/25,8:00,4996,4897,88,5636
2023/1/25,9:00,5137,4925,89,5722
2023/1/25,10:00,5055,4830,89,5663
2023/1/25,11:00,4955,4731,89,5566
2023/1/25,12:00,4744,4605,87,5432
2023/1/25,13:00,4749,4668,85,5534
2023/1/25,14:00,4648,4601,83,5559
2023/1/25,15:00,4642,4632,81,5678
2023/1/25,16:00,4865,4784,85,5687
2023/1/25,17:00,5103,5028,90,5640
2023/1/25,18:00,5135,5028,90,5652
2023/1/25,19:00,5050,4982,88,5733
2023/1/25,20:00,4920,4910,86,5690
2023/1/25,21:00,4690,4683,84,5578
2023/1/25,22:00,4387,4353,80,5428
2023/1/25,23:00,4071,4061,76,5309

最大使用率(%),時間帯
90,18:00〜19:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5810,8:00〜9:00,1/26,23:50,17,85

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4959,8:00〜9:00,1/26,23:50

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4294,0:00〜1:00,1/26,23:50,16,86

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3716,0:00〜1:00,1/26,23:50

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2023/1/25,0:00,3825,0,0
2023/1/25,0:05,3787,0,0
2023/1/25,0:10,3763,0,0
2023/1/25,0:15,3745,0,0
2023/1/25,0:20,3711,0,0
2023/1/25,0:25,3689,0,0
2023/1/25,0:30,3672,0,0
2023/1/25,0:35,3638,0,0
2023/1/25,0:40,3617,0,0
2023/1/25,0:45,3585,0,0
2023/1/25,0:50,3563,0,0
2023/1/25,0:55,3553,0,0
2023/1/25,1:00,3545,0,0
2023/1/25,1:05,3552,0,0
2023/1/25,1:10,3554,0,0
2023/1/25,1:15,3547,0,0
2023/1/25,1:20,3519,0,0
2023/1/25,1:25,3508,0,0
2023/1/25,1:30,3501,0,0
2023/1/25,1:35,3498,0,0
2023/1/25,1:40,3488,0,0
2023/1/25,1:45,3481,0,0
2023/1/25,1:50,3475,0,0
2023/1/25,1:55,3466,0,0
2023/1/25,2:00,3464,0,0
2023/1/25,2:05,3458,0,0
2023/1/25,2:10,3451,0,0
2023/1/25,2:15,3448,0,0
2023/1/25,2:20,3432,0,0
2023/1/25,2:25,3419,0,0
2023/1/25,2:30,3414,0,0
2023/1/25,2:35,3400,0,0
2023/1/25,2:40,3406,0,0
2023/1/25,2:45,3398,0,0
2023/1/25,2:50,3406,0,0
2023/1/25,2:55,3408,0,0
2023/1/25,3:00,3391,0,0
2023/1/25,3:05,3391,0,0
2023/1/25,3:10,3389,0,0
2023/1/25,3:15,3380,0,0
2023/1/25,3:20,3367,0,0
2023/1/25,3:25,3357,0,0
2023/1/25,3:30,3354,0,0
2023/1/25,3:35,3364,0,0
2023/1/25,3:40,3351,0,0
2023/1/25,3:45,3372,0,0
2023/1/25,3:50,3372,0,0
2023/1/25,3:55,3362,0,0
2023/1/25,4:00,3374,0,0
2023/1/25,4:05,3391,0,0
2023/1/25,4:10,3397,0,0
2023/1/25,4:15,3408,0,0
2023/1/25,4:20,3402,0,0
2023/1/25,4:25,3406,0,0
2023/1/25,4:30,3416,0,0
2023/1/25,4:35,3423,0,0
2023/1/25,4:40,3435,0,0
2023/1/25,4:45,3438,0,0
2023/1/25,4:50,3449,0,0
2023/1/25,4:55,3476,0,0
2023/1/25,5:00,3475,0,0
2023/1/25,5:05,3518,0,0
2023/1/25,5:10,3553,0,0
2023/1/25,5:15,3566,0,0
2023/1/25,5:20,3584,0,0
2023/1/25,5:25,3616,0,0
2023/1/25,5:30,3661,0,0
2023/1/25,5:35,3679,0,0
2023/1/25,5:40,3711,0,0
2023/1/25,5:45,3750,0,0
2023/1/25,5:50,3779,0,0
2023/1/25,5:55,3806,0,0
2023/1/25,6:00,3886,0,0
2023/1/25,6:05,3945,0,0
2023/1/25,6:10,4023,0,0
2023/1/25,6:15,4073,0,0
2023/1/25,6:20,4106,0,0
2023/1/25,6:25,4146,0,0
2023/1/25,6:30,4193,0,0
2023/1/25,6:35,4271,0,0
2023/1/25,6:40,4331,0,0
2023/1/25,6:45,4358,0,0
2023/1/25,6:50,4412,0,0
2023/1/25,6:55,4440,0,0
2023/1/25,7:00,4458,1,0
2023/1/25,7:05,4502,3,0
2023/1/25,7:10,4532,5,0
2023/1/25,7:15,4560,11,0
2023/1/25,7:20,4599,27,0
2023/1/25,7:25,4651,44,0
2023/1/25,7:30,4643,62,1
2023/1/25,7:35,4691,80,1
2023/1/25,7:40,4702,98,2
2023/1/25,7:45,4735,116,2
2023/1/25,7:50,4759,134,2
2023/1/25,7:55,4774,150,3
2023/1/25,8:00,4821,169,3
2023/1/25,8:05,4857,192,3
2023/1/25,8:10,4901,215,4
2023/1/25,8:15,4939,239,4
2023/1/25,8:20,4954,264,5
2023/1/25,8:25,4973,285,5
2023/1/25,8:30,4998,309,6
2023/1/25,8:35,5036,331,6
2023/1/25,8:40,5052,358,7
2023/1/25,8:45,5088,378,7
2023/1/25,8:50,5103,407,7
2023/1/25,8:55,5114,426,8
2023/1/25,9:00,5119,454,8
2023/1/25,9:05,5131,470,9
2023/1/25,9:10,5141,502,9
2023/1/25,9:15,5128,530,10
2023/1/25,9:20,5130,560,10
2023/1/25,9:25,5142,594,11
2023/1/25,9:30,5145,617,11
2023/1/25,9:35,5145,634,12
2023/1/25,9:40,5146,657,12
2023/1/25,9:45,5151,681,13
2023/1/25,9:50,5146,704,13
2023/1/25,9:55,5127,728,14
2023/1/25,10:00,5112,747,14
2023/1/25,10:05,5094,759,14
2023/1/25,10:10,5093,773,15
2023/1/25,10:15,5086,788,15
2023/1/25,10:20,5046,804,15
2023/1/25,10:25,5027,808,16
2023/1/25,10:30,5027,831,16
2023/1/25,10:35,5038,856,16
2023/1/25,10:40,5038,868,17
2023/1/25,10:45,5034,885,17
2023/1/25,10:50,5031,903,17
2023/1/25,10:55,5022,913,18
2023/1/25,11:00,5013,921,18
2023/1/25,11:05,5014,920,18
2023/1/25,11:10,4997,917,18
2023/1/25,11:15,4969,923,18
2023/1/25,11:20,4975,938,18
2023/1/25,11:25,4964,944,19
2023/1/25,11:30,4940,950,19
2023/1/25,11:35,4952,962,19
2023/1/25,11:40,4939,961,19
2023/1/25,11:45,4928,963,19
2023/1/25,11:50,4916,974,19
2023/1/25,11:55,4887,972,19
2023/1/25,12:00,4859,974,20
2023/1/25,12:05,4828,971,20
2023/1/25,12:10,4815,979,20
2023/1/25,12:15,4791,978,20
2023/1/25,12:20,4779,1005,21
2023/1/25,12:25,4763,998,20
2023/1/25,12:30,4730,986,20
2023/1/25,12:35,4715,988,20
2023/1/25,12:40,4703,980,20
2023/1/25,12:45,4696,975,20
2023/1/25,12:50,4699,967,20
2023/1/25,12:55,4694,951,20
2023/1/25,13:00,4710,941,19
2023/1/25,13:05,4774,932,19
2023/1/25,13:10,4783,919,19
2023/1/25,13:15,4783,915,19
2023/1/25,13:20,4780,915,19
2023/1/25,13:25,4764,896,18
2023/1/25,13:30,4759,887,18
2023/1/25,13:35,4749,879,18
2023/1/25,13:40,4746,859,18
2023/1/25,13:45,4733,842,17
2023/1/25,13:50,4721,825,17
2023/1/25,13:55,4724,807,17
2023/1/25,14:00,4724,783,16
2023/1/25,14:05,4701,755,16
2023/1/25,14:10,4703,736,15
2023/1/25,14:15,4679,710,15
2023/1/25,14:20,4679,686,14
2023/1/25,14:25,4658,657,14
2023/1/25,14:30,4637,628,13
2023/1/25,14:35,4636,603,13
2023/1/25,14:40,4599,582,12
2023/1/25,14:45,4602,562,12
2023/1/25,14:50,4604,544,11
2023/1/25,14:55,4611,525,11
2023/1/25,15:00,4635,503,10
2023/1/25,15:05,4585,480,10
2023/1/25,15:10,4582,450,9
2023/1/25,15:15,4602,426,9
2023/1/25,15:20,4621,396,8
2023/1/25,15:25,4621,368,7
2023/1/25,15:30,4629,340,7
2023/1/25,15:35,4649,315,6
2023/1/25,15:40,4658,290,6
2023/1/25,15:45,4668,264,5
2023/1/25,15:50,4696,240,5
2023/1/25,15:55,4718,217,4
2023/1/25,16:00,4740,193,4
2023/1/25,16:05,4768,171,3
2023/1/25,16:10,4779,147,3
2023/1/25,16:15,4798,128,2
2023/1/25,16:20,4827,106,2
2023/1/25,16:25,4856,89,1
2023/1/25,16:30,4858,72,1
2023/1/25,16:35,4882,55,1
2023/1/25,16:40,4890,38,0
2023/1/25,16:45,4918,14,0
2023/1/25,16:50,4929,4,0
2023/1/25,16:55,4976,1,0
2023/1/25,17:00,4990,0,0
2023/1/25,17:05,5014,0,0
2023/1/25,17:10,5036,0,0
2023/1/25,17:15,5078,0,0
2023/1/25,17:20,5094,0,0
2023/1/25,17:25,5098,0,0
2023/1/25,17:30,5105,0,0
2023/1/25,17:35,5118,0,0
2023/1/25,17:40,5123,0,0
2023/1/25,17:45,5133,0,0
2023/1/25,17:50,5149,0,0
2023/1/25,17:55,5158,0,0
2023/1/25,18:00,5161,0,0
2023/1/25,18:05,5149,0,0
2023/1/25,18:10,5129,0,0
2023/1/25,18:15,5147,0,0
2023/1/25,18:20,5137,0,0
2023/1/25,18:25,5149,0,0
2023/1/25,18:30,5131,0,0
2023/1/25,18:35,5137,0,0
2023/1/25,18:40,5129,0,0
2023/1/25,18:45,5128,0,0
2023/1/25,18:50,5114,0,0
2023/1/25,18:55,5115,0,0
2023/1/25,19:00,5098,0,0
2023/1/25,19:05,5099,0,0
2023/1/25,19:10,5078,0,0
2023/1/25,19:15,5081,0,0
2023/1/25,19:20,5073,0,0
2023/1/25,19:25,5059,0,0
2023/1/25,19:30,5041,0,0
2023/1/25,19:35,5035,0,0
2023/1/25,19:40,5026,0,0
2023/1/25,19:45,5006,0,0
2023/1/25,19:50,5005,0,0
2023/1/25,19:55,5007,0,0
2023/1/25,20:00,5000,0,0
2023/1/25,20:05,4983,0,0
2023/1/25,20:10,4974,0,0
2023/1/25,20:15,4945,0,0
2023/1/25,20:20,4943,0,0
2023/1/25,20:25,4927,0,0
2023/1/25,20:30,4925,0,0
2023/1/25,20:35,4911,0,0
2023/1/25,20:40,4900,0,0
2023/1/25,20:45,4884,0,0
2023/1/25,20:50,4879,0,0
2023/1/25,20:55,4849,0,0
2023/1/25,21:00,4833,0,0
2023/1/25,21:05,4808,0,0
2023/1/25,21:10,4774,0,0
2023/1/25,21:15,4773,0,0
2023/1/25,21:20,4735,0,0
2023/1/25,21:25,4724,0,0
2023/1/25,21:30,4699,0,0
2023/1/25,21:35,4679,0,0
2023/1/25,21:40,4652,0,0
2023/1/25,21:45,4611,0,0
2023/1/25,21:50,4578,0,0
2023/1/25,21:55,4557,0,0
2023/1/25,22:00,4527,0,0
2023/1/25,22:05,4523,0,0
2023/1/25,22:10,4509,0,0
2023/1/25,22:15,4485,0,0
2023/1/25,22:20,4441,0,0
2023/1/25,22:25,4413,0,0
2023/1/25,22:30,4404,0,0
2023/1/25,22:35,4378,0,0
2023/1/25,22:40,4340,0,0
2023/1/25,22:45,4300,0,0
2023/1/25,22:50,4267,0,0
2023/1/25,22:55,4225,0,0
2023/1/25,23:00,4186,0,0
2023/1/25,23:05,4189,0,0
2023/1/25,23:10,4209,0,0
2023/1/25,23:15,4173,0,0
2023/1/25,23:20,4138,0,0
2023/1/25,23:25,4105,0,0
2023/1/25,23:30,4074,0,0
2023/1/25,23:35,4057,0,0
2023/1/25,23:40,3999,0,0
2023/1/25,23:45,3973,0,0
2023/1/25,23:50,3954,0,0
2023/1/25,23:55,3926,0,0
