2023/10/23 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3864,11:00〜12:00,10/23,23:40,20,83
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3231,11:00〜12:00,10/23,23:40
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3607,16:00〜17:00,10/23,23:40,14,88
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3175,16:00〜17:00,10/23,23:40
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/10/23,0:00,2134,2125,85,2494
2023/10/23,1:00,2039,2037,82,2477
2023/10/23,2:00,2053,2043,83,2460
2023/10/23,3:00,2111,2106,86,2442
2023/10/23,4:00,2178,2177,87,2477
2023/10/23,5:00,2270,2275,87,2597
2023/10/23,6:00,2380,2423,85,2776
2023/10/23,7:00,2549,2558,86,2952
2023/10/23,8:00,2845,2842,86,3308
2023/10/23,9:00,3088,3058,86,3571
2023/10/23,10:00,3168,3155,85,3721
2023/10/23,11:00,3201,3231,82,3864
2023/10/23,12:00,3117,3142,81,3844
2023/10/23,13:00,3169,3220,79,3996
2023/10/23,14:00,3197,3210,79,4006
2023/10/23,15:00,3155,3157,82,3846
2023/10/23,16:00,3170,3175,87,3607
2023/10/23,17:00,3187,3184,85,3717
2023/10/23,18:00,3126,3124,83,3746
2023/10/23,19:00,3008,3002,80,3727
2023/10/23,20:00,2879,2873,77,3714
2023/10/23,21:00,2728,2724,73,3693
2023/10/23,22:00,2613,2602,72,3611
2023/10/23,23:00,2474,2467,74,3310
最大使用率(%),時間帯
87,4:00〜5:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4158,13:00〜14:00,10/24,23:40,26,79
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3294,13:00〜14:00,10/24,23:40
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3568,17:00〜18:00,10/24,23:40,10,91
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3250,17:00〜18:00,10/24,23:40
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2023/10/23,0:00,2185,0,0
2023/10/23,0:05,2193,0,0
2023/10/23,0:10,2189,0,0
2023/10/23,0:15,2173,0,0
2023/10/23,0:20,2161,0,0
2023/10/23,0:25,2123,0,0
2023/10/23,0:30,2128,0,0
2023/10/23,0:35,2123,0,0
2023/10/23,0:40,2123,0,0
2023/10/23,0:45,2092,0,0
2023/10/23,0:50,2064,0,0
2023/10/23,0:55,2058,0,0
2023/10/23,1:00,2046,0,0
2023/10/23,1:05,2051,0,0
2023/10/23,1:10,2058,0,0
2023/10/23,1:15,2039,0,0
2023/10/23,1:20,2037,0,0
2023/10/23,1:25,2038,0,0
2023/10/23,1:30,2024,0,0
2023/10/23,1:35,2037,0,0
2023/10/23,1:40,2018,0,0
2023/10/23,1:45,2025,0,0
2023/10/23,1:50,2031,0,0
2023/10/23,1:55,2031,0,0
2023/10/23,2:00,2029,0,0
2023/10/23,2:05,2031,0,0
2023/10/23,2:10,2024,0,0
2023/10/23,2:15,2028,0,0
2023/10/23,2:20,2043,0,0
2023/10/23,2:25,2056,0,0
2023/10/23,2:30,2052,0,0
2023/10/23,2:35,2050,0,0
2023/10/23,2:40,2064,0,0
2023/10/23,2:45,2065,0,0
2023/10/23,2:50,2065,0,0
2023/10/23,2:55,2067,0,0
2023/10/23,3:00,2070,0,0
2023/10/23,3:05,2077,0,0
2023/10/23,3:10,2087,0,0
2023/10/23,3:15,2077,0,0
2023/10/23,3:20,2102,0,0
2023/10/23,3:25,2110,0,0
2023/10/23,3:30,2110,0,0
2023/10/23,3:35,2113,0,0
2023/10/23,3:40,2119,0,0
2023/10/23,3:45,2112,0,0
2023/10/23,3:50,2136,0,0
2023/10/23,3:55,2124,0,0
2023/10/23,4:00,2143,0,0
2023/10/23,4:05,2156,0,0
2023/10/23,4:10,2155,0,0
2023/10/23,4:15,2165,0,0
2023/10/23,4:20,2172,0,0
2023/10/23,4:25,2169,0,0
2023/10/23,4:30,2160,0,0
2023/10/23,4:35,2166,0,0
2023/10/23,4:40,2183,0,0
2023/10/23,4:45,2177,0,0
2023/10/23,4:50,2197,0,0
2023/10/23,4:55,2191,0,0
2023/10/23,5:00,2208,0,0
2023/10/23,5:05,2230,0,0
2023/10/23,5:10,2244,0,0
2023/10/23,5:15,2247,0,0
