2023/8/6 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5187,12:00〜13:00,8/6,23:50,23,81

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4206,12:00〜13:00,8/6,23:50

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3090,4:00〜5:00,8/6,23:50,18,84

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2623,4:00〜5:00,8/6,23:50

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/8/6,0:00,3016,2977,85,3544
2023/8/6,1:00,2815,2776,85,3282
2023/8/6,2:00,2707,2675,85,3159
2023/8/6,3:00,2665,2640,85,3116
2023/8/6,4:00,2642,2623,85,3090
2023/8/6,5:00,2648,2639,85,3110
2023/8/6,6:00,2778,2767,82,3384
2023/8/6,7:00,3079,3047,81,3755
2023/8/6,8:00,3467,3511,82,4191
2023/8/6,9:00,3868,3884,83,4641
2023/8/6,10:00,4043,4067,82,4916
2023/8/6,11:00,4156,4203,81,5112
2023/8/6,12:00,4189,4206,80,5187
2023/8/6,13:00,4134,4178,79,5227
2023/8/6,14:00,4104,4090,78,5229
2023/8/6,15:00,4018,4006,76,5227
2023/8/6,16:00,3952,3959,76,5141
2023/8/6,17:00,3908,3896,77,5017
2023/8/6,18:00,3898,3921,79,4921
2023/8/6,19:00,3861,3778,78,4905
2023/8/6,20:00,3710,3629,76,4878
2023/8/6,21:00,3519,3474,72,4830
2023/8/6,22:00,3309,3296,70,4695
2023/8/6,23:00,3105,3097,67,4576

最大使用率(%),時間帯
85,1:00〜2:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
6048,13:00〜14:00,8/8,0:00,19,83

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
5076,13:00〜14:00,8/8,0:00

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3969,7:00〜8:00,8/8,0:00,12,89

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3555,7:00〜8:00,8/8,0:00

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2023/8/6,0:00,3138,0,0
2023/8/6,0:05,3115,0,0
2023/8/6,0:10,3097,0,0
2023/8/6,0:15,3073,0,0
2023/8/6,0:20,3065,0,0
2023/8/6,0:25,3041,0,0
2023/8/6,0:30,3015,0,0
2023/8/6,0:35,3003,0,0
2023/8/6,0:40,2953,0,0
2023/8/6,0:45,2944,0,0
2023/8/6,0:50,2910,0,0
2023/8/6,0:55,2896,0,0
2023/8/6,1:00,2900,0,0
2023/8/6,1:05,2883,0,0
2023/8/6,1:10,2860,0,0
2023/8/6,1:15,2848,0,0
2023/8/6,1:20,2842,0,0
2023/8/6,1:25,2826,0,0
2023/8/6,1:30,2799,0,0
2023/8/6,1:35,2785,0,0
2023/8/6,1:40,2777,0,0
2023/8/6,1:45,2777,0,0
2023/8/6,1:50,2763,0,0
2023/8/6,1:55,2741,0,0
2023/8/6,2:00,2730,0,0
2023/8/6,2:05,2733,0,0
2023/8/6,2:10,2702,0,0
2023/8/6,2:15,2707,0,0
2023/8/6,2:20,2707,0,0
2023/8/6,2:25,2714,0,0
2023/8/6,2:30,2704,0,0
2023/8/6,2:35,2687,0,0
2023/8/6,2:40,2708,0,0
2023/8/6,2:45,2697,0,0
2023/8/6,2:50,2691,0,0
2023/8/6,2:55,2678,0,0
2023/8/6,3:00,2679,0,0
2023/8/6,3:05,2675,0,0
2023/8/6,3:10,2678,0,0
2023/8/6,3:15,2669,0,0
2023/8/6,3:20,2663,0,0
2023/8/6,3:25,2666,0,0
2023/8/6,3:30,2669,0,0
2023/8/6,3:35,2644,0,0
2023/8/6,3:40,2656,0,0
2023/8/6,3:45,2653,0,0
2023/8/6,3:50,2648,0,0
2023/8/6,3:55,2649,0,0
2023/8/6,4:00,2648,0,0
2023/8/6,4:05,2642,0,0
2023/8/6,4:10,2648,0,0
2023/8/6,4:15,2642,0,0
2023/8/6,4:20,2655,0,0
2023/8/6,4:25,2633,0,0
2023/8/6,4:30,2643,0,0
2023/8/6,4:35,2636,0,0
2023/8/6,4:40,2634,0,0
2023/8/6,4:45,2636,0,0
2023/8/6,4:50,2643,0,0
2023/8/6,4:55,2619,0,0
2023/8/6,5:00,2620,0,0
2023/8/6,5:05,2633,0,0
2023/8/6,5:10,2628,0,0
2023/8/6,5:15,2628,3,0
2023/8/6,5:20,2647,10,0
2023/8/6,5:25,2633,14,0
2023/8/6,5:30,2653,24,0
2023/8/6,5:35,2645,40,1
2023/8/6,5:40,2646,51,1
2023/8/6,5:45,2642,61,2
2023/8/6,5:50,2644,73,2
2023/8/6,5:55,2655,86,3
