2025/6/28 0:01 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1444,16:00〜17:00,6/27,22:42,10,91
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1309,16:00〜17:00,6/27,22:42
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1304,19:00〜20:00,6/27,22:42,8,93
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1212,19:00〜20:00,6/27,22:42
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2025/6/27,0:00,867,869,90,12,968
2025/6/27,1:00,823,826,89,12,921
2025/6/27,2:00,820,824,90,11,909
2025/6/27,3:00,847,849,91,10,935
2025/6/27,4:00,882,882,91,10,970
2025/6/27,5:00,905,908,93,8,978
2025/6/27,6:00,914,903,93,7,980
2025/6/27,7:00,961,923,88,13,1088
2025/6/27,8:00,1069,1025,90,12,1194
2025/6/27,9:00,1173,1140,90,11,1301
2025/6/27,10:00,1231,1202,91,10,1356
2025/6/27,11:00,1267,1246,91,10,1388
2025/6/27,12:00,1239,1237,88,13,1402
2025/6/27,13:00,1272,1271,90,11,1412
2025/6/27,14:00,1294,1295,91,10,1430
2025/6/27,15:00,1322,1297,91,9,1446
2025/6/27,16:00,1354,1309,94,7,1444
2025/6/27,17:00,1337,1283,95,5,1407
2025/6/27,18:00,1286,1246,95,6,1361
2025/6/27,19:00,1211,1212,93,8,1304
2025/6/27,20:00,1154,1151,92,9,1253
2025/6/27,21:00,1082,1086,90,11,1205
2025/6/27,22:00,1026,1030,88,13,1162
2025/6/27,23:00,980,963,87,14,1121
最大使用率(%),時間帯
95,18:00〜19:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1547,13:00〜14:00,,,28,78
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1208,13:00〜14:00,,
