2025/3/29 0:08 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1176,18:00〜19:00,3/28,22:48,15,87
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1019,18:00〜19:00,3/28,22:48
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1131,9:00〜10:00,3/28,22:48,11,90
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1017,9:00〜10:00,3/28,22:48
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2025/3/28,0:00,747,744,73,37,1026
2025/3/28,1:00,727,729,75,34,974
2025/3/28,2:00,759,763,77,30,988
2025/3/28,3:00,812,815,80,25,1016
2025/3/28,4:00,836,843,82,22,1022
2025/3/28,5:00,840,862,85,18,994
2025/3/28,6:00,817,843,82,22,993
2025/3/28,7:00,830,876,79,27,1055
2025/3/28,8:00,901,964,83,21,1091
2025/3/28,9:00,958,1017,85,18,1131
2025/3/28,10:00,945,1011,84,19,1127
2025/3/28,11:00,936,994,85,17,1098
2025/3/28,12:00,925,942,87,14,1058
2025/3/28,13:00,953,950,88,14,1084
2025/3/28,14:00,940,957,86,17,1098
2025/3/28,15:00,912,954,77,30,1188
2025/3/28,16:00,928,974,77,29,1201
2025/3/28,17:00,924,1000,80,25,1153
2025/3/28,18:00,952,1019,81,24,1176
2025/3/28,19:00,955,1009,81,23,1176
2025/3/28,20:00,926,982,80,25,1160
2025/3/28,21:00,896,951,77,29,1159
2025/3/28,22:00,869,922,74,34,1168
2025/3/28,23:00,846,895,72,39,1173
最大使用率(%),時間帯
88,13:00〜14:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1075,19:00〜20:00,3/28,17:04,8,93
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1000,19:00〜20:00,3/28,17:04
