2023/03/24 00:00 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
1945,09:00〜10:00,03月22日,23:15,21,82
需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1611,09:00〜10:00,03月22日,23:15
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1413,00:00〜01:00,03月22日,23:15,14,87
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1236,00:00〜01:00,03月22日,23:15
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/03/22,00:00,1226,1236,86,1413
2023/03/22,01:00,1195,1201,86,1379
2023/03/22,02:00,1209,1215,86,1400
2023/03/22,03:00,1247,1224,87,1417
2023/03/22,04:00,1243,1240,86,1444
2023/03/22,05:00,1251,1256,85,1469
2023/03/22,06:00,1285,1289,84,1516
2023/03/22,07:00,1379,1359,85,1615
2023/03/22,08:00,1549,1517,85,1817
2023/03/22,09:00,1649,1611,84,1945
2023/03/22,10:00,1645,1609,84,1944
2023/03/22,11:00,1625,1591,83,1946
2023/03/22,12:00,1517,1499,79,1900
2023/03/22,13:00,1582,1569,82,1907
2023/03/22,14:00,1576,1570,82,1914
2023/03/22,15:00,1541,1536,81,1893
2023/03/22,16:00,1521,1509,81,1870
2023/03/22,17:00,1470,1518,80,1830
2023/03/22,18:00,1501,1493,82,1821
2023/03/22,19:00,1446,1458,80,1806
2023/03/22,20:00,1409,1415,78,1790
2023/03/22,21:00,1366,1373,79,1725
2023/03/22,22:00,1317,1311,78,1684
2023/03/22,23:00,1281,1266,77,1657
最大使用率(%),時間帯
87,03:00〜04:00
翌日需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
1883,09:00〜10:00,03月22日,16:45,11,90
翌日需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1697,09:00〜10:00,03月22日,16:45
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1766,08:00〜09:00,03月22日,16:45,11,90
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1592,08:00〜09:00,03月22日,16:45
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2023/03/22,00:00,1256,0
2023/03/22,00:05,1248,0
2023/03/22,00:10,1252,0
2023/03/22,00:15,1238,0
2023/03/22,00:20,1238,0
2023/03/22,00:25,1226,0
2023/03/22,00:30,1217,0
2023/03/22,00:35,1201,0
2023/03/22,00:40,1191,0
2023/03/22,00:45,1199,0
2023/03/22,00:50,1196,0
2023/03/22,00:55,1192,0
2023/03/22,01:00,1183,0
2023/03/22,01:05,1182,0
2023/03/22,01:10,1186,0
2023/03/22,01:15,1194,0
2023/03/22,01:20,1189,0
2023/03/22,01:25,1189,0
2023/03/22,01:30,1169,0
2023/03/22,01:35,1181,0
2023/03/22,01:40,1172,0
2023/03/22,01:45,1190,0
2023/03/22,01:50,1186,0
2023/03/22,01:55,1186,0
2023/03/22,02:00,1201,0
2023/03/22,02:05,1205,0
2023/03/22,02:10,1202,0
