2023/07/13 00:00 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2687,13:00〜14:00,07月11日,23:15,17,85
需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2302,13:00〜14:00,07月11日,23:15
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1588,00:00〜01:00,07月11日,23:15,13,88
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1411,00:00〜01:00,07月11日,23:15
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/07/11,00:00,1405,1411,88,1588
2023/07/11,01:00,1329,1333,87,1520
2023/07/11,02:00,1303,1306,86,1513
2023/07/11,03:00,1309,1311,86,1515
2023/07/11,04:00,1313,1312,86,1516
2023/07/11,05:00,1318,1321,85,1536
2023/07/11,06:00,1404,1409,84,1653
2023/07/11,07:00,1577,1611,83,1879
2023/07/11,08:00,1897,1918,85,2206
2023/07/11,09:00,2135,2162,86,2474
2023/07/11,10:00,2206,2247,85,2570
2023/07/11,11:00,2253,2284,86,2605
2023/07/11,12:00,2178,2217,84,2581
2023/07/11,13:00,2291,2302,85,2687
2023/07/11,14:00,2327,2296,86,2698
2023/07/11,15:00,2287,2241,86,2651
2023/07/11,16:00,2257,2195,86,2613
2023/07/11,17:00,2128,2083,85,2500
2023/07/11,18:00,2037,2011,86,2356
2023/07/11,19:00,1951,1955,85,2275
2023/07/11,20:00,1860,1854,83,2235
2023/07/11,21:00,1766,1753,79,2218
2023/07/11,22:00,1680,1656,78,2143
2023/07/11,23:00,1595,1567,74,2134
最大使用率(%),時間帯
88,00:00〜01:00
翌日需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2622,14:00〜15:00,07月11日,17:15,13,88
翌日需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2315,14:00〜15:00,07月11日,17:15
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2622,13:00〜14:00,07月11日,17:15,13,88
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2315,13:00〜14:00,07月11日,17:15
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2023/07/11,00:00,1477,0
2023/07/11,00:05,1453,0
2023/07/11,00:10,1433,0
2023/07/11,00:15,1424,0
2023/07/11,00:20,1413,0
2023/07/11,00:25,1402,0
2023/07/11,00:30,1382,0
2023/07/11,00:35,1375,0
2023/07/11,00:40,1367,0
2023/07/11,00:45,1375,0
2023/07/11,00:50,1384,0
2023/07/11,00:55,1377,0
2023/07/11,01:00,1363,0
2023/07/11,01:05,1358,0
2023/07/11,01:10,1359,0
2023/07/11,01:15,1344,0
2023/07/11,01:20,1329,0
2023/07/11,01:25,1317,0
2023/07/11,01:30,1319,0
2023/07/11,01:35,1313,0
2023/07/11,01:40,1311,0
2023/07/11,01:45,1299,0
2023/07/11,01:50,1302,0
2023/07/11,01:55,1315,0
2023/07/11,02:00,1313,0
2023/07/11,02:05,1316,0
2023/07/11,02:10,1307,0
2023/07/11,02:15,1316,0
2023/07/11,02:20,1305,0
2023/07/11,02:25,1289,0
2023/07/11,02:30,1279,0
2023/07/11,02:35,1295,0
2023/07/11,02:40,1301,0
2023/07/11,02:45,1297,0
2023/07/11,02:50,1304,0
2023/07/11,02:55,1307,0
2023/07/11,03:00,1302,0
2023/07/11,03:05,1305,0
2023/07/11,03:10,1301,0
2023/07/11,03:15,1298,0
2023/07/11,03:20,1312,0
2023/07/11,03:25,1310,0
2023/07/11,03:30,1305,0
2023/07/11,03:35,1315,0
2023/07/11,03:40,1296,0
2023/07/11,03:45,1316,0
2023/07/11,03:50,1325,0
2023/07/11,03:55,1319,0
2023/07/11,04:00,1304,0
2023/07/11,04:05,1310,0
2023/07/11,04:10,1308,0
2023/07/11,04:15,1306,0
2023/07/11,04:20,1317,0
2023/07/11,04:25,1313,0
2023/07/11,04:30,1299,0
2023/07/11,04:35,1301,0
2023/07/11,04:40,1325,0
2023/07/11,04:45,1326,0
2023/07/11,04:50,1316,0
2023/07/11,04:55,1318,0
2023/07/11,05:00,1316,0
2023/07/11,05:05,1314,0
2023/07/11,05:10,1312,0
2023/07/11,05:15,1307,1
2023/07/11,05:20,1316,2
2023/07/11,05:25,1318,6
2023/07/11,05:30,1304,12
2023/07/11,05:35,1312,19
2023/07/11,05:40,1315,27
2023/07/11,05:45,1312,36
2023/07/11,05:50,1303,45
2023/07/11,05:55,1314,55
2023/07/11,06:00,1312,66
2023/07/11,06:05,1333,77
2023/07/11,06:10,1356,87
2023/07/11,06:15,1367,102
2023/07/11,06:20,1360,118
2023/07/11,06:25,1379,136
2023/07/11,06:30,1371,154
2023/07/11,06:35,1392,169
2023/07/11,06:40,1414,188
2023/07/11,06:45,1423,204
2023/07/11,06:50,1433,221
2023/07/11,06:55,1448,239
2023/07/11,07:00,1464,253
2023/07/11,07:05,1471,266
2023/07/11,07:10,1494,280
2023/07/11,07:15,1518,296
2023/07/11,07:20,1547,315
2023/07/11,07:25,1531,325
2023/07/11,07:30,1554,342
2023/07/11,07:35,1562,350
2023/07/11,07:40,1580,366
2023/07/11,07:45,1584,388
2023/07/11,07:50,1612,404
2023/07/11,07:55,1639,411
2023/07/11,08:00,1676,432
2023/07/11,08:05,1714,453
2023/07/11,08:10,1765,473
2023/07/11,08:15,1775,488
2023/07/11,08:20,1800,496
2023/07/11,08:25,1845,509
2023/07/11,08:30,1863,524
2023/07/11,08:35,1898,538
2023/07/11,08:40,1936,560
2023/07/11,08:45,1964,581
2023/07/11,08:50,1986,600
2023/07/11,08:55,2006,610
2023/07/11,09:00,2015,617
2023/07/11,09:05,2037,632
2023/07/11,09:10,2059,644
2023/07/11,09:15,2077,655
2023/07/11,09:20,2090,665
2023/07/11,09:25,2101,671
2023/07/11,09:30,2107,680
2023/07/11,09:35,2124,693
2023/07/11,09:40,2140,699
2023/07/11,09:45,2147,701
2023/07/11,09:50,2145,723
2023/07/11,09:55,2167,741
2023/07/11,10:00,2159,735
2023/07/11,10:05,2154,727
2023/07/11,10:10,2162,725
2023/07/11,10:15,2180,734
2023/07/11,10:20,2170,733
2023/07/11,10:25,2186,730
2023/07/11,10:30,2200,741
2023/07/11,10:35,2190,750
2023/07/11,10:40,2180,732
2023/07/11,10:45,2196,740
2023/07/11,10:50,2208,764
2023/07/11,10:55,2228,773
2023/07/11,11:00,2213,773
2023/07/11,11:05,2203,774
2023/07/11,11:10,2233,772
2023/07/11,11:15,2236,779
2023/07/11,11:20,2214,749
2023/07/11,11:25,2252,757
2023/07/11,11:30,2287,782
2023/07/11,11:35,2274,783
2023/07/11,11:40,2276,774
2023/07/11,11:45,2279,789
2023/07/11,11:50,2243,775
2023/07/11,11:55,2227,747
2023/07/11,12:00,2253,776
2023/07/11,12:05,2171,769
2023/07/11,12:10,2160,737
2023/07/11,12:15,2174,757
2023/07/11,12:20,2159,771
2023/07/11,12:25,2197,773
2023/07/11,12:30,2175,758
2023/07/11,12:35,2191,760
2023/07/11,12:40,2167,757
2023/07/11,12:45,2184,733
2023/07/11,12:50,2208,747
2023/07/11,12:55,2194,713
2023/07/11,13:00,2206,696
2023/07/11,13:05,2206,680
2023/07/11,13:10,2236,685
2023/07/11,13:15,2239,685
2023/07/11,13:20,2277,679
2023/07/11,13:25,2285,680
2023/07/11,13:30,2302,667
2023/07/11,13:35,2315,672
2023/07/11,13:40,2330,666
2023/07/11,13:45,2320,656
2023/07/11,13:50,2316,650
2023/07/11,13:55,2318,637
2023/07/11,14:00,2328,650
2023/07/11,14:05,2321,670
2023/07/11,14:10,2325,669
2023/07/11,14:15,2325,649
2023/07/11,14:20,2325,638
2023/07/11,14:25,2357,646
2023/07/11,14:30,2350,652
2023/07/11,14:35,2336,638
2023/07/11,14:40,2332,622
2023/07/11,14:45,2336,614
2023/07/11,14:50,2334,608
2023/07/11,14:55,2333,603
2023/07/11,15:00,2280,570
2023/07/11,15:05,2272,560
2023/07/11,15:10,2288,563
2023/07/11,15:15,2270,515
2023/07/11,15:20,2266,479
2023/07/11,15:25,2301,476
2023/07/11,15:30,2311,476
2023/07/11,15:35,2306,464
2023/07/11,15:40,2307,442
2023/07/11,15:45,2306,426
2023/07/11,15:50,2258,377
2023/07/11,15:55,2295,379
2023/07/11,16:00,2289,379
2023/07/11,16:05,2262,365
2023/07/11,16:10,2266,346
2023/07/11,16:15,2281,344
2023/07/11,16:20,2298,352
2023/07/11,16:25,2302,340
2023/07/11,16:30,2303,324
2023/07/11,16:35,2297,311
2023/07/11,16:40,2290,296
2023/07/11,16:45,2269,267
2023/07/11,16:50,2224,239
2023/07/11,16:55,2236,229
2023/07/11,17:00,2185,223
2023/07/11,17:05,2159,205
2023/07/11,17:10,2168,194
2023/07/11,17:15,2162,188
2023/07/11,17:20,2153,168
2023/07/11,17:25,2160,155
2023/07/11,17:30,2143,141
2023/07/11,17:35,2122,127
2023/07/11,17:40,2128,113
2023/07/11,17:45,2117,101
2023/07/11,17:50,2104,88
2023/07/11,17:55,2104,73
2023/07/11,18:00,2089,63
2023/07/11,18:05,2058,56
2023/07/11,18:10,2072,46
2023/07/11,18:15,2037,35
2023/07/11,18:20,2039,26
2023/07/11,18:25,2058,19
2023/07/11,18:30,2034,13
2023/07/11,18:35,2019,7
2023/07/11,18:40,2028,2
2023/07/11,18:45,2018,1
2023/07/11,18:50,2000,0
2023/07/11,18:55,2002,0
2023/07/11,19:00,2011,0
2023/07/11,19:05,1982,0
2023/07/11,19:10,1968,0
2023/07/11,19:15,1962,0
2023/07/11,19:20,1962,0
2023/07/11,19:25,1944,0
2023/07/11,19:30,1938,0
2023/07/11,19:35,1947,0
2023/07/11,19:40,1935,0
2023/07/11,19:45,1927,0
2023/07/11,19:50,1915,0
2023/07/11,19:55,1922,0
2023/07/11,20:00,1896,0
2023/07/11,20:05,1898,0
2023/07/11,20:10,1892,0
2023/07/11,20:15,1871,0
2023/07/11,20:20,1867,0
2023/07/11,20:25,1858,0
2023/07/11,20:30,1846,0
2023/07/11,20:35,1837,0
2023/07/11,20:40,1830,0
2023/07/11,20:45,1837,0
2023/07/11,20:50,1842,0
2023/07/11,20:55,1827,0
2023/07/11,21:00,1813,0
2023/07/11,21:05,1806,0
2023/07/11,21:10,1795,0
2023/07/11,21:15,1787,0
2023/07/11,21:20,1782,0
2023/07/11,21:25,1763,0
2023/07/11,21:30,1754,0
2023/07/11,21:35,1737,0
2023/07/11,21:40,1742,0
2023/07/11,21:45,1745,0
2023/07/11,21:50,1739,0
2023/07/11,21:55,1734,0
2023/07/11,22:00,1714,0
2023/07/11,22:05,1715,0
2023/07/11,22:10,1712,0
2023/07/11,22:15,1697,0
2023/07/11,22:20,1701,0
2023/07/11,22:25,1690,0
2023/07/11,22:30,1680,0
2023/07/11,22:35,1663,0
2023/07/11,22:40,1651,0
2023/07/11,22:45,1648,0
2023/07/11,22:50,1647,0
2023/07/11,22:55,1645,0
2023/07/11,23:00,1648,0
2023/07/11,23:05,1640,0
2023/07/11,23:10,1641,0
2023/07/11,23:15,1636,0
2023/07/11,23:20,1618,0
2023/07/11,23:25,1601,0
2023/07/11,23:30,1592,0
2023/07/11,23:35,1593,0
2023/07/11,23:40,1584,0
2023/07/11,23:45,1552,0
2023/07/11,23:50,1552,0
2023/07/11,23:55,1533,0
