2023/06/23 00:00 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2111,10:00〜11:00,06月21日,23:15,17,85
需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1798,10:00〜11:00,06月21日,23:15
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1362,01:00〜02:00,06月21日,23:15,14,87
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1191,01:00〜02:00,06月21日,23:15
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/06/21,00:00,1248,1252,87,1434
2023/06/21,01:00,1192,1191,87,1362
2023/06/21,02:00,1181,1187,86,1360
2023/06/21,03:00,1205,1218,85,1402
2023/06/21,04:00,1216,1233,85,1428
2023/06/21,05:00,1212,1227,84,1428
2023/06/21,06:00,1261,1265,85,1476
2023/06/21,07:00,1390,1389,85,1631
2023/06/21,08:00,1604,1612,85,1880
2023/06/21,09:00,1759,1777,84,2076
2023/06/21,10:00,1779,1798,84,2111
2023/06/21,11:00,1774,1794,84,2104
2023/06/21,12:00,1664,1705,82,2011
2023/06/21,13:00,1775,1769,84,2109
2023/06/21,14:00,1771,1777,83,2126
2023/06/21,15:00,1729,1735,82,2098
2023/06/21,16:00,1691,1705,81,2073
2023/06/21,17:00,1592,1606,80,1977
2023/06/21,18:00,1551,1553,81,1910
2023/06/21,19:00,1516,1520,80,1884
2023/06/21,20:00,1459,1459,77,1872
2023/06/21,21:00,1408,1413,78,1799
2023/06/21,22:00,1361,1367,79,1708
2023/06/21,23:00,1320,1329,79,1652
最大使用率(%),時間帯
87,01:00〜02:00
翌日需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
1918,10:00〜11:00,06月21日,16:21,12,89
翌日需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1713,10:00〜11:00,06月21日,16:21
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1908,11:00〜12:00,06月21日,16:21,12,89
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1704,11:00〜12:00,06月21日,16:21
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2023/06/21,00:00,1297,0
2023/06/21,00:05,1282,0
2023/06/21,00:10,1278,0
2023/06/21,00:15,1274,0
2023/06/21,00:20,1259,0
2023/06/21,00:25,1241,0
2023/06/21,00:30,1235,0
2023/06/21,00:35,1237,0
2023/06/21,00:40,1217,0
2023/06/21,00:45,1213,0
2023/06/21,00:50,1204,0
2023/06/21,00:55,1193,0
2023/06/21,01:00,1188,0
2023/06/21,01:05,1191,0
2023/06/21,01:10,1198,0
2023/06/21,01:15,1204,0
2023/06/21,01:20,1202,0
2023/06/21,01:25,1191,0
2023/06/21,01:30,1182,0
2023/06/21,01:35,1177,0
2023/06/21,01:40,1179,0
2023/06/21,01:45,1176,0
2023/06/21,01:50,1173,0
2023/06/21,01:55,1164,0
2023/06/21,02:00,1148,0
2023/06/21,02:05,1167,0
2023/06/21,02:10,1167,0
2023/06/21,02:15,1163,0
2023/06/21,02:20,1174,0
2023/06/21,02:25,1178,0
2023/06/21,02:30,1184,0
2023/06/21,02:35,1191,0
2023/06/21,02:40,1193,0
2023/06/21,02:45,1168,0
2023/06/21,02:50,1170,0
2023/06/21,02:55,1170,0
2023/06/21,03:00,1172,0
2023/06/21,03:05,1180,0
2023/06/21,03:10,1177,0
2023/06/21,03:15,1193,0
2023/06/21,03:20,1198,0
2023/06/21,03:25,1193,0
2023/06/21,03:30,1206,0
2023/06/21,03:35,1208,0
2023/06/21,03:40,1214,0
2023/06/21,03:45,1196,0
2023/06/21,03:50,1203,0
2023/06/21,03:55,1212,0
2023/06/21,04:00,1212,0
2023/06/21,04:05,1205,0
2023/06/21,04:10,1202,0
2023/06/21,04:15,1209,0
2023/06/21,04:20,1210,0
2023/06/21,04:25,1211,0
2023/06/21,04:30,1208,0
2023/06/21,04:35,1213,0
2023/06/21,04:40,1225,0
2023/06/21,04:45,1223,0
2023/06/21,04:50,1201,0
2023/06/21,04:55,1198,0
2023/06/21,05:00,1200,0
2023/06/21,05:05,1178,1
2023/06/21,05:10,1181,2
2023/06/21,05:15,1194,6
2023/06/21,05:20,1202,12
2023/06/21,05:25,1200,18
2023/06/21,05:30,1202,24
2023/06/21,05:35,1202,31
2023/06/21,05:40,1204,40
2023/06/21,05:45,1204,50
2023/06/21,05:50,1200,57
2023/06/21,05:55,1170,65
2023/06/21,06:00,1179,77
2023/06/21,06:05,1188,87
2023/06/21,06:10,1201,97
2023/06/21,06:15,1215,110
2023/06/21,06:20,1218,127
2023/06/21,06:25,1222,142
2023/06/21,06:30,1224,159
2023/06/21,06:35,1248,176
2023/06/21,06:40,1272,188
2023/06/21,06:45,1279,210
2023/06/21,06:50,1306,233
2023/06/21,06:55,1293,254
2023/06/21,07:00,1284,264
2023/06/21,07:05,1306,273
2023/06/21,07:10,1295,279
2023/06/21,07:15,1327,292
2023/06/21,07:20,1365,316
2023/06/21,07:25,1387,331
2023/06/21,07:30,1379,334
2023/06/21,07:35,1374,337
2023/06/21,07:40,1410,356
2023/06/21,07:45,1412,365
2023/06/21,07:50,1434,359
2023/06/21,07:55,1443,353
2023/06/21,08:00,1466,357
2023/06/21,08:05,1483,366
2023/06/21,08:10,1496,371
2023/06/21,08:15,1496,365
2023/06/21,08:20,1550,369
2023/06/21,08:25,1564,384
2023/06/21,08:30,1597,399
2023/06/21,08:35,1634,402
2023/06/21,08:40,1640,386
2023/06/21,08:45,1649,383
2023/06/21,08:50,1648,387
2023/06/21,08:55,1675,390
2023/06/21,09:00,1689,407
2023/06/21,09:05,1687,414
2023/06/21,09:10,1713,424
2023/06/21,09:15,1735,436
2023/06/21,09:20,1740,439
2023/06/21,09:25,1752,450
2023/06/21,09:30,1746,448
2023/06/21,09:35,1752,430
2023/06/21,09:40,1764,416
2023/06/21,09:45,1771,417
2023/06/21,09:50,1749,420
2023/06/21,09:55,1757,418
2023/06/21,10:00,1743,410
2023/06/21,10:05,1722,411
2023/06/21,10:10,1733,424
2023/06/21,10:15,1760,443
2023/06/21,10:20,1737,453
2023/06/21,10:25,1727,449
2023/06/21,10:30,1732,459
2023/06/21,10:35,1758,484
2023/06/21,10:40,1784,503
2023/06/21,10:45,1805,516
2023/06/21,10:50,1804,517
2023/06/21,10:55,1807,507
2023/06/21,11:00,1796,509
2023/06/21,11:05,1809,502
2023/06/21,11:10,1807,481
2023/06/21,11:15,1801,468
2023/06/21,11:20,1770,437
2023/06/21,11:25,1760,428
2023/06/21,11:30,1775,430
2023/06/21,11:35,1759,429
2023/06/21,11:40,1748,417
2023/06/21,11:45,1760,409
2023/06/21,11:50,1753,416
2023/06/21,11:55,1739,406
2023/06/21,12:00,1717,398
2023/06/21,12:05,1669,399
2023/06/21,12:10,1668,400
2023/06/21,12:15,1653,412
2023/06/21,12:20,1635,419
2023/06/21,12:25,1605,399
2023/06/21,12:30,1575,407
2023/06/21,12:35,1568,401
2023/06/21,12:40,1575,409
2023/06/21,12:45,1615,451
2023/06/21,12:50,1625,475
2023/06/21,12:55,1666,486
2023/06/21,13:00,1672,484
2023/06/21,13:05,1713,504
2023/06/21,13:10,1741,538
2023/06/21,13:15,1782,573
2023/06/21,13:20,1781,576
2023/06/21,13:25,1770,548
2023/06/21,13:30,1784,547
2023/06/21,13:35,1769,545
2023/06/21,13:40,1768,534
2023/06/21,13:45,1769,532
2023/06/21,13:50,1768,523
2023/06/21,13:55,1784,524
2023/06/21,14:00,1764,500
2023/06/21,14:05,1761,467
2023/06/21,14:10,1778,464
2023/06/21,14:15,1778,465
2023/06/21,14:20,1772,464
2023/06/21,14:25,1792,469
2023/06/21,14:30,1784,455
2023/06/21,14:35,1780,432
2023/06/21,14:40,1774,411
2023/06/21,14:45,1764,395
2023/06/21,14:50,1738,391
2023/06/21,14:55,1749,389
2023/06/21,15:00,1735,385
2023/06/21,15:05,1720,382
2023/06/21,15:10,1716,364
2023/06/21,15:15,1741,368
2023/06/21,15:20,1758,368
2023/06/21,15:25,1751,344
2023/06/21,15:30,1739,316
2023/06/21,15:35,1741,311
2023/06/21,15:40,1730,301
2023/06/21,15:45,1711,271
2023/06/21,15:50,1704,249
2023/06/21,15:55,1722,244
2023/06/21,16:00,1734,238
2023/06/21,16:05,1718,223
2023/06/21,16:10,1726,206
2023/06/21,16:15,1702,191
2023/06/21,16:20,1695,178
2023/06/21,16:25,1710,171
2023/06/21,16:30,1706,160
2023/06/21,16:35,1699,146
2023/06/21,16:40,1694,134
2023/06/21,16:45,1679,121
2023/06/21,16:50,1663,106
2023/06/21,16:55,1659,93
2023/06/21,17:00,1626,85
2023/06/21,17:05,1597,76
2023/06/21,17:10,1602,68
2023/06/21,17:15,1605,61
2023/06/21,17:20,1594,54
2023/06/21,17:25,1583,48
2023/06/21,17:30,1581,41
2023/06/21,17:35,1574,34
2023/06/21,17:40,1583,27
2023/06/21,17:45,1577,21
2023/06/21,17:50,1564,17
2023/06/21,17:55,1568,14
2023/06/21,18:00,1558,11
2023/06/21,18:05,1549,9
2023/06/21,18:10,1556,7
2023/06/21,18:15,1548,6
2023/06/21,18:20,1545,5
2023/06/21,18:25,1551,4
2023/06/21,18:30,1528,3
2023/06/21,18:35,1527,2
2023/06/21,18:40,1531,1
2023/06/21,18:45,1534,1
2023/06/21,18:50,1531,0
2023/06/21,18:55,1535,0
2023/06/21,19:00,1519,0
2023/06/21,19:05,1520,0
2023/06/21,19:10,1534,0
2023/06/21,19:15,1522,0
2023/06/21,19:20,1521,0
2023/06/21,19:25,1522,0
2023/06/21,19:30,1510,0
2023/06/21,19:35,1490,0
2023/06/21,19:40,1493,0
2023/06/21,19:45,1478,0
2023/06/21,19:50,1484,0
2023/06/21,19:55,1487,0
2023/06/21,20:00,1473,0
2023/06/21,20:05,1456,0
2023/06/21,20:10,1464,0
2023/06/21,20:15,1462,0
2023/06/21,20:20,1451,0
2023/06/21,20:25,1459,0
2023/06/21,20:30,1443,0
2023/06/21,20:35,1433,0
2023/06/21,20:40,1443,0
2023/06/21,20:45,1433,0
2023/06/21,20:50,1436,0
2023/06/21,20:55,1435,0
2023/06/21,21:00,1424,0
2023/06/21,21:05,1422,0
2023/06/21,21:10,1417,0
2023/06/21,21:15,1402,0
2023/06/21,21:20,1415,0
2023/06/21,21:25,1398,0
2023/06/21,21:30,1390,0
2023/06/21,21:35,1393,0
2023/06/21,21:40,1393,0
2023/06/21,21:45,1374,0
2023/06/21,21:50,1378,0
2023/06/21,21:55,1375,0
2023/06/21,22:00,1357,0
2023/06/21,22:05,1365,0
2023/06/21,22:10,1366,0
2023/06/21,22:15,1362,0
2023/06/21,22:20,1362,0
2023/06/21,22:25,1357,0
2023/06/21,22:30,1349,0
2023/06/21,22:35,1347,0
2023/06/21,22:40,1347,0
2023/06/21,22:45,1328,0
2023/06/21,22:50,1339,0
2023/06/21,22:55,1324,0
2023/06/21,23:00,1331,0
2023/06/21,23:05,1348,0
2023/06/21,23:10,1324,0
2023/06/21,23:15,1319,0
2023/06/21,23:20,1310,0
2023/06/21,23:25,1317,0
2023/06/21,23:30,1322,0
2023/06/21,23:35,1306,0
2023/06/21,23:40,1298,0
2023/06/21,23:45,1298,0
2023/06/21,23:50,1292,0
2023/06/21,23:55,1284,0
