2023/07/12 00:00 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2551,14:00〜15:00,07月10日,23:15,10,91
需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2323,14:00〜15:00,07月10日,23:15
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2551,14:00〜15:00,07月10日,23:15,10,91
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2323,14:00〜15:00,07月10日,23:15
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/07/10,00:00,1149,1140,85,1336
2023/07/10,01:00,1082,1081,81,1327
2023/07/10,02:00,1079,1072,79,1352
2023/07/10,03:00,1108,1096,81,1354
2023/07/10,04:00,1132,1118,83,1359
2023/07/10,05:00,1162,1150,83,1384
2023/07/10,06:00,1278,1260,87,1461
2023/07/10,07:00,1519,1502,89,1689
2023/07/10,08:00,1878,1856,90,2083
2023/07/10,09:00,2137,2084,91,2327
2023/07/10,10:00,2215,2160,91,2416
2023/07/10,11:00,2270,2201,92,2464
2023/07/10,12:00,2182,2152,90,2422
2023/07/10,13:00,2291,2281,90,2527
2023/07/10,14:00,2289,2323,89,2551
2023/07/10,15:00,2225,2259,86,2559
2023/07/10,16:00,2119,2233,83,2529
2023/07/10,17:00,1931,2040,80,2408
2023/07/10,18:00,1859,1932,80,2295
2023/07/10,19:00,1786,1860,79,2237
2023/07/10,20:00,1722,1768,79,2168
2023/07/10,21:00,1646,1682,77,2116
2023/07/10,22:00,1576,1609,75,2076
2023/07/10,23:00,1515,1533,75,2009
最大使用率(%),時間帯
92,11:00〜12:00
翌日需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2604,14:00〜15:00,07月10日,16:56,10,90
翌日需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2365,14:00〜15:00,07月10日,16:56
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2361,17:00〜18:00,07月10日,16:56,10,90
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2145,17:00〜18:00,07月10日,16:56
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2023/07/10,00:00,1170,0
2023/07/10,00:05,1173,0
2023/07/10,00:10,1165,0
2023/07/10,00:15,1158,0
2023/07/10,00:20,1152,0
2023/07/10,00:25,1142,0
2023/07/10,00:30,1148,0
2023/07/10,00:35,1144,0
2023/07/10,00:40,1139,0
2023/07/10,00:45,1126,0
2023/07/10,00:50,1127,0
2023/07/10,00:55,1124,0
2023/07/10,01:00,1093,0
2023/07/10,01:05,1092,0
2023/07/10,01:10,1081,0
2023/07/10,01:15,1086,0
2023/07/10,01:20,1087,0
2023/07/10,01:25,1067,0
2023/07/10,01:30,1065,0
2023/07/10,01:35,1060,0
2023/07/10,01:40,1072,0
2023/07/10,01:45,1085,0
2023/07/10,01:50,1077,0
2023/07/10,01:55,1071,0
2023/07/10,02:00,1066,0
2023/07/10,02:05,1068,0
2023/07/10,02:10,1062,0
2023/07/10,02:15,1064,0
2023/07/10,02:20,1070,0
2023/07/10,02:25,1078,0
2023/07/10,02:30,1090,0
2023/07/10,02:35,1086,0
2023/07/10,02:40,1073,0
2023/07/10,02:45,1069,0
2023/07/10,02:50,1080,0
2023/07/10,02:55,1080,0
2023/07/10,03:00,1080,0
2023/07/10,03:05,1082,0
2023/07/10,03:10,1077,0
2023/07/10,03:15,1095,0
2023/07/10,03:20,1100,0
2023/07/10,03:25,1101,0
2023/07/10,03:30,1110,0
2023/07/10,03:35,1113,0
2023/07/10,03:40,1115,0
2023/07/10,03:45,1116,0
2023/07/10,03:50,1105,0
2023/07/10,03:55,1129,0
2023/07/10,04:00,1108,0
2023/07/10,04:05,1110,0
2023/07/10,04:10,1102,0
2023/07/10,04:15,1126,0
2023/07/10,04:20,1114,0
2023/07/10,04:25,1127,0
2023/07/10,04:30,1128,0
