2024/5/19 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
340,19:00〜20:00,5月18日,22:41,13,88

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
299,19:00〜20:00,5月18日,22:41

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
313,17:00〜18:00,5月18日,22:41,11,90

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
283,17:00〜18:00,5月18日,22:41

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2024/5/18,0:00,251,247,90,276
2024/5/18,1:00,254,248,90,281
2024/5/18,2:00,264,262,87,303
2024/5/18,3:00,278,276,86,321
2024/5/18,4:00,275,275,83,330
2024/5/18,5:00,279,274,84,331
2024/5/18,6:00,268,259,79,338
2024/5/18,7:00,261,260,73,357
2024/5/18,8:00,278,275,70,396
2024/5/18,9:00,291,290,66,440
2024/5/18,10:00,298,299,65,457
2024/5/18,11:00,297,296,64,461
2024/5/18,12:00,287,285,64,445
2024/5/18,13:00,280,281,64,432
2024/5/18,14:00,271,273,69,390
2024/5/18,15:00,271,270,80,335
2024/5/18,16:00,286,280,90,316
2024/5/18,17:00,289,283,92,313
2024/5/18,18:00,291,293,89,325
2024/5/18,19:00,301,299,88,340
2024/5/18,20:00,287,286,88,326
2024/5/18,21:00,270,271,87,309
2024/5/18,22:00,260,261,84,307
2024/5/18,23:00,254,251,85,298

最大使用率(%),時間帯
92,17:00〜18:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
323,19:00〜20:00,5月19日,22:41,13,88

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
286,19:00〜20:00,5月19日,22:41

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
301,16:00〜17:00,5月19日,22:41,10,90

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
273,16:00〜17:00,5月19日,22:41

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2024/5/18,0:00,251,0
2024/5/18,0:05,253,0
2024/5/18,0:10,254,0
2024/5/18,0:15,250,0
2024/5/18,0:20,250,0
2024/5/18,0:25,250,0
2024/5/18,0:30,251,0
2024/5/18,0:35,252,0
2024/5/18,0:40,252,0
2024/5/18,0:45,249,0
2024/5/18,0:50,247,0
2024/5/18,0:55,247,0
2024/5/18,1:00,250,0
2024/5/18,1:05,253,0
2024/5/18,1:10,252,0
2024/5/18,1:15,250,0
2024/5/18,1:20,253,0
2024/5/18,1:25,254,0
2024/5/18,1:30,256,0
2024/5/18,1:35,255,0
2024/5/18,1:40,255,0
2024/5/18,1:45,254,0
2024/5/18,1:50,254,0
2024/5/18,1:55,253,0
2024/5/18,2:00,254,0
2024/5/18,2:05,258,0
2024/5/18,2:10,257,0
2024/5/18,2:15,258,0
2024/5/18,2:20,260,0
2024/5/18,2:25,261,0
2024/5/18,2:30,263,0
2024/5/18,2:35,268,0
2024/5/18,2:40,272,0
