2024/6/2 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
367,19:00〜20:00,6月1日,22:41,26,79
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
292,19:00〜20:00,6月1日,22:41
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
294,0:00〜1:00,6月1日,22:41,19,83
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
246,0:00〜1:00,6月1日,22:41
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2024/6/1,0:00,244,246,83,294
2024/6/1,1:00,245,248,82,297
2024/6/1,2:00,257,260,82,312
2024/6/1,3:00,270,270,83,324
2024/6/1,4:00,268,270,82,325
2024/6/1,5:00,266,266,82,322
2024/6/1,6:00,259,257,78,328
2024/6/1,7:00,254,257,67,377
2024/6/1,8:00,264,271,64,407
2024/6/1,9:00,276,278,64,428
2024/6/1,10:00,274,282,62,438
2024/6/1,11:00,272,281,63,430
2024/6/1,12:00,259,263,63,409
2024/6/1,13:00,254,261,62,404
2024/6/1,14:00,249,252,65,379
2024/6/1,15:00,252,249,74,337
2024/6/1,16:00,266,260,80,331
2024/6/1,17:00,275,269,80,341
2024/6/1,18:00,275,277,78,350
2024/6/1,19:00,288,292,78,367
2024/6/1,20:00,277,277,77,356
2024/6/1,21:00,261,261,77,339
2024/6/1,22:00,248,254,76,324
2024/6/1,23:00,242,247,75,321
最大使用率(%),時間帯
83,3:00〜4:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
357,19:00〜20:00,6月2日,22:41,22,82
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
293,19:00〜20:00,6月2日,22:41
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
284,0:00〜1:00,6月2日,22:41,20,83
