2024/10/22 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
378,17:00〜18:00,10月21日,22:41,8,92
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
351,17:00〜18:00,10月21日,22:41
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
378,17:00〜18:00,10月21日,22:41,8,92
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
351,17:00〜18:00,10月21日,22:41
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2024/10/21,0:00,251,249,78,320
2024/10/21,1:00,252,249,78,321
2024/10/21,2:00,267,261,83,318
2024/10/21,3:00,284,280,87,325
2024/10/21,4:00,294,295,86,341
2024/10/21,5:00,295,299,85,345
2024/10/21,6:00,301,300,87,345
2024/10/21,7:00,306,298,82,369
2024/10/21,8:00,320,316,75,424
2024/10/21,9:00,332,336,71,466
2024/10/21,10:00,330,341,68,484
2024/10/21,11:00,327,336,69,468
2024/10/21,12:00,309,308,70,440
2024/10/21,13:00,323,315,80,399
2024/10/21,14:00,325,318,87,369
2024/10/21,15:00,327,325,88,371
2024/10/21,16:00,346,344,90,383
2024/10/21,17:00,357,351,94,378
2024/10/21,18:00,349,343,92,376
2024/10/21,19:00,338,333,87,384
2024/10/21,20:00,320,317,84,381
2024/10/21,21:00,302,300,82,364
2024/10/21,22:00,285,284,78,365
2024/10/21,23:00,274,276,74,367
最大使用率(%),時間帯
94,17:00〜18:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
417,17:00〜18:00,10月22日,22:41,19,83
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
350,17:00〜18:00,10月22日,22:41
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
324,3:00〜4:00,10月22日,22:41,15,87
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
283,3:00〜4:00,10月22日,22:41
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2024/10/21,0:00,255,0
2024/10/21,0:05,255,0
2024/10/21,0:10,254,0
2024/10/21,0:15,253,0
2024/10/21,0:20,253,0
2024/10/21,0:25,252,0
2024/10/21,0:30,252,0
2024/10/21,0:35,248,0
2024/10/21,0:40,247,0
2024/10/21,0:45,247,0
2024/10/21,0:50,247,0
2024/10/21,0:55,245,0
2024/10/21,1:00,247,0
2024/10/21,1:05,248,0
2024/10/21,1:10,249,0
2024/10/21,1:15,249,0
2024/10/21,1:20,251,0
2024/10/21,1:25,251,0
2024/10/21,1:30,253,0
2024/10/21,1:35,253,0
2024/10/21,1:40,252,0
2024/10/21,1:45,253,0
2024/10/21,1:50,254,0
2024/10/21,1:55,256,0
2024/10/21,2:00,259,0
2024/10/21,2:05,262,0
2024/10/21,2:10,260,0
2024/10/21,2:15,263,0
2024/10/21,2:20,265,0
2024/10/21,2:25,267,0
2024/10/21,2:30,267,0
2024/10/21,2:35,269,0
2024/10/21,2:40,270,0
2024/10/21,2:45,271,0
2024/10/21,2:50,273,0
2024/10/21,2:55,275,0
2024/10/21,3:00,277,0
2024/10/21,3:05,278,0
2024/10/21,3:10,279,0
2024/10/21,3:15,281,0
2024/10/21,3:20,283,0
2024/10/21,3:25,284,0
2024/10/21,3:30,286,0
2024/10/21,3:35,287,0
2024/10/21,3:40,286,0
2024/10/21,3:45,286,0
2024/10/21,3:50,287,0
2024/10/21,3:55,290,0
2024/10/21,4:00,290,0
2024/10/21,4:05,292,0
2024/10/21,4:10,293,0
2024/10/21,4:15,293,0
2024/10/21,4:20,293,0
2024/10/21,4:25,294,0
2024/10/21,4:30,295,0
2024/10/21,4:35,296,0
2024/10/21,4:40,296,0
2024/10/21,4:45,296,0
2024/10/21,4:50,295,0
2024/10/21,4:55,295,0
2024/10/21,5:00,297,0
2024/10/21,5:05,298,0
2024/10/21,5:10,298,0
2024/10/21,5:15,296,0
2024/10/21,5:20,296,0
2024/10/21,5:25,297,0
2024/10/21,5:30,296,0
2024/10/21,5:35,295,0
2024/10/21,5:40,293,0
2024/10/21,5:45,291,0
2024/10/21,5:50,289,0
2024/10/21,5:55,290,0
2024/10/21,6:00,302,7
2024/10/21,6:05,302,7
2024/10/21,6:10,301,8
2024/10/21,6:15,300,9
2024/10/21,6:20,298,10
2024/10/21,6:25,296,12
2024/10/21,6:30,306,28
2024/10/21,6:35,303,30
2024/10/21,6:40,301,32
2024/10/21,6:45,299,34
2024/10/21,6:50,297,37
2024/10/21,6:55,294,39
2024/10/21,7:00,309,59
2024/10/21,7:05,307,61
2024/10/21,7:10,303,63
2024/10/21,7:15,300,65
2024/10/21,7:20,297,67
2024/10/21,7:25,295,69
2024/10/21,7:30,313,93
2024/10/21,7:35,311,95
2024/10/21,7:40,310,97
2024/10/21,7:45,308,99
2024/10/21,7:50,307,101
2024/10/21,7:55,305,103
2024/10/21,8:00,319,119
2024/10/21,8:05,319,120
2024/10/21,8:10,317,122
2024/10/21,8:15,315,123
2024/10/21,8:20,315,125
2024/10/21,8:25,314,126
2024/10/21,8:30,324,138
2024/10/21,8:35,324,139
2024/10/21,8:40,323,141
2024/10/21,8:45,325,142
2024/10/21,8:50,325,143
2024/10/21,8:55,324,145
2024/10/21,9:00,332,155
2024/10/21,9:05,330,155
2024/10/21,9:10,330,156
2024/10/21,9:15,328,157
2024/10/21,9:20,328,157
2024/10/21,9:25,327,157
2024/10/21,9:30,332,165
2024/10/21,9:35,333,164
2024/10/21,9:40,333,164
2024/10/21,9:45,334,165
2024/10/21,9:50,335,165
2024/10/21,9:55,333,167
2024/10/21,10:00,335,170
2024/10/21,10:05,333,170
2024/10/21,10:10,331,172
2024/10/21,10:15,329,168
2024/10/21,10:20,329,169
2024/10/21,10:25,330,168
2024/10/21,10:30,329,170
2024/10/21,10:35,328,168
2024/10/21,10:40,328,167
2024/10/21,10:45,329,167
2024/10/21,10:50,330,168
2024/10/21,10:55,331,168
2024/10/21,11:00,332,166
2024/10/21,11:05,333,166
2024/10/21,11:10,330,165
2024/10/21,11:15,329,164
2024/10/21,11:20,330,162
2024/10/21,11:25,331,161
2024/10/21,11:30,326,160
2024/10/21,11:35,326,160
2024/10/21,11:40,325,157
2024/10/21,11:45,324,161
2024/10/21,11:50,324,158
2024/10/21,11:55,320,156
2024/10/21,12:00,311,151
2024/10/21,12:05,310,152
2024/10/21,12:10,309,155
2024/10/21,12:15,308,155
2024/10/21,12:20,308,154
2024/10/21,12:25,310,154
2024/10/21,12:30,304,143
2024/10/21,12:35,304,144
2024/10/21,12:40,307,142
2024/10/21,12:45,311,139
2024/10/21,12:50,314,140
2024/10/21,12:55,318,137
2024/10/21,13:00,315,123
2024/10/21,13:05,319,123
2024/10/21,13:10,320,126
2024/10/21,13:15,323,127
2024/10/21,13:20,328,123
2024/10/21,13:25,330,121
2024/10/21,13:30,318,105
2024/10/21,13:35,321,105
2024/10/21,13:40,324,105
2024/10/21,13:45,324,100
2024/10/21,13:50,325,99
2024/10/21,13:55,327,94
2024/10/21,14:00,316,79
2024/10/21,14:05,319,78
2024/10/21,14:10,322,77
2024/10/21,14:15,324,75
2024/10/21,14:20,326,74
2024/10/21,14:25,328,72
2024/10/21,14:30,318,59
2024/10/21,14:35,321,58
2024/10/21,14:40,325,59
2024/10/21,14:45,329,56
2024/10/21,14:50,333,53
2024/10/21,14:55,333,49
2024/10/21,15:00,320,34
2024/10/21,15:05,320,32
2024/10/21,15:10,323,31
2024/10/21,15:15,327,30
2024/10/21,15:20,329,29
2024/10/21,15:25,331,27
2024/10/21,15:30,323,15
2024/10/21,15:35,324,14
2024/10/21,15:40,326,14
2024/10/21,15:45,328,13
2024/10/21,15:50,331,11
2024/10/21,15:55,335,10
2024/10/21,16:00,333,3
2024/10/21,16:05,337,2
2024/10/21,16:10,339,1
2024/10/21,16:15,341,1
2024/10/21,16:20,342,1
2024/10/21,16:25,345,1
2024/10/21,16:30,348,0
2024/10/21,16:35,349,0
2024/10/21,16:40,350,0
2024/10/21,16:45,352,0
2024/10/21,16:50,354,0
2024/10/21,16:55,356,0
2024/10/21,17:00,357,0
2024/10/21,17:05,358,0
2024/10/21,17:10,358,0
2024/10/21,17:15,358,0
2024/10/21,17:20,359,0
2024/10/21,17:25,358,0
2024/10/21,17:30,357,0
2024/10/21,17:35,358,0
2024/10/21,17:40,355,0
2024/10/21,17:45,354,0
2024/10/21,17:50,356,0
2024/10/21,17:55,355,0
2024/10/21,18:00,352,0
2024/10/21,18:05,351,0
2024/10/21,18:10,350,0
2024/10/21,18:15,350,0
2024/10/21,18:20,350,0
2024/10/21,18:25,349,0
2024/10/21,18:30,350,0
2024/10/21,18:35,349,0
2024/10/21,18:40,349,0
2024/10/21,18:45,347,0
2024/10/21,18:50,346,0
2024/10/21,18:55,346,0
2024/10/21,19:00,348,0
2024/10/21,19:05,345,0
2024/10/21,19:10,343,0
2024/10/21,19:15,341,0
2024/10/21,19:20,339,0
2024/10/21,19:25,339,0
2024/10/21,19:30,337,0
2024/10/21,19:35,336,0
2024/10/21,19:40,334,0
2024/10/21,19:45,332,0
2024/10/21,19:50,332,0
2024/10/21,19:55,331,0
2024/10/21,20:00,331,0
2024/10/21,20:05,329,0
2024/10/21,20:10,327,0
2024/10/21,20:15,325,0
2024/10/21,20:20,322,0
2024/10/21,20:25,322,0
2024/10/21,20:30,320,0
2024/10/21,20:35,318,0
2024/10/21,20:40,317,0
2024/10/21,20:45,315,0
2024/10/21,20:50,313,0
2024/10/21,20:55,312,0
2024/10/21,21:00,311,0
2024/10/21,21:05,310,0
2024/10/21,21:10,308,0
2024/10/21,21:15,306,0
2024/10/21,21:20,304,0
2024/10/21,21:25,303,0
2024/10/21,21:30,301,0
2024/10/21,21:35,301,0
2024/10/21,21:40,298,0
2024/10/21,21:45,296,0
2024/10/21,21:50,293,0
2024/10/21,21:55,291,0
2024/10/21,22:00,291,0
2024/10/21,22:05,290,0
2024/10/21,22:10,290,0
2024/10/21,22:15,290,0
2024/10/21,22:20,287,0
2024/10/21,22:25,285,0
2024/10/21,22:30,285,0
2024/10/21,22:35,284,0
2024/10/21,22:40,282,0
2024/10/21,22:45,280,0
2024/10/21,22:50,278,0
2024/10/21,22:55,275,0
2024/10/21,23:00,282,0
2024/10/21,23:05,280,0
2024/10/21,23:10,280,0
2024/10/21,23:15,279,0
2024/10/21,23:20,277,0
2024/10/21,23:25,275,0
2024/10/21,23:30,273,0
2024/10/21,23:35,272,0
2024/10/21,23:40,271,0
2024/10/21,23:45,270,0
2024/10/21,23:50,268,0
2024/10/21,23:55,267,0
